latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
61.90319,166.64636,329.5,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,292.4,4.7,D
60.2186,-156.48499,343.5,0.47,0.64,2019-08-21,00:12,N,nominal,1.0NRT,288.1,5.6,D
61.91601,166.61951,326.2,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,295,2.6,D
61.92836,166.58449,344.7,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,293.3,5.9,D
62.00472,-150.02014,326.9,0.76,0.77,2019-08-21,00:12,N,nominal,1.0NRT,284.4,5.2,D
61.96215,-150.03149,326.2,0.76,0.77,2019-08-21,00:12,N,nominal,1.0NRT,285.2,5.2,D
64.45515,161.17801,342.4,0.49,0.49,2019-08-21,00:12,N,nominal,1.0NRT,301.6,6.1,D
56.63028,161.29633,339.1,0.53,0.67,2019-08-21,00:12,N,nominal,1.0NRT,295.3,7.8,D
61.87937,166.27061,351.8,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,292.4,6.1,D
60.21993,-156.48499,341.8,0.47,0.64,2019-08-21,00:12,N,nominal,1.0NRT,286.8,4.8,D
60.20789,-156.48373,345.7,0.47,0.64,2019-08-21,00:12,N,nominal,1.0NRT,291.1,7.4,D
60.2139,-156.48421,343.1,0.47,0.64,2019-08-21,00:12,N,nominal,1.0NRT,290.2,7.4,D
61.8814,166.33151,333.9,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,291.8,4.6,D
61.90049,166.61876,338.6,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,289.5,7.2,D
61.90477,166.6339,340.8,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,289.8,10.9,D
56.63399,161.30396,336,0.53,0.67,2019-08-21,00:12,N,nominal,1.0NRT,292.7,10,D
61.89338,166.5033,336.5,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,293.3,5.5,D
61.91925,166.59483,331.5,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,294.8,6.3,D
61.92125,166.54178,345.3,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,292.7,6.9,D
61.89508,166.32516,352.6,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,294.4,13.3,D
61.89888,166.63112,367,0.45,0.47,2019-08-21,00:12,N,high,1.0NRT,294.5,10.9,D
61.89125,166.32982,353.6,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,296.7,17.9,D
61.91066,166.63669,331.8,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,292.8,5.5,D
64.45945,161.1738,338.3,0.49,0.49,2019-08-21,00:12,N,nominal,1.0NRT,302,6.1,D
61.91761,166.53467,338.6,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,290.9,3.8,D
61.90104,166.63875,328.6,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,289.9,10.9,D
60.21259,-156.48425,353.4,0.47,0.64,2019-08-21,00:12,N,nominal,1.0NRT,291.8,5.6,D
61.90693,166.64154,343.6,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,290.7,4.7,D
61.8816,166.27837,344.7,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,291.3,6.1,D
61.87917,166.32381,367,0.46,0.47,2019-08-21,00:12,N,high,1.0NRT,296.3,11.3,D
64.45219,161.16858,335,0.49,0.49,2019-08-21,00:12,N,nominal,1.0NRT,298.6,6.1,D
61.92353,166.53757,344.7,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,291.7,6.3,D
61.92677,166.58528,341.6,0.45,0.47,2019-08-21,00:12,N,nominal,1.0NRT,293.7,4.9,D
61.87337,166.26778,338.9,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,289.6,4.7,D
61.91905,166.53412,342.6,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,291.4,6.9,D
61.88528,166.32703,352.5,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,297.8,17.9,D
61.87559,166.2755,344.9,0.46,0.47,2019-08-21,00:12,N,nominal,1.0NRT,293,8.4,D
68.45509,150.51195,348.9,0.53,0.5,2019-08-21,00:18,N,nominal,1.0NRT,300.2,15.6,D
68.16491,141.19199,335.4,0.39,0.59,2019-08-21,00:18,N,nominal,1.0NRT,290.3,3.2,D
68.60064,145.81987,325.4,0.62,0.54,2019-08-21,00:18,N,nominal,1.0NRT,290.5,4.1,D
68.9607,150.86528,338.1,0.49,0.49,2019-08-21,00:18,N,nominal,1.0NRT,292.6,5.6,D
68.48045,145.87375,347.9,0.63,0.54,2019-08-21,00:18,N,nominal,1.0NRT,296.8,14.4,D
68.47462,145.84285,349.8,0.63,0.54,2019-08-21,00:18,N,nominal,1.0NRT,296.9,14.3,D
68.47016,145.83287,352.6,0.63,0.54,2019-08-21,00:18,N,nominal,1.0NRT,295.6,14.3,D
68.47593,145.86363,355.7,0.63,0.54,2019-08-21,00:18,N,nominal,1.0NRT,297.9,14.4,D
68.17084,141.18497,331.3,0.39,0.59,2019-08-21,00:18,N,nominal,1.0NRT,290.8,3.2,D
