latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.157,10.413,303.4,1.3,1.1,2019-08-24,01:10,A,55,6.0NRT,287.7,12,N
48.279,14.342,307.3,1,1,2019-08-24,01:10,A,71,6.0NRT,273.5,11,N
49.357,6.75,301.2,1.8,1.3,2019-08-24,01:10,A,39,6.0NRT,287.3,15.8,N
51.37,6.718,307.9,1.9,1.4,2019-08-24,01:10,A,73,6.0NRT,289.9,26.2,N
51.484,6.716,302.4,1.9,1.4,2019-08-24,01:10,A,19,6.0NRT,290.1,13.8,N
51.489,6.722,301.9,1.9,1.4,2019-08-24,01:10,A,43,6.0NRT,290.3,14.3,N
40.125,15.59,312.1,1.3,1.1,2019-08-24,01:15,A,84,6.0NRT,291.9,14.7,N
38.793,15.214,341.7,1.3,1.1,2019-08-24,01:15,A,100,6.0NRT,293.9,0,N
43.073,18.091,306.5,1.4,1.2,2019-08-24,01:15,A,63,6.0NRT,291.9,11.6,N
43.067,18.1,306.6,1.4,1.2,2019-08-24,01:15,A,46,6.0NRT,291.4,11.7,N
51.357,34.119,314.5,1,1,2019-08-24,08:55,T,39,6.0NRT,297.7,7.4,D
51.58,32.589,328.9,1,1,2019-08-24,08:55,T,82,6.0NRT,301.8,21.1,D
51.578,32.603,318.1,1,1,2019-08-24,08:55,T,59,6.0NRT,301.3,9.5,D
51.571,32.586,318.2,1,1,2019-08-24,08:55,T,56,6.0NRT,299,9.6,D
54.671,33.003,313.7,1,1,2019-08-24,08:55,T,74,6.0NRT,292.7,11.5,D
54.638,32.837,329.1,1,1,2019-08-24,08:55,T,86,6.0NRT,292.2,27.5,D
54.087,32.521,308.4,1,1,2019-08-24,08:55,T,65,6.0NRT,291.5,7.5,D
53.442,34.416,307.7,1,1,2019-08-24,08:55,T,60,6.0NRT,297.3,5.7,D
53.218,31.6,306.5,1,1,2019-08-24,08:55,T,48,6.0NRT,295,4.7,D
52.675,32.663,321.7,1,1,2019-08-24,08:55,T,77,6.0NRT,301.9,14.2,D
52.262,32.432,311.6,1,1,2019-08-24,08:55,T,46,6.0NRT,300.8,5.7,D
51.705,32.692,318.5,1,1,2019-08-24,08:55,T,72,6.0NRT,302,12,D
48.551,28.59,319.8,1.1,1.1,2019-08-24,09:00,T,69,6.0NRT,303.7,10,D
