latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.922,152.303,324.1,1.6,1.2,2019-09-24,00:20,T,33,6.0NRT,295.5,35.9,D
-27.472,149.42,339,1.1,1,2019-09-24,00:20,T,88,6.0NRT,308.5,34.6,D
-27.05,148.278,333.3,1,1,2019-09-24,00:20,T,83,6.0NRT,303,24.3,D
-27.049,148.268,325.5,1,1,2019-09-24,00:20,T,74,6.0NRT,304.5,13.8,D
-22.468,150.69,325.1,1.1,1.1,2019-09-24,00:20,T,73,6.0NRT,298.8,20.1,D
-22.459,150.691,332.7,1.1,1.1,2019-09-24,00:20,T,62,6.0NRT,299.3,30.7,D
-22.454,150.687,330.1,1.1,1.1,2019-09-24,00:20,T,66,6.0NRT,297.8,24.9,D
-22.444,150.689,319.4,1.1,1.1,2019-09-24,00:20,T,29,6.0NRT,296.5,12.4,D
-22.443,150.678,330.6,1.1,1.1,2019-09-24,00:20,T,77,6.0NRT,295.6,26.8,D
-22.432,150.669,315.9,1.1,1.1,2019-09-24,00:20,T,0,6.0NRT,295.1,9,D
-22.399,150.563,315.2,1.1,1,2019-09-24,00:20,T,40,6.0NRT,293.7,9.2,D
-22.397,150.553,346.4,1.1,1,2019-09-24,00:20,T,87,6.0NRT,296.5,57.3,D
-22.227,149.452,322.4,1,1,2019-09-24,00:20,T,63,6.0NRT,303.4,10.8,D
-17.232,143.287,325.5,2.1,1.4,2019-09-24,00:20,T,76,6.0NRT,305.8,33.2,D
-17.232,143.294,325.1,2.1,1.4,2019-09-24,00:20,T,71,6.0NRT,305.4,29.5,D
-11.727,142.317,375.8,3.2,1.7,2019-09-24,00:20,T,100,6.0NRT,295.5,689,D
-11.732,142.345,342.4,3.1,1.7,2019-09-24,00:20,T,91,6.0NRT,296.2,205.5,D
-11.729,142.339,351.8,3.1,1.7,2019-09-24,00:20,T,96,6.0NRT,296,312.6,D
-11.76,142.421,314.9,3.1,1.7,2019-09-24,00:20,T,40,6.0NRT,292.4,31.9,D
-11.814,142.382,319.8,3.1,1.7,2019-09-24,00:20,T,67,6.0NRT,293,61.7,D
-11.819,142.41,337.4,3.1,1.7,2019-09-24,00:20,T,88,6.0NRT,292.3,170.1,D
-11.824,142.438,336.4,3.1,1.7,2019-09-24,00:20,T,87,6.0NRT,294.6,162.1,D
-11.829,142.466,322.4,3.1,1.7,2019-09-24,00:20,T,71,6.0NRT,293.7,76.4,D
-11.813,142.376,320.2,3.1,1.7,2019-09-24,00:20,T,67,6.0NRT,293.1,63.3,D
-11.818,142.404,331.8,3.1,1.7,2019-09-24,00:20,T,84,6.0NRT,291.9,127.5,D
-11.823,142.432,338.6,3.1,1.7,2019-09-24,00:20,T,89,6.0NRT,294.1,179.9,D
-11.828,142.46,324.4,3.1,1.7,2019-09-24,00:20,T,77,6.0NRT,294.4,85.7,D
-12.038,142.263,320.3,3.1,1.7,2019-09-24,00:20,T,60,6.0NRT,295.5,56.4,D
-12.043,142.292,319.7,3.1,1.7,2019-09-24,00:20,T,19,6.0NRT,297.8,56.2,D
-12.053,142.26,324.5,3.1,1.7,2019-09-24,00:20,T,76,6.0NRT,292.2,80.2,D
-12.056,142.282,334.7,3.1,1.7,2019-09-24,00:20,T,84,6.0NRT,293.6,146.5,D
-13.27,141.883,313.2,3.2,1.7,2019-09-24,00:20,T,57,6.0NRT,294.8,32.3,D
-13.267,141.876,313.6,3.2,1.7,2019-09-24,00:20,T,47,6.0NRT,296,32.1,D
-14.334,143.656,320.1,2.2,1.4,2019-09-24,00:20,T,68,6.0NRT,294.8,32.5,D
-29.132,152.353,332.2,1.7,1.3,2019-09-24,00:20,T,0,6.0NRT,288.9,59.1,D
-29.129,152.347,328.8,1.7,1.3,2019-09-24,00:20,T,0,6.0NRT,291.8,52.7,D
-28.848,147.611,320.2,1,1,2019-09-24,00:20,T,59,6.0NRT,307.6,6.3,D
-29.895,152.052,334.1,1.6,1.3,2019-09-24,00:20,T,85,6.0NRT,290.9,64.4,D
-30.008,152.261,314.2,1.7,1.3,2019-09-24,00:20,T,40,6.0NRT,290.7,20.4,D
-14.337,143.676,331.8,2.2,1.4,2019-09-24,00:20,T,84,6.0NRT,296.4,77.2,D
-14.335,143.669,334,2.2,1.4,2019-09-24,00:20,T,86,6.0NRT,296.1,84.2,D
