latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
61.8901,-146.29556,297.2,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.6,2.2,N
61.88924,-146.28667,319.6,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.7,2.2,N
61.88557,-146.28883,295.7,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,270.7,1.8,N
61.86306,-146.41928,309.2,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,279.4,2.9,N
61.86203,-146.40842,303.4,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.5,1.6,N
61.85936,-146.4213,312.4,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.8,3.3,N
61.85826,-146.40965,312.9,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,280.3,3.4,N
61.84745,-146.29556,295,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,270,1.7,N
61.84372,-146.29706,323.9,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,272.6,1.7,N
61.84458,-146.30608,298.2,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,266.6,1.9,N
61.83998,-146.29863,304.1,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,266.9,1.3,N
61.84161,-146.35655,298.9,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,277.3,0.8,N
61.86024,-146.41547,329.4,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,282.4,2.4,N
61.86138,-146.42706,298.7,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.3,2,N
61.85917,-146.40445,298.1,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,278,2.4,N
61.84524,-146.30188,323.5,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,272.9,4.5,N
61.85654,-146.41742,296.7,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.8,2.4,N
61.8415,-146.30341,310.1,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,265.2,2.1,N
61.84925,-146.42238,297.9,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,276.7,1.8,N
61.84238,-146.35191,302,0.5,0.41,2019-09-08,11:42,N,nominal,1.0NRT,275.7,1.4,N
