latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-16.43516,179.30209,326.1,0.33,0.55,2019-09-13,01:00,N,nominal,1.0NRT,294.3,0.8,D
-16.76731,178.65094,342.6,0.37,0.58,2019-09-13,01:00,N,nominal,1.0NRT,294.2,3.9,D
-16.77389,178.64055,356.3,0.37,0.58,2019-09-13,01:00,N,nominal,1.0NRT,296,8.5,D
-17.54815,178.36641,329.7,0.39,0.6,2019-09-13,01:00,N,nominal,1.0NRT,289.2,2.5,D
-29.64688,152.44093,328.3,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,293.7,7.7,D
-29.64709,152.43672,339.9,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.9,7.7,D
-29.64727,152.43312,342.6,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295,11.8,D
-29.64745,152.42938,342.9,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.4,11.8,D
-29.64127,152.42224,353.7,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294,18.1,D
-29.65934,152.45242,331.5,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295.4,9.4,D
-29.65291,152.45087,352.8,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,297.3,9.4,D
-29.65313,152.44682,337.5,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295.2,6.1,D
-29.65337,152.44258,327.5,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,293.9,6.1,D
-29.64701,152.43977,338,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.7,10.1,D
-29.64723,152.43575,342.6,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295,10.6,D
-29.64742,152.43219,336.8,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.6,10.6,D
-29.64763,152.42824,341.7,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.2,12.2,D
-29.64153,152.42072,367,0.56,0.69,2019-09-13,02:36,N,high,1.0NRT,294.6,12.2,D
-29.13758,152.37253,367,0.56,0.69,2019-09-13,02:36,N,high,1.0NRT,302,16.5,D
-29.13109,152.37192,333.4,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,296.6,7.1,D
-29.11329,152.46742,367,0.56,0.68,2019-09-13,02:36,N,high,1.0NRT,296.2,15.5,D
-29.68946,152.37238,329.7,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,293.1,5,D
-29.65285,152.45192,349.4,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,296.7,6.7,D
-29.65305,152.44791,343.3,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295.7,6.7,D
-29.65326,152.4438,330.7,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.4,6.4,D
-29.7811,152.06606,347.1,0.59,0.7,2019-09-13,02:36,N,nominal,1.0NRT,291.3,10.5,D
-29.78137,152.0603,353,0.6,0.7,2019-09-13,02:36,N,nominal,1.0NRT,290.8,11,D
-29.78166,152.05412,340.8,0.6,0.7,2019-09-13,02:36,N,nominal,1.0NRT,288.5,11,D
-29.75765,152.42116,351.5,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,296.1,9.9,D
-29.75835,152.40689,354.5,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.3,9.3,D
-29.76881,152.18756,345.9,0.58,0.7,2019-09-13,02:36,N,nominal,1.0NRT,294.5,13.6,D
-29.75213,152.40027,367,0.57,0.69,2019-09-13,02:36,N,high,1.0NRT,296.5,15.9,D
-29.75094,152.42487,337.5,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,295.4,6.5,D
-29.7514,152.41547,335.1,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,293.9,10.1,D
-29.75193,152.40454,328.2,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,291.9,28,D
-29.74547,152.40283,367,0.57,0.69,2019-09-13,02:36,N,high,1.0NRT,299.2,28,D
-29.74566,152.39886,367,0.57,0.69,2019-09-13,02:36,N,high,1.0NRT,294.1,15.9,D
-29.7442,152.42924,337.1,0.56,0.69,2019-09-13,02:36,N,nominal,1.0NRT,296.2,6.5,D
-29.74588,152.39438,331,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,291.7,15.9,D
-29.73985,152.38359,346.4,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.1,7.8,D
-29.74018,152.3766,330.4,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,293.1,7.8,D
-29.73343,152.38101,367,0.57,0.69,2019-09-13,02:36,N,high,1.0NRT,296.9,7.8,D
-29.73372,152.37485,349,0.57,0.69,2019-09-13,02:36,N,nominal,1.0NRT,294.5,7.8,D
-29.7924,152.16489,355.1,0.59,0.7,2019-09-13,02:36,N,nominal,1.0NRT,295.8,27.9,D
