latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.43697,-75.59418,306.9,0.42,0.38,2019-10-14,07:06,N,nominal,1.0NRT,279.3,1.2,N
42.80183,-80.10164,306.3,0.4,0.37,2019-10-14,07:06,N,nominal,1.0NRT,276,0.9,N
42.04901,-73.97797,313.7,0.46,0.39,2019-10-14,07:06,N,nominal,1.0NRT,280.6,1.7,N
42.04884,-73.97626,314,0.46,0.39,2019-10-14,07:06,N,nominal,1.0NRT,281.4,1.6,N
42.49686,-73.81723,295.4,0.46,0.39,2019-10-14,07:06,N,nominal,1.0NRT,279.4,0.4,N
45.07076,-83.40652,310.5,0.54,0.42,2019-10-14,07:06,N,nominal,1.0NRT,274.6,2.8,N
41.45388,-81.67845,310.1,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,277.1,2.2,N
45.07104,-83.40663,309.8,0.54,0.42,2019-10-14,07:06,N,nominal,1.0NRT,275.5,2.5,N
46.51842,-84.37543,305.3,0.41,0.45,2019-10-14,07:06,N,nominal,1.0NRT,273.2,2.2,N
46.52207,-84.36924,298.8,0.41,0.45,2019-10-14,07:06,N,nominal,1.0NRT,274.2,1.2,N
46.52255,-84.37463,318.5,0.41,0.45,2019-10-14,07:06,N,nominal,1.0NRT,278,2.2,N
46.0437,-73.13829,305.9,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,281.8,1.5,N
45.33944,-73.52125,297.6,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,280.8,0.5,N
45.83684,-73.25114,318,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,279.8,2.3,N
45.82076,-73.26335,295.4,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,279.2,0.3,N
45.77957,-73.91079,306.4,0.42,0.38,2019-10-14,07:06,N,nominal,1.0NRT,273.5,1.2,N
45.78193,-73.91447,299,0.42,0.38,2019-10-14,07:06,N,nominal,1.0NRT,273.1,0.6,N
46.04474,-73.14378,315.9,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,283.7,3.2,N
41.45735,-81.67767,328.9,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,276.5,2.2,N
40.89169,-77.70801,326.5,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,280.8,3.2,N
41.47687,-81.66261,299.9,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,267.1,1,N
40.62174,-75.30476,302.7,0.44,0.38,2019-10-14,07:06,N,nominal,1.0NRT,284.1,0.8,N
41.28376,-78.63876,297.2,0.38,0.36,2019-10-14,07:06,N,nominal,1.0NRT,279.4,0.4,N
41.42588,-75.59268,298.4,0.42,0.38,2019-10-14,07:06,N,nominal,1.0NRT,279.8,0.4,N
40.73353,-86.43323,303.3,0.44,0.46,2019-10-14,07:06,N,nominal,1.0NRT,277.2,1.2,N
40.92944,-88.65488,295.1,0.57,0.52,2019-10-14,07:06,N,nominal,1.0NRT,274.3,0.8,N
40.16313,-79.88557,297.3,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,282.9,1,N
40.71053,-84.13426,297.2,0.51,0.41,2019-10-14,07:06,N,nominal,1.0NRT,277.7,0.7,N
40.71433,-84.13354,311.6,0.51,0.41,2019-10-14,07:06,N,nominal,1.0NRT,280.8,1.4,N
40.12834,-79.58529,299.8,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,274.8,0.5,N
40.34496,-80.60796,297.3,0.4,0.37,2019-10-14,07:06,N,nominal,1.0NRT,282.7,0.5,N
40.3483,-80.60712,300.8,0.4,0.37,2019-10-14,07:06,N,nominal,1.0NRT,279.8,0.5,N
40.30029,-79.8723,300.2,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,279.7,1.4,N
40.30427,-79.876,310,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,285.5,1.4,N
40.30494,-79.88054,298.1,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,280.7,0.8,N
40.44677,-80.60998,295.4,0.4,0.37,2019-10-14,07:06,N,nominal,1.0NRT,278.7,0.5,N
40.45184,-80.28212,311.6,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,279,1.1,N
40.3922,-79.85143,311.9,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,279.1,2.9,N
40.39288,-79.85598,334.2,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,282.3,2.9,N
40.39686,-79.85968,302,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,279.6,1.2,N
40.40457,-79.79632,295.7,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,277.3,0.4,N
40.13822,-77.50604,303.8,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,276.8,0.8,N
40.75514,-81.43336,313.7,0.42,0.37,2019-10-14,07:06,N,nominal,1.0NRT,279.6,1.5,N
41.36376,-84.9213,299.6,0.57,0.43,2019-10-14,07:06,N,nominal,1.0NRT,276.1,2.3,N
41.36774,-84.92059,318.6,0.57,0.43,2019-10-14,07:06,N,nominal,1.0NRT,279.2,2.3,N
41.37102,-84.91305,296.1,0.57,0.43,2019-10-14,07:06,N,nominal,1.0NRT,279.2,1,N
40.83172,-80.31849,298.5,0.39,0.37,2019-10-14,07:06,N,nominal,1.0NRT,277.8,0.6,N
40.79372,-79.70154,300.4,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,277.2,0.5,N
40.83149,-79.93454,304.9,0.39,0.36,2019-10-14,07:06,N,nominal,1.0NRT,277,0.7,N
40.47128,-75.89284,304.1,0.42,0.38,2019-10-14,07:06,N,nominal,1.0NRT,285.9,1.1,N
41.44975,-81.67409,295.4,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,271.4,1.4,N
41.45041,-81.67924,311.4,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,273.6,1.4,N
41.45322,-81.6733,308.9,0.43,0.38,2019-10-14,07:06,N,nominal,1.0NRT,275,2.2,N
42.68286,-111.58678,302,0.45,0.47,2019-10-14,08:48,N,nominal,1.0NRT,269.1,1.8,N
41.26823,-105.60283,305.1,0.4,0.37,2019-10-14,08:48,N,nominal,1.0NRT,272.4,1.4,N
40.56961,-106.42388,315.6,0.41,0.37,2019-10-14,08:48,N,nominal,1.0NRT,270.2,1.8,N
40.822,-114.2559,301.5,0.59,0.53,2019-10-14,08:48,N,nominal,1.0NRT,274.7,1.6,N
46.48931,-81.03272,367,0.73,0.76,2019-10-14,08:48,N,high,1.0NRT,278.8,41.8,N
46.48299,-81.03762,338.1,0.73,0.76,2019-10-14,08:48,N,nominal,1.0NRT,270.7,8.5,N
46.49303,-81.03641,297.2,0.73,0.76,2019-10-14,08:48,N,nominal,1.0NRT,271.8,19.9,N
41.66704,-87.4537,305.9,0.56,0.68,2019-10-14,08:48,N,nominal,1.0NRT,274.4,2.5,N
41.66491,-87.42474,310.4,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.3,2.2,N
41.67083,-87.42137,295.4,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,275.1,2.2,N
41.67482,-87.4341,299.2,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.8,2.2,N
41.67675,-87.41801,304.9,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,278.6,2.8,N
41.662,-87.42705,309.3,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,277.2,2.5,N
41.67016,-87.45253,306.9,0.56,0.68,2019-10-14,08:48,N,nominal,1.0NRT,275.5,1.7,N
41.67976,-87.417,306.7,0.56,0.69,2019-10-14,08:48,N,nominal,1.0NRT,280,1.1,N
41.62649,-87.1404,323.4,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,277.7,2.4,N
41.63248,-87.13702,295.9,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.4,2.3,N
40.91349,-112.73486,301.4,0.49,0.49,2019-10-14,08:48,N,nominal,1.0NRT,276.3,2.2,N
41.63457,-87.14355,296.5,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.4,2.6,N
41.63636,-87.12698,300.1,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.2,2.3,N
41.63847,-87.13358,315.4,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,278.5,2.3,N
41.64054,-87.14008,307.8,0.58,0.69,2019-10-14,08:48,N,nominal,1.0NRT,276.6,2.6,N
47.15641,-112.36749,303.1,0.54,0.51,2019-10-14,08:48,N,nominal,1.0NRT,274.8,2.1,N
47.15262,-112.36832,301.2,0.54,0.51,2019-10-14,08:48,N,nominal,1.0NRT,274.1,1.4,N
47.6142,-103.53716,320.2,0.4,0.37,2019-10-14,08:48,N,nominal,1.0NRT,269.6,1.8,N
47.52584,-102.87148,322.4,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,273.7,2,N
47.52983,-102.75778,317.1,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,269.9,0.8,N
47.70108,-102.69997,331.9,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,272.5,2.4,N
47.73375,-102.64098,325.8,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,272.1,1.8,N
47.73536,-102.6394,306.4,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,271.2,0.9,N
47.76263,-102.6844,335.4,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,271.8,2.6,N
48.04954,-102.48315,296.3,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,270.4,0.8,N
48.07811,-102.48993,299.3,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,265.4,0.4,N
49.29766,-115.92298,317.6,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.1,7.3,N
49.29722,-115.90739,342,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,271.1,6.9,N
49.29745,-115.91557,345.6,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.9,7.3,N
49.30319,-115.91771,316.5,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,273.3,7.3,N
49.30279,-115.90334,329.8,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.7,6.9,N
49.30299,-115.91054,367,0.41,0.61,2019-10-14,08:48,N,high,1.0NRT,277.4,6.9,N
49.29321,-115.91648,312.1,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,271.5,1.3,N
49.29858,-115.90287,298.7,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,270.9,4.5,N
49.29908,-115.92502,297.3,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.3,5.5,N
49.29875,-115.9103,355.1,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,273.6,7,N
49.29892,-115.91799,350,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,274.4,7,N
49.30464,-115.91961,297.3,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.3,7,N
49.30433,-115.90581,332.6,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,273.1,4.5,N
49.30448,-115.91278,367,0.41,0.61,2019-10-14,08:48,N,high,1.0NRT,277.9,7,N
49.30965,-115.89035,312.1,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,270.8,1.7,N
49.31536,-115.89245,321.2,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.5,1.7,N
49.32127,-115.90205,315.5,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,272.6,3.5,N
49.32111,-115.89537,334.9,0.41,0.61,2019-10-14,08:48,N,nominal,1.0NRT,274,4.5,N
48.33957,-102.74392,313.7,0.39,0.36,2019-10-14,08:48,N,nominal,1.0NRT,268.3,0.7,N
49.53995,-114.91363,325,0.37,0.58,2019-10-14,08:48,N,nominal,1.0NRT,264.8,2.7,N
46.73042,-92.07421,304.9,0.49,0.49,2019-10-14,08:48,N,nominal,1.0NRT,276,2.4,N
45.06966,-83.40642,303.1,0.66,0.73,2019-10-14,08:48,N,nominal,1.0NRT,274.5,3.4,N
45.07111,-83.40469,307,0.66,0.73,2019-10-14,08:48,N,nominal,1.0NRT,275.4,2.5,N
51.36161,-119.51006,295.1,0.6,0.71,2019-10-14,08:48,N,nominal,1.0NRT,267.4,1.3,N
46.4834,-81.03233,351.1,0.73,0.76,2019-10-14,08:48,N,nominal,1.0NRT,272.6,17,N
