latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
10.05658,-64.87014,330.8,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,291.5,4,N
9.77526,-63.26748,341.6,0.47,0.48,2019-09-21,06:06,N,nominal,1.0NRT,291.9,9,N
10.06088,-64.89503,304.8,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,290,2.2,N
10.06001,-64.89,314.1,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,290.6,2.2,N
10.05915,-64.88499,316.4,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,290.4,3.3,N
10.05571,-64.86513,316,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,290.9,3.9,N
10.05525,-64.8857,307.8,0.55,0.43,2019-09-21,06:06,N,nominal,1.0NRT,290.5,2.2,N
9.77013,-63.26394,306.6,0.47,0.48,2019-09-21,06:06,N,nominal,1.0NRT,290.4,0.4,N
9.74038,-63.4282,305.8,0.46,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.4,0.9,N
9.73899,-63.47116,341.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.8,5.4,N
9.73539,-63.47592,341.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,294.3,9.8,N
9.73467,-63.47181,355.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,292.9,9.8,N
9.72819,-63.46015,332.6,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.3,4.2,N
9.73107,-63.47659,317.6,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.5,9.8,N
9.73036,-63.47251,307.2,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.1,9.8,N
9.72605,-63.47321,307,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.6,1.1,N
9.70489,-63.52892,304,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.4,0.7,N
9.70059,-63.52967,327.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,3.2,N
9.68168,-63.47333,307,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.8,15.6,N
9.67737,-63.47406,346.9,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,294.9,15.6,N
9.67811,-63.47819,304.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291,15.6,N
9.67246,-63.4962,317,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.6,1,N
9.67971,-63.47311,351.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,294.4,16.7,N
9.68042,-63.47725,305.2,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291,16.7,N
9.6754,-63.47383,346.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.5,16.7,N
9.67465,-63.49532,317.5,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,0.9,N
9.6553,-63.53705,338.3,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.2,7.8,N
9.65458,-63.53292,342.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,292.4,6.1,N
9.65386,-63.52879,337.6,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.8,6.1,N
9.66599,-63.59864,306.5,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.6,1.1,N
9.651,-63.53776,339.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.6,7.8,N
9.65028,-63.53362,332.6,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.2,6.1,N
9.64956,-63.52948,318.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.2,6.1,N
9.64884,-63.52535,312.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,1.3,N
9.65172,-63.56729,339.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,293.1,20,N
9.65101,-63.56319,325.3,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,296.8,20,N
9.64814,-63.57206,325.3,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,3.8,N
9.64671,-63.56387,320.2,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.8,20,N
9.64528,-63.55566,344.1,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.9,4,N
9.64743,-63.56797,311.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,20,N
9.646,-63.55977,313.2,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291,4,N
9.64456,-63.55153,309.6,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.1,2.6,N
9.6531,-63.62575,326.2,0.44,0.46,2019-09-21,06:06,N,nominal,1.0NRT,291.9,50.5,N
9.6524,-63.6217,333.5,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,301,50.5,N
9.64385,-63.57275,349.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291.8,10.4,N
9.64313,-63.56865,332,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,291,3.4,N
9.64242,-63.56456,351,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,292.2,3.4,N
9.6417,-63.56046,337.8,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.9,16.1,N
9.64098,-63.55634,346.4,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,294.4,16.1,N
9.65381,-63.62978,307.2,0.44,0.46,2019-09-21,06:06,N,nominal,1.0NRT,291,25.2,N
9.64026,-63.55221,319.7,0.45,0.47,2019-09-21,06:06,N,nominal,1.0NRT,290.7,10.2,N
9.64954,-63.63048,344.6,0.44,0.46,2019-09-21,06:06,N,nominal,1.0NRT,295.1,25.2,N
