latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.56459,22.2138,338.6,0.44,0.46,2019-09-28,00:12,N,nominal,1.0NRT,280.8,4.2,N
67.36365,15.5831,304.6,0.34,0.56,2019-09-28,00:12,N,nominal,1.0NRT,280.7,0.8,N
65.564,22.22334,331.7,0.44,0.46,2019-09-28,00:12,N,nominal,1.0NRT,282.1,5,N
52.80587,32.22441,308.3,0.44,0.38,2019-09-28,00:18,N,nominal,1.0NRT,276.7,1.6,N
52.80349,32.22352,307.8,0.44,0.38,2019-09-28,00:18,N,nominal,1.0NRT,275.2,1.6,N
51.68866,15.98245,303.4,0.52,0.5,2019-09-28,00:18,N,nominal,1.0NRT,272.1,1.6,N
51.50376,6.72986,295.9,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,281.2,1.8,N
51.49015,6.73038,295.3,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,280.9,1.4,N
51.49035,6.74007,299.7,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,280.8,1.4,N
43.08549,24.1734,298.6,0.39,0.36,2019-09-28,00:18,N,nominal,1.0NRT,283.4,0.7,N
43.28266,23.46863,296.1,0.38,0.36,2019-09-28,00:18,N,nominal,1.0NRT,282.5,0.5,N
43.32714,23.98536,298.7,0.38,0.36,2019-09-28,00:18,N,nominal,1.0NRT,283.5,0.5,N
44.22067,17.89898,312.9,0.53,0.42,2019-09-28,00:18,N,nominal,1.0NRT,283.7,1.8,N
44.01205,19.891,298.1,0.45,0.39,2019-09-28,00:18,N,nominal,1.0NRT,280.9,0.5,N
43.47263,23.84396,296.1,0.38,0.36,2019-09-28,00:18,N,nominal,1.0NRT,281.1,0.3,N
43.43157,25.23395,297.1,0.39,0.36,2019-09-28,00:18,N,nominal,1.0NRT,282.9,0.4,N
44.5502,18.50467,328.5,0.51,0.41,2019-09-28,00:18,N,nominal,1.0NRT,278.3,3.4,N
43.7176,25.48088,306,0.4,0.37,2019-09-28,00:18,N,nominal,1.0NRT,282.1,0.7,N
51.503,6.72964,301.2,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,281.9,2.7,N
51.48957,6.73989,303.4,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,281.1,1.4,N
51.48226,6.71112,325.9,0.64,0.72,2019-09-28,00:18,N,nominal,1.0NRT,281.4,8,N
51.48243,6.72074,367,0.64,0.72,2019-09-28,00:18,N,high,1.0NRT,281.7,16,N
