latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
68.41131,83.62201,330,0.62,0.72,2019-10-17,00:54,N,nominal,1.0NRT,271.2,57.3,N
68.41687,83.6183,336.1,0.62,0.72,2019-10-17,00:54,N,nominal,1.0NRT,261.9,48.6,N
68.41171,83.6137,367,0.62,0.72,2019-10-17,00:54,N,high,1.0NRT,261.9,26.4,N
68.41327,83.63153,356.1,0.62,0.72,2019-10-17,00:54,N,nominal,1.0NRT,272.6,26.4,N
67.80223,72.51971,320.8,0.56,0.68,2019-10-17,00:54,N,nominal,1.0NRT,266.3,3.5,N
67.803,72.52676,323.8,0.56,0.68,2019-10-17,00:54,N,nominal,1.0NRT,266,2.8,N
66.27876,78.75006,345.6,0.79,0.78,2019-10-17,00:54,N,nominal,1.0NRT,272.2,42.9,N
66.2859,78.74406,347.9,0.79,0.78,2019-10-17,00:54,N,nominal,1.0NRT,266,42.7,N
66.27893,78.75279,340.6,0.79,0.78,2019-10-17,00:54,N,nominal,1.0NRT,271,45.1,N
66.28607,78.7469,367,0.79,0.78,2019-10-17,00:54,N,high,1.0NRT,267.1,48.5,N
67.27048,80.01166,328.5,0.7,0.75,2019-10-17,00:54,N,nominal,1.0NRT,265,5,N
57.229,34.51368,330.2,0.6,0.53,2019-10-17,01:00,N,nominal,1.0NRT,275.7,3.3,N
57.22677,34.51396,334,0.6,0.53,2019-10-17,01:00,N,nominal,1.0NRT,275.3,5.5,N
54.43846,40.79757,304.5,0.61,0.71,2019-10-17,01:00,N,nominal,1.0NRT,276.2,1.5,N
54.43299,40.79102,300.4,0.61,0.71,2019-10-17,01:00,N,nominal,1.0NRT,275.5,1.5,N
54.54917,39.73108,295.3,0.56,0.69,2019-10-17,01:00,N,nominal,1.0NRT,277.7,2.1,N
54.55054,39.73792,295.2,0.56,0.69,2019-10-17,01:00,N,nominal,1.0NRT,277.1,1.8,N
50.49011,19.47139,308.6,0.43,0.38,2019-10-17,01:00,N,nominal,1.0NRT,278.2,1.5,N
50.79631,19.18776,295.3,0.42,0.38,2019-10-17,01:00,N,nominal,1.0NRT,280.1,0.7,N
48.16306,30.61535,308.7,0.44,0.62,2019-10-17,01:00,N,nominal,1.0NRT,282.8,1.6,N
50.8273,20.27148,305.5,0.45,0.39,2019-10-17,01:00,N,nominal,1.0NRT,281.8,1.5,N
50.82541,20.2702,297.5,0.45,0.39,2019-10-17,01:00,N,nominal,1.0NRT,280.3,0.9,N
48.16361,30.61473,304.1,0.44,0.62,2019-10-17,01:00,N,nominal,1.0NRT,282.3,1.9,N
51.10282,18.94314,304.6,0.42,0.37,2019-10-17,01:00,N,nominal,1.0NRT,280.5,1,N
