latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
35.92137,43.79393,306.8,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,290.4,2.3,N
36.59841,43.10895,301.2,0.69,0.74,2019-09-13,00:00,N,nominal,1.0NRT,288.8,0.8,N
36.91898,40.49282,304.2,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,285.6,3,N
36.91741,40.49828,306.3,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,281.5,1.9,N
36.35315,42.39732,301.2,0.65,0.73,2019-09-13,00:00,N,nominal,1.0NRT,290.2,1.5,N
36.351,42.40432,307.2,0.65,0.73,2019-09-13,00:00,N,nominal,1.0NRT,290.6,1.5,N
36.3446,42.40141,304.1,0.65,0.73,2019-09-13,00:00,N,nominal,1.0NRT,290,2.2,N
36.81997,40.69879,303.9,0.51,0.66,2019-09-13,00:00,N,nominal,1.0NRT,286.5,1.3,N
36.76986,40.73406,303,0.52,0.67,2019-09-13,00:00,N,nominal,1.0NRT,285.7,1,N
36.76818,40.73975,299.1,0.52,0.67,2019-09-13,00:00,N,nominal,1.0NRT,287.2,1,N
36.77063,40.73459,298.9,0.52,0.67,2019-09-13,00:00,N,nominal,1.0NRT,285.5,1.5,N
36.76899,40.74029,300.8,0.52,0.67,2019-09-13,00:00,N,nominal,1.0NRT,287.5,1.2,N
36.75026,40.48586,299.8,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,285.2,1.6,N
36.75511,40.48744,309.1,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,282.5,1,N
36.74934,40.48471,297.7,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,284.4,1,N
36.72462,40.38819,300.1,0.5,0.66,2019-09-13,00:00,N,nominal,1.0NRT,285.3,1.7,N
36.57081,40.8972,301.8,0.53,0.67,2019-09-13,00:00,N,nominal,1.0NRT,285.9,1.6,N
36.56914,40.90295,304.3,0.54,0.67,2019-09-13,00:00,N,nominal,1.0NRT,286.8,1.1,N
36.56319,40.90027,300.7,0.54,0.67,2019-09-13,00:00,N,nominal,1.0NRT,286.4,1.1,N
35.68675,43.55494,317.7,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,287.7,3.1,N
35.67855,43.53196,300.6,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,286.8,1.1,N
35.68487,43.55282,309.7,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,287.1,3.6,N
35.68223,43.56111,298.4,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,287.2,1.6,N
36.96197,42.08624,299,0.6,0.71,2019-09-13,00:00,N,nominal,1.0NRT,287.2,0.8,N
36.93406,42.13209,303.5,0.6,0.71,2019-09-13,00:00,N,nominal,1.0NRT,287.8,1.2,N
36.59705,43.1105,299.6,0.69,0.74,2019-09-13,00:00,N,nominal,1.0NRT,288.6,0.3,N
36.9142,41.89465,305.6,0.59,0.7,2019-09-13,00:00,N,nominal,1.0NRT,287.4,1.3,N
36.34932,43.67296,302.5,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,290.8,1.9,N
36.34666,43.68118,307.3,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,290.6,1.9,N
36.31415,43.63799,317.4,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,289,2.1,N
36.34484,43.67478,314.6,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,290.8,3,N
36.33387,43.66063,302.3,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,290.1,1.3,N
36.3164,43.64265,312.6,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.7,2.4,N
36.31373,43.65099,299.3,0.75,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.3,1.1,N
36.87276,41.32901,306.7,0.55,0.68,2019-09-13,00:00,N,nominal,1.0NRT,286.3,3.8,N
36.87097,41.33505,312.9,0.55,0.68,2019-09-13,00:00,N,nominal,1.0NRT,285.3,2.4,N
36.53004,42.41251,306.6,0.64,0.72,2019-09-13,00:00,N,nominal,1.0NRT,286.7,1.1,N
36.95594,40.97928,296.4,0.53,0.67,2019-09-13,00:00,N,nominal,1.0NRT,284.7,1.1,N
36.08667,43.64207,306.7,0.76,0.77,2019-09-13,00:00,N,nominal,1.0NRT,287.8,1.5,N
36.07995,43.63878,308,0.76,0.77,2019-09-13,00:00,N,nominal,1.0NRT,287.9,1.5,N
36.52661,42.41325,315.6,0.64,0.72,2019-09-13,00:00,N,nominal,1.0NRT,287.5,2.8,N
36.08276,43.64393,321.9,0.76,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.2,3.8,N
35.99763,43.76272,349.6,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,291.7,10.7,N
36.9457,40.65438,330.5,0.51,0.66,2019-09-13,00:00,N,nominal,1.0NRT,288.6,3.3,N
36.01493,43.6851,310.5,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.6,2.9,N
36.93989,40.65173,325.9,0.51,0.66,2019-09-13,00:00,N,nominal,1.0NRT,289.2,3.8,N
35.97884,43.77223,367,0.77,0.78,2019-09-13,00:00,N,high,1.0NRT,291.7,23.4,N
35.98162,43.76369,311,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.5,16.5,N
35.96577,43.7641,319.2,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,290.6,3.8,N
35.95331,43.73008,311.3,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,289.8,2.1,N
35.92498,43.79263,314.6,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,290.6,3.8,N
35.99379,43.76382,333.5,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,288.5,8.6,N
36.02005,43.68117,306.6,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.6,2.9,N
36.01749,43.68924,301.1,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.5,1.9,N
35.98444,43.76857,323.5,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.4,7.7,N
35.98174,43.77706,342.6,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.1,7.7,N
35.97511,43.77325,327.4,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.5,4.4,N
35.97785,43.76467,316.1,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.4,4.4,N
35.96857,43.76919,316.3,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,290.2,4.4,N
35.94941,43.73112,309.4,0.77,0.78,2019-09-13,00:00,N,nominal,1.0NRT,289.7,1.6,N
35.92404,43.78564,303.6,0.78,0.78,2019-09-13,00:00,N,nominal,1.0NRT,290.1,2.8,N
37.30121,42.21983,303.4,0.6,0.7,2019-09-13,00:00,N,nominal,1.0NRT,281.7,2.1,N
36.88837,43.42877,300.5,0.71,0.75,2019-09-13,00:00,N,nominal,1.0NRT,277.5,3.3,N
36.869,43.49055,306.7,0.71,0.75,2019-09-13,00:00,N,nominal,1.0NRT,285.8,1.4,N
37.07819,42.5579,326.8,0.63,0.72,2019-09-13,00:00,N,nominal,1.0NRT,290.5,3.9,N
37.08059,42.48018,312.6,0.62,0.72,2019-09-13,00:00,N,nominal,1.0NRT,290.1,1.8,N
36.77888,43.32186,324.1,0.7,0.75,2019-09-13,00:00,N,nominal,1.0NRT,288.6,5.8,N
36.77652,43.32925,298.9,0.7,0.75,2019-09-13,00:00,N,nominal,1.0NRT,285.7,3.6,N
36.74476,43.50171,299,0.72,0.75,2019-09-13,00:00,N,nominal,1.0NRT,287.4,3.3,N
36.77919,43.32006,305.8,0.7,0.75,2019-09-13,00:00,N,nominal,1.0NRT,288.3,3.9,N
36.77684,43.32754,318.7,0.7,0.75,2019-09-13,00:00,N,nominal,1.0NRT,287.5,3.9,N
36.73062,43.28303,305.9,0.7,0.75,2019-09-13,00:00,N,nominal,1.0NRT,288.7,2.7,N
36.40889,43.98396,320.2,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,290.3,3,N
36.41154,43.97576,304,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,289.7,3,N
36.39267,43.93731,319.4,0.77,0.77,2019-09-13,00:00,N,nominal,1.0NRT,288.8,2.9,N
36.94234,42.17347,303.9,0.61,0.71,2019-09-13,00:00,N,nominal,1.0NRT,287.3,1,N
36.93407,42.13095,299.6,0.6,0.71,2019-09-13,00:00,N,nominal,1.0NRT,287.8,0.7,N
34.97227,35.89564,312.4,0.32,0.55,2019-09-13,00:06,N,nominal,1.0NRT,293.7,1.2,N
34.60734,37.90167,314,0.42,0.61,2019-09-13,00:06,N,nominal,1.0NRT,288.4,1.1,N
34.93993,37.99465,306,0.42,0.61,2019-09-13,00:06,N,nominal,1.0NRT,287.2,0.6,N
37.25359,30.44283,303.7,0.47,0.39,2019-09-13,00:06,N,nominal,1.0NRT,289.4,0.7,N
37.25355,30.44403,304.6,0.47,0.39,2019-09-13,00:06,N,nominal,1.0NRT,289.3,1,N
34.91187,40.82651,307.2,0.59,0.7,2019-09-13,00:06,N,nominal,1.0NRT,291.7,1.8,N
35.11091,40.52589,338.3,0.56,0.69,2019-09-13,00:06,N,nominal,1.0NRT,292,5,N
28.83574,22.11142,339.5,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,297.4,5.3,N
28.83793,22.12031,306.3,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.1,0.7,N
28.92547,21.5061,332.6,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,297.2,4.4,N
29.03543,20.78623,319.6,0.45,0.39,2019-09-13,00:06,N,nominal,1.0NRT,294.6,1.9,N
29.0378,20.78465,329.5,0.45,0.39,2019-09-13,00:06,N,nominal,1.0NRT,296.3,2.8,N
29.04135,20.78527,310.7,0.45,0.39,2019-09-13,00:06,N,nominal,1.0NRT,295,2.8,N
29.05616,20.78316,329.4,0.45,0.39,2019-09-13,00:06,N,nominal,1.0NRT,296,2.4,N
29.22811,19.69988,303.7,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,292.4,3,N
29.22875,19.69476,332,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,292.8,8.8,N
29.23185,19.70049,306.3,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,292.6,3,N
29.23249,19.69536,333.4,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,296,8.8,N
29.18888,21.428,327.8,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.2,2.5,N
29.19235,21.42863,330.1,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.8,2.5,N
29.21544,21.6456,327.1,0.42,0.37,2019-09-13,00:06,N,nominal,1.0NRT,294.9,1.5,N
29.25345,21.5509,307.5,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.2,2.3,N
29.25406,21.54657,329,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,298.6,2.3,N
29.25208,21.5487,333.8,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,298.8,4.4,N
27.89332,33.55382,311.9,0.34,0.56,2019-09-13,00:06,N,nominal,1.0NRT,296.8,1.3,N
30.40033,19.6102,316.5,0.52,0.41,2019-09-13,00:06,N,nominal,1.0NRT,290.8,1.5,N
30.4048,19.60533,303,0.52,0.41,2019-09-13,00:06,N,nominal,1.0NRT,291.9,2.2,N
30.40415,19.61078,327,0.52,0.41,2019-09-13,00:06,N,nominal,1.0NRT,291.6,1.7,N
28.02807,33.77838,306.8,0.35,0.57,2019-09-13,00:06,N,nominal,1.0NRT,295.9,0.7,N
30.90905,16.57361,309.6,0.51,0.49,2019-09-13,00:06,N,nominal,1.0NRT,292.4,1.5,N
30.90894,16.5706,304.3,0.51,0.5,2019-09-13,00:06,N,nominal,1.0NRT,292.3,0.7,N
28.92146,31.0803,304.8,0.47,0.47,2019-09-13,00:06,N,nominal,1.0NRT,294.3,1.1,N
31.70326,9.2422,304.9,0.7,0.75,2019-09-13,00:06,N,nominal,1.0NRT,289.7,1.2,N
29.01377,31.20278,308.8,0.47,0.48,2019-09-13,00:06,N,nominal,1.0NRT,295.1,2.4,N
29.01809,31.20397,322.4,0.47,0.48,2019-09-13,00:06,N,nominal,1.0NRT,296.8,2.4,N
30.8947,20.08364,322.2,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,294.1,2.2,N
29.04769,31.17226,306.2,0.47,0.48,2019-09-13,00:06,N,nominal,1.0NRT,294.9,1.4,N
29.6552,28.35672,327.4,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,293.2,2.3,N
29.65305,28.35797,318.2,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,292.8,1.7,N
29.65672,28.35889,320.6,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,293.1,1.7,N
30.95617,20.11671,313.3,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,294.5,2.4,N
29.75494,28.00311,308,0.47,0.4,2019-09-13,00:06,N,nominal,1.0NRT,294.3,0.9,N
29.71625,28.63478,304.7,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,293.2,0.7,N
29.71585,28.63699,304.1,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,293.3,0.3,N
29.84795,27.94822,304.2,0.47,0.4,2019-09-13,00:06,N,nominal,1.0NRT,294.1,8,N
29.85155,27.94911,341.3,0.47,0.4,2019-09-13,00:06,N,nominal,1.0NRT,297.5,8,N
29.85517,28.5243,324,0.5,0.41,2019-09-13,00:06,N,nominal,1.0NRT,293.7,1.9,N
29.34741,31.09851,332.1,0.46,0.47,2019-09-13,00:06,N,nominal,1.0NRT,294.6,6.1,N
29.34841,31.09384,338.6,0.46,0.47,2019-09-13,00:06,N,nominal,1.0NRT,295.2,6.1,N
31.95551,11.1431,303.4,0.55,0.68,2019-09-13,00:06,N,nominal,1.0NRT,289.2,0.5,N
30.03824,27.91746,322.3,0.46,0.39,2019-09-13,00:06,N,nominal,1.0NRT,294.3,1.1,N
28.96584,33.18178,313,0.62,0.54,2019-09-13,00:06,N,nominal,1.0NRT,294.3,1.4,N
28.96668,33.18196,309.4,0.62,0.54,2019-09-13,00:06,N,nominal,1.0NRT,294.2,2.3,N
30.03197,28.23101,314.1,0.48,0.4,2019-09-13,00:06,N,nominal,1.0NRT,294,1.4,N
30.48228,25.84124,323.4,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,292.5,1.3,N
30.53153,26.09068,334.2,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,293.9,2.8,N
30.53295,26.08239,343.5,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,296.5,9.9,N
30.5363,26.08315,334.6,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.2,9.9,N
30.66949,26.36858,342.8,0.41,0.37,2019-09-13,00:06,N,nominal,1.0NRT,293,6.9,N
29.74484,31.48345,311.2,0.47,0.48,2019-09-13,00:06,N,nominal,1.0NRT,291.9,1.3,N
29.75709,31.42621,306.6,0.47,0.48,2019-09-13,00:06,N,nominal,1.0NRT,292.3,0.6,N
29.82263,31.3101,317.3,0.46,0.47,2019-09-13,00:06,N,nominal,1.0NRT,296.7,2.4,N
29.82391,31.30729,314.8,0.46,0.47,2019-09-13,00:06,N,nominal,1.0NRT,296.5,1.5,N
29.86839,31.29,307.8,0.46,0.47,2019-09-13,00:06,N,nominal,1.0NRT,295.2,1.3,N
30.82409,26.47095,312.2,0.41,0.37,2019-09-13,00:06,N,nominal,1.0NRT,293.3,1,N
35.82168,38.2485,300.9,0.41,0.6,2019-09-13,00:06,N,nominal,1.0NRT,290.4,0.4,N
35.30088,40.44453,304.4,0.55,0.68,2019-09-13,00:06,N,nominal,1.0NRT,292.4,0.9,N
35.30383,40.44523,304.6,0.55,0.68,2019-09-13,00:06,N,nominal,1.0NRT,292.3,1.2,N
36.86739,34.76025,304.5,0.5,0.49,2019-09-13,00:06,N,nominal,1.0NRT,294.1,1.5,N
36.73462,36.21012,307.9,0.6,0.53,2019-09-13,00:06,N,nominal,1.0NRT,293.4,4.8,N
37.022,36.10576,302.5,0.59,0.53,2019-09-13,00:06,N,nominal,1.0NRT,292.1,2,N
37.02187,36.12701,304.4,0.59,0.53,2019-09-13,00:06,N,nominal,1.0NRT,291.9,0.9,N
36.79807,38.15339,313.1,0.38,0.59,2019-09-13,00:06,N,nominal,1.0NRT,287.7,1.1,N
36.95279,37.74931,303.1,0.36,0.57,2019-09-13,00:06,N,nominal,1.0NRT,290.4,1.1,N
36.1386,40.81789,302.2,0.54,0.68,2019-09-13,00:06,N,nominal,1.0NRT,288.2,0.9,N
35.50946,43.44646,310.2,0.77,0.77,2019-09-13,00:06,N,nominal,1.0NRT,287.8,1.9,N
35.51208,43.43819,309.3,0.77,0.77,2019-09-13,00:06,N,nominal,1.0NRT,287.8,4.3,N
37.2936,37.15929,300.9,0.33,0.55,2019-09-13,00:06,N,nominal,1.0NRT,290.9,0.4,N
35.51624,43.44971,302.1,0.77,0.77,2019-09-13,00:06,N,nominal,1.0NRT,287.8,1.9,N
35.506,43.44104,304.5,0.77,0.77,2019-09-13,00:06,N,nominal,1.0NRT,288.1,2.4,N
35.51279,43.44425,324.9,0.77,0.77,2019-09-13,00:06,N,nominal,1.0NRT,288.3,5.2,N
37.35018,37.16131,304.5,0.33,0.55,2019-09-13,00:06,N,nominal,1.0NRT,292.3,1,N
27.98606,22.32129,331.9,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,297.8,7.7,N
27.98882,22.32593,329.7,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,296.7,1.4,N
28.52781,20.79095,308.6,0.44,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.2,0.7,N
28.37224,21.94239,312.5,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.6,0.4,N
28.9079,19.77683,319.6,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,298.1,17.6,N
28.90853,19.77183,339.1,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,294.4,17.6,N
28.90915,19.76697,330.7,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,294.5,4.8,N
28.91162,19.77743,311.1,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,293.4,1.4,N
28.91225,19.77242,311.6,0.49,0.4,2019-09-13,00:06,N,nominal,1.0NRT,293.7,1.4,N
28.71263,21.38362,343,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,296.1,4.2,N
28.70992,21.45366,330.6,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,296.1,3.7,N
29.07142,19.0642,336.2,0.53,0.42,2019-09-13,00:06,N,nominal,1.0NRT,294.8,5.3,N
29.07207,19.05871,329.6,0.53,0.42,2019-09-13,00:06,N,nominal,1.0NRT,295,6.3,N
28.89259,20.96297,306.7,0.44,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295,0.5,N
28.69233,22.37601,324.3,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,294.6,1.6,N
28.69569,22.37665,329.6,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.8,1.6,N
28.90438,20.95584,337,0.44,0.38,2019-09-13,00:06,N,nominal,1.0NRT,301.1,41.8,N
28.86891,21.22006,319.2,0.43,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.2,1.1,N
28.90449,20.95357,326.9,0.44,0.38,2019-09-13,00:06,N,nominal,1.0NRT,298.9,32.6,N
28.87239,21.22068,316.3,0.43,0.38,2019-09-13,00:06,N,nominal,1.0NRT,295.1,0.7,N
28.91386,20.96442,308,0.44,0.38,2019-09-13,00:06,N,nominal,1.0NRT,294.9,0.6,N
27.16796,31.01181,307.5,0.5,0.49,2019-09-13,00:06,N,nominal,1.0NRT,296.1,1.6,N
28.78505,22.45884,319.9,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.7,1.3,N
28.83455,22.11967,317.2,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.2,1.1,N
28.83335,22.12793,320.8,0.4,0.37,2019-09-13,00:06,N,nominal,1.0NRT,295.2,1.8,N
30.76166,27.05161,316.3,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,291.3,2.4,N
30.76089,27.05598,328.8,0.42,0.38,2019-09-13,00:06,N,nominal,1.0NRT,291.7,2.4,N
30.76002,27.10155,307.7,0.43,0.38,2019-09-13,00:06,N,nominal,1.0NRT,292.8,0.7,N
30.76119,27.10432,303.9,0.43,0.38,2019-09-13,00:06,N,nominal,1.0NRT,293.2,0.5,N
30.76808,27.10596,329.8,0.43,0.38,2019-09-13,00:06,N,nominal,1.0NRT,293.7,2.9,N
29.76707,32.21524,307.1,0.52,0.5,2019-09-13,00:06,N,nominal,1.0NRT,293.5,0.6,N
