latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.02364,173.17307,336.2,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,288.5,32.8,D
66.67435,125.15684,329,0.53,0.67,2019-08-29,01:06,N,nominal,1.0NRT,284.9,7.7,D
66.66734,125.1833,325.8,0.53,0.67,2019-08-29,01:06,N,nominal,1.0NRT,285.9,2.5,D
67.33234,131.45035,328.7,0.39,0.59,2019-08-29,01:06,N,nominal,1.0NRT,286.4,2.6,D
66.81961,133.51105,342.2,0.38,0.59,2019-08-29,01:06,N,nominal,1.0NRT,283.8,4.1,D
65.02777,173.13997,325,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,283.4,20.7,D
65.02876,173.14948,355.7,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,291.7,20.7,D
65.02975,173.15907,348.3,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,289.8,7,D
65.03076,173.16873,329,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,293.4,7,D
65.02619,173.16127,355.7,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,305.4,32.8,D
65.0272,173.17093,336.2,0.47,0.39,2019-08-29,01:06,N,nominal,1.0NRT,289.9,32.8,D
50.56449,30.29975,295.2,0.54,0.68,2019-08-29,01:18,N,nominal,1.0NRT,283.3,0.8,N
59.49623,26.52554,322.7,0.4,0.44,2019-08-29,01:18,N,nominal,1.0NRT,288.1,2.6,N
59.06362,28.13501,302.8,0.46,0.47,2019-08-29,01:18,N,nominal,1.0NRT,285,1,N
55.22252,36.43979,302.4,0.58,0.7,2019-08-29,01:18,N,nominal,1.0NRT,275.2,1.2,N
53.4446,34.42144,301.6,0.59,0.7,2019-08-29,01:18,N,nominal,1.0NRT,276.7,1.1,N
53.19813,30.88521,301.6,0.46,0.63,2019-08-29,01:18,N,nominal,1.0NRT,280,0.9,N
52.50338,31.98706,311.1,0.53,0.67,2019-08-29,01:18,N,nominal,1.0NRT,279.5,1.3,N
52.8438,29.99022,319.1,0.44,0.62,2019-08-29,01:18,N,nominal,1.0NRT,282.5,1.9,N
51.69822,32.68718,296.1,0.6,0.71,2019-08-29,01:18,N,nominal,1.0NRT,283.7,1.8,N
51.7718,30.62313,303.2,0.5,0.66,2019-08-29,01:18,N,nominal,1.0NRT,284.2,2.7,N
