latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.49648,150.83157,327.8,0.7,0.75,2019-09-03,02:30,N,nominal,1.0NRT,288.2,8.2,D
-10.20161,150.28674,329.8,0.49,0.65,2019-09-03,04:12,N,nominal,1.0NRT,291.6,7.2,D
-10.20232,150.28313,334.5,0.49,0.65,2019-09-03,04:12,N,nominal,1.0NRT,292.2,7.2,D
-10.20136,150.28471,349.5,0.49,0.65,2019-09-03,04:12,N,nominal,1.0NRT,292.8,7.7,D
-10.19492,150.28571,330.9,0.49,0.65,2019-09-03,04:12,N,nominal,1.0NRT,293.7,7.6,D
-9.69206,149.46979,343.2,0.45,0.63,2019-09-03,04:12,N,nominal,1.0NRT,291.4,7.8,D
-9.9549,149.80589,329.5,0.46,0.64,2019-09-03,04:12,N,nominal,1.0NRT,292.8,3.9,D
-9.95702,149.80644,328.4,0.46,0.64,2019-09-03,04:12,N,nominal,1.0NRT,292.9,3.7,D
-9.94034,149.76552,332.4,0.46,0.64,2019-09-03,04:12,N,nominal,1.0NRT,292.1,2.4,D
-7.54286,138.40991,332.5,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295,3.6,D
-7.54339,138.40643,335.6,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,294.8,3.6,D
-7.53954,138.40941,337,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.6,3.6,D
-7.54007,138.40593,338.8,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.7,3.6,D
-7.5406,138.40245,333,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,294.9,2.8,D
-7.53622,138.40891,346.6,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,296,20.8,D
-7.53728,138.40195,352.7,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,296.9,28.6,D
-7.5329,138.4084,333.8,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,294.4,20.8,D
-7.53343,138.40492,342.4,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,303.1,20.8,D
-7.53396,138.40143,344.7,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,301.3,28.6,D
-7.53011,138.40442,347.2,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.7,29.9,D
-7.43852,138.98277,331.5,0.39,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295,3.5,D
-7.42864,139.00276,342.8,0.39,0.36,2019-09-03,04:12,N,nominal,1.0NRT,293.2,4.9,D
-7.45372,138.72769,331.8,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,299.5,5.1,D
-7.45425,138.7242,335.1,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,297.9,3.6,D
-6.32481,145.61688,339.1,0.56,0.52,2019-09-03,04:12,N,nominal,1.0NRT,290.7,9.1,D
-6.32439,145.61934,339.9,0.56,0.52,2019-09-03,04:12,N,nominal,1.0NRT,290.9,6.3,D
-6.29007,145.591,342.6,0.56,0.52,2019-09-03,04:12,N,nominal,1.0NRT,294.6,16.8,D
-7.41629,138.53275,331.2,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.7,10.8,D
-7.41682,138.52927,352.1,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,294.2,10.8,D
-7.41735,138.5258,341.3,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,288.8,10.2,D
-7.44483,138.34485,331.3,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.6,6.5,D
-7.41244,138.53574,333.6,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,291,4.6,D
-7.41297,138.53224,336,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,292.8,10.8,D
-7.4135,138.52876,349.5,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,295.6,10.8,D
-7.41403,138.5253,344.4,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,292.7,10.2,D
-7.44151,138.34435,342.9,0.38,0.36,2019-09-03,04:12,N,nominal,1.0NRT,296,6.5,D
-6.32675,145.20021,335.9,0.53,0.5,2019-09-03,04:12,N,nominal,1.0NRT,292.4,4,D
-6.27846,145.12622,331,0.52,0.5,2019-09-03,04:12,N,nominal,1.0NRT,289.9,3.6,D
-9.07927,125.17429,331.2,0.73,0.76,2019-09-03,04:12,N,nominal,1.0NRT,298.2,5.4,D
-8.22296,130.99557,340.2,0.57,0.52,2019-09-03,04:12,N,nominal,1.0NRT,301,7.5,D
-8.22407,130.99336,331.7,0.57,0.52,2019-09-03,04:12,N,nominal,1.0NRT,301.4,6.5,D
-8.17597,131.09325,345,0.56,0.52,2019-09-03,04:12,N,nominal,1.0NRT,299.2,5.3,D
-8.18097,131.05695,341.9,0.57,0.52,2019-09-03,04:12,N,nominal,1.0NRT,301.2,7.1,D
-8.17923,130.99829,331,0.57,0.52,2019-09-03,04:12,N,nominal,1.0NRT,298.6,4.5,D
-8.16089,131.0966,345,0.56,0.52,2019-09-03,04:12,N,nominal,1.0NRT,299.1,9.4,D
-8.70496,126.1321,333,0.62,0.71,2019-09-03,04:12,N,nominal,1.0NRT,292.4,8.1,D
-8.77445,125.28268,327.4,0.71,0.75,2019-09-03,04:12,N,nominal,1.0NRT,294.4,7,D
-5.99188,144.16101,339.5,0.46,0.47,2019-09-03,04:12,N,nominal,1.0NRT,292.5,4.6,D
-8.53702,126.41679,331.4,0.59,0.7,2019-09-03,04:12,N,nominal,1.0NRT,295.4,8.3,D
-8.53766,126.41162,331.3,0.59,0.7,2019-09-03,04:12,N,nominal,1.0NRT,295.3,6.6,D
-5.58918,146.317,367,0.32,0.55,2019-09-03,04:12,N,high,1.0NRT,292.1,5.2,D
-7.89272,129.60915,349.1,0.35,0.57,2019-09-03,04:12,N,nominal,1.0NRT,304.5,3.2,D
-7.89318,129.60561,330,0.35,0.57,2019-09-03,04:12,N,low,1.0NRT,301.4,3.2,D
-8.28118,124.91278,333.3,0.74,0.76,2019-09-03,04:12,N,nominal,1.0NRT,297.4,6.8,D
-8.23575,124.93031,337,0.74,0.76,2019-09-03,04:12,N,nominal,1.0NRT,297,8.7,D
