latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-7.42642,-42.06991,307.8,0.52,0.67,2019-10-16,03:18,N,nominal,1.0NRT,290.6,1.9,N
-7.43168,-42.07579,305.5,0.52,0.67,2019-10-16,03:18,N,nominal,1.0NRT,290.4,1.5,N
-7.36417,-42.96583,306.6,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,289.8,4.9,N
-7.37169,-42.96156,304.4,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,288.6,3.3,N
-7.37271,-42.95599,309.6,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,289.2,3.3,N
-7.36286,-42.96561,305.3,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,289.9,2.6,N
-7.3704,-42.96141,304.9,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,289.1,2.6,N
-7.37146,-42.95584,312.2,0.59,0.7,2019-10-16,03:18,N,nominal,1.0NRT,289.3,4.6,N
-7.78416,-43.52966,309.6,0.63,0.72,2019-10-16,03:18,N,nominal,1.0NRT,288.9,3.4,N
-7.78529,-43.52361,304.6,0.63,0.72,2019-10-16,03:18,N,nominal,1.0NRT,288.8,2.8,N
-7.78666,-43.53079,304.1,0.63,0.72,2019-10-16,03:18,N,nominal,1.0NRT,289.1,1.7,N
-7.78783,-43.52479,306,0.63,0.72,2019-10-16,03:18,N,nominal,1.0NRT,289.2,1.7,N
-7.97636,-42.89412,302.8,0.57,0.69,2019-10-16,03:18,N,nominal,1.0NRT,284.2,1,N
-7.9838,-42.88988,300.6,0.57,0.69,2019-10-16,03:18,N,nominal,1.0NRT,284.6,1,N
-5.62983,-35.43929,310.3,0.4,0.44,2019-10-16,03:18,N,nominal,1.0NRT,292.4,1.8,N
-5.09082,-41.36228,308.4,0.51,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.2,3,N
-5.09165,-41.35752,307.4,0.51,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.2,1.3,N
-5.09012,-41.36039,308.5,0.51,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.3,2.6,N
-5.09098,-41.35565,306.7,0.51,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.4,1.7,N
-5.09537,-41.36626,307.6,0.51,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.6,1.5,N
-5.15299,-41.25499,314.9,0.5,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.9,2.5,N
-6.76373,-35.00039,321.9,0.55,0.42,2019-10-16,03:18,N,nominal,1.0NRT,293.5,2.2,N
-6.88831,-37.91365,340.4,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,293.1,5.6,N
-6.88916,-37.90862,335.8,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.6,4.1,N
-6.88746,-37.9187,313.8,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.5,5.6,N
-6.89001,-37.90359,305.8,0.55,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292,4.1,N
-6.89218,-37.91962,313.6,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.2,2.5,N
-6.89303,-37.91457,307.8,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,291.9,2.5,N
-6.88879,-37.91548,328.7,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.8,8.5,N
-6.88967,-37.91045,346.5,0.55,0.51,2019-10-16,03:18,N,nominal,1.0NRT,293.2,8.5,N
-6.8879,-37.92051,309.3,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.2,3.8,N
-6.89056,-37.90543,316.6,0.55,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.2,5.1,N
-6.8935,-37.91639,304.7,0.56,0.51,2019-10-16,03:18,N,nominal,1.0NRT,291.6,3.7,N
-6.95453,-37.90147,309.7,0.55,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.1,4,N
-6.9554,-37.89639,306.7,0.55,0.51,2019-10-16,03:18,N,nominal,1.0NRT,292.1,4.3,N
-6.85118,-38.6787,311.9,0.63,0.54,2019-10-16,03:18,N,nominal,1.0NRT,292.3,5,N
-7.02041,-37.68486,307.7,0.53,0.5,2019-10-16,03:18,N,nominal,1.0NRT,291.1,1.1,N
-6.85714,-38.67389,321.2,0.63,0.54,2019-10-16,03:18,N,nominal,1.0NRT,292.4,4.7,N
-6.85068,-38.67904,313.2,0.63,0.54,2019-10-16,03:18,N,nominal,1.0NRT,292.4,4.1,N
-6.85668,-38.67424,321.8,0.63,0.54,2019-10-16,03:18,N,nominal,1.0NRT,292.5,6.9,N
-7.3439,-38.11904,324,0.56,0.52,2019-10-16,03:18,N,nominal,1.0NRT,292.5,4.1,N
-7.34299,-38.12426,308.3,0.56,0.52,2019-10-16,03:18,N,nominal,1.0NRT,292.3,2.6,N
-7.09961,-40.02719,316.9,0.38,0.59,2019-10-16,03:18,N,nominal,1.0NRT,290.9,4,N
-7.10507,-40.02805,348.8,0.38,0.59,2019-10-16,03:18,N,nominal,1.0NRT,290.4,4,N
-6.92439,-41.48969,348.1,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,293,5.2,N
-6.92369,-41.49349,308.3,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,291,6.1,N
-6.92511,-41.48578,308.6,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,290.5,5.2,N
-6.92729,-41.50764,367,0.48,0.65,2019-10-16,03:18,N,high,1.0NRT,292.3,8.3,N
-6.92803,-41.50362,333.9,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,291.3,8.3,N
-6.93024,-41.49155,355.1,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,288.9,4.9,N
-6.92949,-41.49561,305,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,290.2,7.2,N
-6.93099,-41.48742,302.2,0.48,0.65,2019-10-16,03:18,N,nominal,1.0NRT,286.2,4.9,N
-6.70865,-42.91241,324.9,0.6,0.71,2019-10-16,03:18,N,nominal,1.0NRT,289.8,9,N
-6.94158,-41.70333,307.7,0.5,0.66,2019-10-16,03:18,N,nominal,1.0NRT,291.1,9.1,N
-6.9424,-41.69879,311,0.5,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290.9,6.1,N
-6.94395,-41.69019,306.5,0.5,0.66,2019-10-16,03:18,N,nominal,1.0NRT,290,2,N
