latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.84222,98.27379,338.3,0.38,0.59,2019-09-21,05:30,N,nominal,1.0NRT,303.2,2.6,D
7.24123,81.67581,329.6,0.59,0.7,2019-09-21,07:00,N,nominal,1.0NRT,287.9,2.5,D
8.41889,80.81033,332.6,0.64,0.72,2019-09-21,07:06,N,nominal,1.0NRT,287.8,8.3,D
21.9216,83.34916,331.9,0.49,0.49,2019-09-21,07:06,N,nominal,1.0NRT,298.6,5.6,D
22.00449,82.66975,327.7,0.54,0.51,2019-09-21,07:06,N,nominal,1.0NRT,296.6,6.3,D
22.79141,86.20099,333.2,0.49,0.41,2019-09-21,07:06,N,nominal,1.0NRT,296.9,4.8,D
22.79595,86.20497,345.2,0.49,0.41,2019-09-21,07:06,N,nominal,1.0NRT,298.2,16.8,D
24.51625,94.47199,334.5,0.53,0.42,2019-09-21,07:06,N,nominal,1.0NRT,295,5.6,D
23.55784,87.23811,330,0.44,0.38,2019-09-21,07:06,N,low,1.0NRT,300.8,6.4,D
23.69424,87.12354,332.3,0.44,0.38,2019-09-21,07:06,N,low,1.0NRT,302.4,3.7,D
23.80181,87.05462,330.2,0.44,0.38,2019-09-21,07:06,N,low,1.0NRT,303.5,7.7,D
23.72253,86.44372,335.8,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,301.7,8.8,D
23.72173,86.43915,336.9,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,303.1,5.1,D
23.72254,86.44054,345.7,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,303.7,6.3,D
23.72615,86.4398,343.1,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,301.1,6.3,D
23.67741,86.08422,339.1,0.49,0.4,2019-09-21,07:06,N,nominal,1.0NRT,301.8,5.9,D
23.68278,86.09288,335.1,0.49,0.4,2019-09-21,07:06,N,nominal,1.0NRT,299.5,4,D
23.68107,86.08344,343.4,0.49,0.4,2019-09-21,07:06,N,nominal,1.0NRT,300,2.9,D
23.74899,86.42096,337.3,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,300.8,4.8,D
23.7526,86.42023,330.8,0.47,0.4,2019-09-21,07:06,N,low,1.0NRT,300.9,4.8,D
23.75179,86.41567,337.1,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,300.8,6.1,D
23.76299,86.39435,333.5,0.47,0.4,2019-09-21,07:06,N,low,1.0NRT,304.4,6.4,D
23.76661,86.39362,335.9,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,304.7,5.8,D
23.76942,86.38831,331.5,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,301.3,5.8,D
23.77746,86.39143,337.1,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,298.1,8.7,D
23.78023,86.34319,342.9,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,304.4,10.2,D
23.78667,86.3371,332.9,0.47,0.4,2019-09-21,07:06,N,low,1.0NRT,304.1,5.7,D
23.79634,86.34943,334,0.47,0.4,2019-09-21,07:06,N,nominal,1.0NRT,300.9,4.2,D
23.75247,85.85661,344.7,0.5,0.41,2019-09-21,07:06,N,nominal,1.0NRT,306.1,12.4,D
