latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-7.84731,12.11801,309.7,0.61,0.53,2019-10-18,01:00,N,nominal,1.0NRT,282.4,7,N
-7.84656,12.11243,341,0.61,0.53,2019-10-18,01:00,N,nominal,1.0NRT,278.3,12.1,N
-7.85097,12.11232,300,0.61,0.53,2019-10-18,01:00,N,nominal,1.0NRT,278.5,2.6,N
-7.84603,12.11301,342,0.61,0.53,2019-10-18,01:00,N,nominal,1.0NRT,279.5,17.5,N
-19.43466,13.58229,305,0.53,0.67,2019-10-18,01:06,N,nominal,1.0NRT,287.5,0.5,N
-16.41607,36.68136,335.2,0.66,0.73,2019-10-18,10:12,N,nominal,1.0NRT,285.7,3.4,D
-16.40916,36.68106,333.6,0.66,0.73,2019-10-18,10:12,N,nominal,1.0NRT,288,5.7,D
-15.19804,47.21249,331,0.43,0.38,2019-10-18,10:12,N,low,1.0NRT,305.3,2.3,D
-16.41572,36.68024,335.5,0.66,0.73,2019-10-18,10:12,N,nominal,1.0NRT,286,6.6,D
-16.03306,39.99817,333.4,0.4,0.6,2019-10-18,10:12,N,nominal,1.0NRT,292.1,3.6,D
-14.86982,48.57057,333.6,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,300.6,53.8,D
-14.86648,48.56995,350.9,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,303.8,53.8,D
-14.86313,48.56935,349.9,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,297.7,7.6,D
-14.85224,48.52619,344.9,0.39,0.37,2019-10-18,10:12,N,nominal,1.0NRT,301.2,5.8,D
-14.85279,48.5224,338.8,0.39,0.37,2019-10-18,10:12,N,nominal,1.0NRT,301.5,3.8,D
-14.8256,48.49648,332.1,0.39,0.37,2019-10-18,10:12,N,nominal,1.0NRT,297.5,10.1,D
-14.82224,48.4959,353.1,0.39,0.37,2019-10-18,10:12,N,nominal,1.0NRT,307,10.1,D
-14.77572,47.38401,344.3,0.42,0.38,2019-10-18,10:12,N,nominal,1.0NRT,305.1,7.4,D
-14.77628,47.38005,342,0.42,0.38,2019-10-18,10:12,N,low,1.0NRT,304,7.4,D
-14.77683,47.37609,340.7,0.42,0.38,2019-10-18,10:12,N,low,1.0NRT,303.5,19.7,D
-14.77445,47.36766,349.2,0.42,0.38,2019-10-18,10:12,N,low,1.0NRT,302.6,9.4,D
-14.77151,47.36319,350.5,0.42,0.38,2019-10-18,10:12,N,nominal,1.0NRT,306,17.6,D
-14.77207,47.35922,337.1,0.42,0.38,2019-10-18,10:12,N,nominal,1.0NRT,303.4,8.5,D
-14.76858,47.3587,367,0.42,0.38,2019-10-18,10:12,N,high,1.0NRT,305.3,8.5,D
-14.76637,47.37452,338,0.42,0.38,2019-10-18,10:12,N,low,1.0NRT,304.3,5.3,D
-14.76692,47.37059,333.4,0.42,0.38,2019-10-18,10:12,N,low,1.0NRT,304.7,5.3,D
-14.76287,47.37401,338.7,0.42,0.38,2019-10-18,10:12,N,nominal,1.0NRT,305.1,10.2,D
-14.56233,48.66756,336,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,302.6,4.6,D
-14.55886,48.34023,344.2,0.4,0.37,2019-10-18,10:12,N,nominal,1.0NRT,303.9,29.5,D
-14.51441,48.21519,330.1,0.4,0.37,2019-10-18,10:12,N,nominal,1.0NRT,295.5,1.8,D
-15.48172,40.41312,337.4,0.37,0.58,2019-10-18,10:12,N,nominal,1.0NRT,286.6,4.1,D
-15.92872,35.86245,334.9,0.74,0.76,2019-10-18,10:12,N,nominal,1.0NRT,291.6,11.1,D
-15.63352,38.54275,330,0.49,0.65,2019-10-18,10:12,N,nominal,1.0NRT,292.9,3.7,D
-15.63327,38.54235,330.7,0.49,0.65,2019-10-18,10:12,N,nominal,1.0NRT,293.1,3.8,D
-15.43946,39.62794,342.4,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,293.9,6.2,D
-14.02582,50.01134,329.9,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,295.6,2.1,D
-15.297,39.71138,345.9,0.41,0.6,2019-10-18,10:12,N,nominal,1.0NRT,291.4,5.1,D
-15.4009,38.63582,342.3,0.48,0.65,2019-10-18,10:12,N,nominal,1.0NRT,291.8,4.4,D
-15.21346,40.0748,330.4,0.38,0.59,2019-10-18,10:12,N,nominal,1.0NRT,290.3,1.8,D
-15.1851,39.92577,352.1,0.39,0.6,2019-10-18,10:12,N,nominal,1.0NRT,291.2,6.5,D
-15.10271,40.42863,340.5,0.36,0.58,2019-10-18,10:12,N,nominal,1.0NRT,290.6,4.1,D
-15.10027,40.43072,345.1,0.36,0.58,2019-10-18,10:12,N,nominal,1.0NRT,291.9,4.7,D
-15.03849,40.54389,337.9,0.36,0.57,2019-10-18,10:12,N,nominal,1.0NRT,294.4,1.6,D
-15.01518,40.41342,367,0.36,0.58,2019-10-18,10:12,N,high,1.0NRT,292.9,7.2,D
-13.89478,49.02222,346.7,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,301.1,4.9,D
-13.88932,49.0359,333.4,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,300.3,7.7,D
-13.89092,49.02522,352.4,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,302.9,13.2,D
-13.89145,49.02168,333.3,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,298.5,4,D
-15.034,40.1412,331,0.38,0.59,2019-10-18,10:12,N,nominal,1.0NRT,292,3.2,D
-15.0718,39.73692,331.8,0.4,0.6,2019-10-18,10:12,N,nominal,1.0NRT,289.6,4.3,D
-14.99897,40.36239,349,0.37,0.58,2019-10-18,10:12,N,nominal,1.0NRT,292.1,7.4,D
-14.99936,40.35888,341.8,0.37,0.58,2019-10-18,10:12,N,nominal,1.0NRT,291.5,4.9,D
-15.07378,39.7352,346.8,0.4,0.6,2019-10-18,10:12,N,nominal,1.0NRT,291.2,4.2,D
-14.99651,40.35964,367,0.37,0.58,2019-10-18,10:12,N,high,1.0NRT,291.7,7.4,D
-15.14669,38.75596,347.3,0.47,0.64,2019-10-18,10:12,N,nominal,1.0NRT,291.4,6.6,D
-15.06029,39.39124,335.6,0.43,0.62,2019-10-18,10:12,N,nominal,1.0NRT,289.2,4.1,D
-14.91152,40.53379,333.3,0.36,0.57,2019-10-18,10:12,N,nominal,1.0NRT,293.8,1.5,D
-14.90731,40.52324,337.3,0.36,0.57,2019-10-18,10:12,N,nominal,1.0NRT,294.3,2.6,D
-14.97049,39.6371,367,0.41,0.61,2019-10-18,10:12,N,high,1.0NRT,294.3,12.3,D
-14.9709,39.63326,348.2,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,293,12.3,D
-14.9713,39.62941,353.1,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,293.8,14.2,D
-14.96443,39.64037,335.8,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,288.1,14.5,D
-14.96645,39.62121,333.1,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,296.2,9.9,D
-13.91374,47.99078,338.9,0.4,0.37,2019-10-18,10:12,N,low,1.0NRT,297.9,5.7,D
-13.90839,47.95539,337.2,0.4,0.37,2019-10-18,10:12,N,nominal,1.0NRT,301,5.3,D
-13.88865,47.97159,331.2,0.4,0.37,2019-10-18,10:12,N,low,1.0NRT,298.1,4.2,D
-14.96793,39.63659,367,0.41,0.61,2019-10-18,10:12,N,high,1.0NRT,291.4,11.2,D
-13.88744,47.95611,344.5,0.4,0.37,2019-10-18,10:12,N,nominal,1.0NRT,300.9,9.7,D
-14.96749,39.64043,356,0.41,0.6,2019-10-18,10:12,N,nominal,1.0NRT,287.6,16,D
-14.96836,39.63276,347.3,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,288.1,11.2,D
-14.96879,39.62894,351,0.41,0.61,2019-10-18,10:12,N,nominal,1.0NRT,288.4,11.6,D
-13.88159,47.92472,345,0.4,0.37,2019-10-18,10:12,N,low,1.0NRT,297.8,89.8,D
-13.62259,49.48499,346.3,0.38,0.36,2019-10-18,10:12,N,nominal,1.0NRT,293,4.7,D
-13.61927,49.48446,341,0.38,0.36,2019-10-18,10:12,N,nominal,1.0NRT,292,4.8,D
-13.71436,48.82848,342.6,0.39,0.36,2019-10-18,10:12,N,nominal,1.0NRT,298.4,5.5,D
-16.97733,48.26787,335.2,0.41,0.37,2019-10-18,10:12,N,low,1.0NRT,297.1,8.3,D
-16.97335,48.27117,336.3,0.41,0.37,2019-10-18,10:12,N,low,1.0NRT,293.8,8.3,D
-17.39352,45.05278,332.8,0.39,0.44,2019-10-18,10:12,N,low,1.0NRT,303.1,1.5,D
-17.38944,45.05228,343.3,0.39,0.44,2019-10-18,10:12,N,nominal,1.0NRT,303.7,3.7,D
-17.24679,46.12341,336.7,0.51,0.41,2019-10-18,10:12,N,low,1.0NRT,305.6,5,D
-17.50222,44.07611,341.7,0.45,0.47,2019-10-18,10:12,N,nominal,1.0NRT,302.7,18.7,D
-17.50274,44.07181,333.7,0.45,0.47,2019-10-18,10:12,N,nominal,1.0NRT,300.6,10.1,D
-17.37337,44.91535,336.7,0.4,0.44,2019-10-18,10:12,N,nominal,1.0NRT,305.9,3.3,D
-17.33587,45.18283,334.9,0.38,0.44,2019-10-18,10:12,N,nominal,1.0NRT,301.6,2,D
-16.97698,47.66357,333.9,0.43,0.38,2019-10-18,10:12,N,nominal,1.0NRT,303.4,2.8,D
-17.38603,44.46827,347.4,0.42,0.46,2019-10-18,10:12,N,nominal,1.0NRT,305.2,10.4,D
-17.38129,44.47179,334.9,0.42,0.46,2019-10-18,10:12,N,nominal,1.0NRT,303.9,3.1,D
-17.07371,46.75619,340.1,0.47,0.4,2019-10-18,10:12,N,nominal,1.0NRT,307.5,2.8,D
-16.96317,47.53138,336.9,0.44,0.38,2019-10-18,10:12,N,nominal,1.0NRT,301.1,3.2,D
-17.02261,47.10237,344,0.45,0.39,2019-10-18,10:12,N,nominal,1.0NRT,308.6,6,D
-16.94985,47.60094,354.9,0.43,0.38,2019-10-18,10:12,N,nominal,1.0NRT,308.7,24.5,D
-17.29627,44.8776,338.4,0.4,0.44,2019-10-18,10:12,N,nominal,1.0NRT,305.6,4.4,D
-17.22235,45.36376,338,0.56,0.43,2019-10-18,10:12,N,nominal,1.0NRT,304,5.5,D
-16.99878,46.97935,345,0.46,0.39,2019-10-18,10:12,N,nominal,1.0NRT,309.3,6.7,D
-17.34581,44.23314,337.6,0.44,0.46,2019-10-18,10:12,N,nominal,1.0NRT,300.2,4.7,D
-17.34632,44.22895,343.7,0.44,0.46,2019-10-18,10:12,N,nominal,1.0NRT,299.2,4.7,D
-16.97615,47.06493,334.3,0.46,0.39,2019-10-18,10:12,N,low,1.0NRT,308.6,2.4,D
-16.97323,46.94887,337.3,0.46,0.39,2019-10-18,10:12,N,low,1.0NRT,307.9,14.3,D
-16.97381,46.94453,343.4,0.46,0.39,2019-10-18,10:12,N,nominal,1.0NRT,310.6,14.3,D
-17.18295,45.15073,330.5,0.38,0.44,2019-10-18,10:12,N,low,1.0NRT,304.5,1.8,D
-17.25307,44.60271,332,0.42,0.45,2019-10-18,10:12,N,nominal,1.0NRT,301,1.8,D
-16.98112,46.64411,341.3,0.48,0.4,2019-10-18,10:12,N,low,1.0NRT,309.6,7.4,D
-17.24888,44.60221,343,0.42,0.45,2019-10-18,10:12,N,nominal,1.0NRT,301.6,6.9,D
-17.24938,44.59823,356.4,0.42,0.45,2019-10-18,10:12,N,nominal,1.0NRT,303.4,6.9,D
-16.96163,46.75987,333,0.47,0.4,2019-10-18,10:12,N,low,1.0NRT,306.1,1.6,D
-16.96404,46.7422,345,0.47,0.4,2019-10-18,10:12,N,nominal,1.0NRT,309,5.6,D
