latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.45269,-81.67487,309.6,0.69,0.74,2019-10-01,06:12,N,nominal,1.0NRT,288.4,1.7,N
42.79845,-80.10294,308.3,0.58,0.7,2019-10-01,06:12,N,nominal,1.0NRT,286.6,3.1,N
42.8049,-80.09518,311,0.58,0.7,2019-10-01,06:12,N,nominal,1.0NRT,287,3.4,N
42.805,-80.10265,314.5,0.58,0.7,2019-10-01,06:12,N,nominal,1.0NRT,286.8,3.1,N
42.81145,-80.09492,300.1,0.58,0.7,2019-10-01,06:12,N,nominal,1.0NRT,286.5,2,N
42.81154,-80.10235,300.8,0.58,0.7,2019-10-01,06:12,N,nominal,1.0NRT,285.9,2,N
42.94177,-82.41691,298.7,0.76,0.77,2019-10-01,06:12,N,nominal,1.0NRT,287.2,1.1,N
43.48996,-79.62476,297.4,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,285.5,1.5,N
43.49082,-79.62586,298.7,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,285.5,0.9,N
41.45969,-81.67487,312.8,0.69,0.74,2019-10-01,06:12,N,nominal,1.0NRT,288.3,2.1,N
26.66426,-78.01572,306.7,0.33,0.55,2019-10-01,06:12,N,nominal,1.0NRT,290.6,1.2,N
26.66187,-78.01559,307.8,0.33,0.55,2019-10-01,06:12,N,nominal,1.0NRT,291,1.3,N
26.65924,-78.04316,305,0.33,0.55,2019-10-01,06:12,N,nominal,1.0NRT,291,1.1,N
26.61048,-78.38115,331.5,0.35,0.56,2019-10-01,06:12,N,nominal,1.0NRT,292.5,2.2,N
26.60309,-78.48304,321.8,0.35,0.57,2019-10-01,06:12,N,nominal,1.0NRT,291.8,1.3,N
26.60417,-78.48145,319.1,0.35,0.57,2019-10-01,06:12,N,nominal,1.0NRT,291.8,1.4,N
26.58963,-78.49763,306.2,0.35,0.57,2019-10-01,06:12,N,nominal,1.0NRT,291.5,0.4,N
41.46153,-81.67585,307.3,0.69,0.74,2019-10-01,06:12,N,nominal,1.0NRT,288.6,2.3,N
41.45454,-81.67582,314.1,0.69,0.74,2019-10-01,06:12,N,nominal,1.0NRT,288.5,2.3,N
41.44755,-81.67578,303.5,0.69,0.74,2019-10-01,06:12,N,nominal,1.0NRT,288.2,0.8,N
40.3921,-79.85754,305.8,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,285.5,2.1,N
40.39194,-79.85061,298.6,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,284.8,0.8,N
40.39689,-79.85633,300.1,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,286.9,0.5,N
40.39051,-79.85697,300,0.55,0.68,2019-10-01,06:12,N,nominal,1.0NRT,284.1,0.5,N
