latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.167,3.80575,304.7,0.39,0.59,2019-08-20,00:48,N,nominal,1.0NRT,283.9,1.8,N
51.16685,3.81151,315.6,0.39,0.59,2019-08-20,00:48,N,nominal,1.0NRT,284.1,1.8,N
51.16671,3.81724,307.4,0.39,0.59,2019-08-20,00:48,N,nominal,1.0NRT,283.4,1.4,N
51.04673,2.2966,329.9,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,285.2,2.6,N
51.04081,2.29638,317.4,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,285.1,2.6,N
51.04072,2.30307,319.1,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,283,2.6,N
51.0351,2.28274,339.9,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,284.4,3.4,N
51.035,2.28942,328.4,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,284.7,3.4,N
51.02937,2.26904,305.6,0.45,0.63,2019-08-20,00:48,N,nominal,1.0NRT,283.5,3.9,N
46.22218,34.62635,303.3,0.55,0.68,2019-08-20,00:48,N,nominal,1.0NRT,285.4,1.5,N
51.36774,6.71931,300.7,0.59,0.52,2019-08-20,00:48,N,nominal,1.0NRT,284.6,1.8,N
51.3686,6.702,296.6,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,285.1,4.8,N
51.36817,6.71066,340,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,289.4,4.8,N
51.46009,6.7405,314.9,0.58,0.52,2019-08-20,00:48,N,nominal,1.0NRT,285.1,3,N
51.46135,6.74603,304.5,0.58,0.52,2019-08-20,00:48,N,nominal,1.0NRT,284.9,1.7,N
51.46177,6.73736,317.6,0.59,0.52,2019-08-20,00:48,N,nominal,1.0NRT,285.2,1.7,N
51.48345,6.69675,305.7,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,284.3,2.2,N
51.48217,6.72275,332.6,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,285.7,5.6,N
51.48259,6.71414,328.8,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,285.7,4.5,N
51.48302,6.7055,322.2,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,285.6,4.5,N
51.48748,6.71483,310.2,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,285.8,4.5,N
51.49108,6.74138,327.8,0.59,0.52,2019-08-20,00:48,N,nominal,1.0NRT,286.7,2.5,N
51.49596,6.74209,314,0.59,0.52,2019-08-20,00:48,N,nominal,1.0NRT,284.6,2.5,N
51.50173,6.72532,304.2,0.59,0.53,2019-08-20,00:48,N,nominal,1.0NRT,288.3,3.5,N
51.51844,6.96875,299.9,0.57,0.52,2019-08-20,00:48,N,nominal,1.0NRT,283.6,1.6,N
50.07349,20.08471,309.2,0.39,0.36,2019-08-20,00:48,N,nominal,1.0NRT,279,1.2,N
50.07397,20.10224,298.3,0.39,0.36,2019-08-20,00:48,N,nominal,1.0NRT,278,0.8,N
50.08012,20.11742,298.7,0.39,0.36,2019-08-20,00:48,N,nominal,1.0NRT,283.9,0.6,N
48.74713,26.60737,305.1,0.43,0.46,2019-08-20,00:48,N,nominal,1.0NRT,289.1,0.8,N
51.2687,11.66332,304.2,0.55,0.43,2019-08-20,00:48,N,nominal,1.0NRT,283.8,1.1,N
50.53442,17.98068,310.4,0.39,0.36,2019-08-20,00:48,N,nominal,1.0NRT,285.5,1.2,N
50.53523,17.97531,304,0.39,0.36,2019-08-20,00:48,N,nominal,1.0NRT,282.9,1.2,N
51.59276,8.33716,301.3,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,283.9,1.7,N
51.87333,4.29386,296.8,0.38,0.58,2019-08-20,00:48,N,nominal,1.0NRT,286,1,N
49.08377,26.71435,297.5,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,287.5,0.5,N
51.85975,8.02991,297.4,0.52,0.5,2019-08-20,00:48,N,nominal,1.0NRT,283.8,0.6,N
48.16157,30.62017,311.3,0.32,0.55,2019-08-20,00:48,N,nominal,1.0NRT,289.4,1.8,N
48.1628,30.61588,329.5,0.32,0.55,2019-08-20,00:48,N,nominal,1.0NRT,290.6,3.5,N
48.1675,30.61892,296.2,0.32,0.55,2019-08-20,00:48,N,nominal,1.0NRT,285.6,0.3,N
52.07804,6.49446,298.1,0.61,0.53,2019-08-20,00:48,N,nominal,1.0NRT,281.8,1.1,N
52.07768,6.49933,300.4,0.61,0.53,2019-08-20,00:48,N,nominal,1.0NRT,282.3,0.7,N
52.21032,8.04977,301.4,0.52,0.5,2019-08-20,00:48,N,nominal,1.0NRT,284.7,1.5,N
52.1499,10.40517,309.2,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,281.8,3.7,N
52.1504,10.399,336.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.6,4.7,N
52.15458,10.39988,317.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,286.9,4.7,N
52.15408,10.40607,337.7,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,286.4,3.7,N
52.15826,10.40695,309.7,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,283.7,2.2,N
52.15877,10.40075,300.8,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,285.7,1.8,N
52.15775,10.41314,320.5,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.5,2.2,N
52.16193,10.41402,309.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.6,2.2,N
52.16142,10.42023,329.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,287.1,4.1,N
52.15435,10.40639,337.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,285.3,3.2,N
52.15483,10.40018,330.8,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,287.4,3.2,N
52.15806,10.41348,315.7,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.6,2.9,N
52.15854,10.40727,317.1,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.4,3.2,N
52.15901,10.40106,297.1,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,285.1,3.2,N
52.15949,10.39486,297.6,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,286.8,1.6,N
52.16223,10.41437,317.7,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,284.9,2.6,N
52.16175,10.42059,326.2,0.42,0.45,2019-08-20,00:48,N,nominal,1.0NRT,286,2.6,N
50.54203,26.26093,311.1,0.56,0.43,2019-08-20,00:48,N,nominal,1.0NRT,290.1,1.9,N
53.33543,-1.75256,295.5,0.68,0.74,2019-08-20,00:48,N,nominal,1.0NRT,279.1,1.1,N
53.13111,8.68429,296.5,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,284.5,1.2,N
53.13518,8.69274,304.1,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,285.4,1.2,N
53.13105,8.68289,296.4,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,284.5,1.2,N
53.13515,8.69137,304.3,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,285.7,1.4,N
53.1356,8.68372,300.7,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,285.4,1.8,N
53.14062,8.67682,312.8,0.5,0.49,2019-08-20,00:48,N,nominal,1.0NRT,285.7,1.8,N
48.47379,34.63396,301.6,0.46,0.64,2019-08-20,00:48,N,nominal,1.0NRT,289.1,1.1,N
48.52876,34.6489,309.1,0.46,0.64,2019-08-20,00:48,N,nominal,1.0NRT,287.3,3.2,N
53.56281,-0.59723,301.8,0.61,0.71,2019-08-20,00:48,N,nominal,1.0NRT,280,2,N
53.56591,-0.59142,316.6,0.61,0.71,2019-08-20,00:48,N,nominal,1.0NRT,280.2,2.1,N
53.56573,-0.60148,306,0.61,0.71,2019-08-20,00:48,N,nominal,1.0NRT,281.5,2.1,N
48.48814,34.97131,300.7,0.48,0.65,2019-08-20,00:48,N,nominal,1.0NRT,287.2,3.9,N
48.48618,34.97725,325.9,0.48,0.65,2019-08-20,00:48,N,nominal,1.0NRT,288,3.6,N
53.63103,-0.24454,295.3,0.59,0.7,2019-08-20,00:48,N,nominal,1.0NRT,280.7,1,N
53.63461,-0.25087,301.9,0.59,0.7,2019-08-20,00:48,N,nominal,1.0NRT,282.5,2.4,N
50.35484,30.53423,307.8,0.55,0.51,2019-08-20,00:48,N,nominal,1.0NRT,285.8,1.5,N
50.35632,30.53277,307.5,0.55,0.51,2019-08-20,00:48,N,nominal,1.0NRT,286.5,1.5,N
53.87552,9.58862,303.5,0.47,0.48,2019-08-20,00:48,N,nominal,1.0NRT,284.1,1.3,N
51.86383,26.77929,298.2,0.55,0.42,2019-08-20,00:48,N,nominal,1.0NRT,287.6,0.5,N
51.86389,26.7791,298.3,0.55,0.42,2019-08-20,00:48,N,nominal,1.0NRT,287.7,0.7,N
50.23399,33.3236,337.7,0.36,0.57,2019-08-20,00:48,N,nominal,1.0NRT,286,3.3,N
