latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.021,21.677,306.3,1.7,1.3,2019-09-03,00:10,A,68,6.0NRT,288.4,16.3,N
41.441,21.957,300.2,1.5,1.2,2019-09-03,00:10,A,22,6.0NRT,289.1,8.1,N
41.443,21.939,312,1.5,1.2,2019-09-03,00:10,A,84,6.0NRT,288.9,21.5,N
42.167,24.415,302.7,1.2,1.1,2019-09-03,00:10,A,51,6.0NRT,283.5,10.1,N
44.025,21.669,308.1,1.7,1.3,2019-09-03,00:10,A,74,6.0NRT,288.9,19.9,N
51.489,6.748,301.9,1,1,2019-09-03,01:50,A,24,6.0NRT,283.9,6.1,N
43.449,4.902,315,1,1,2019-09-03,01:50,A,90,6.0NRT,291.2,14.4,N
51.363,6.717,300.1,1,1,2019-09-03,01:50,A,17,6.0NRT,283.6,6.1,N
46.191,0.5,307.5,1.2,1.1,2019-09-03,01:50,A,72,6.0NRT,280.1,14.2,N
39.105,-2.082,319.7,1.3,1.1,2019-09-03,01:50,A,99,6.0NRT,288.9,27.4,N
46.195,0.49,309.4,1.2,1.1,2019-09-03,01:50,A,77,6.0NRT,280.9,16.1,N
35.808,-0.253,312.8,1,1,2019-09-03,01:55,A,86,6.0NRT,294.8,11.7,N
41.443,21.941,327,1.1,1,2019-09-03,09:35,T,79,6.0NRT,308,15.3,D
41.659,21.82,350.7,1.1,1,2019-09-03,09:35,T,95,6.0NRT,307,53.9,D
42.203,20.054,326.6,1,1,2019-09-03,09:35,T,80,6.0NRT,299.6,20,D
42.205,20.042,322.6,1,1,2019-09-03,09:35,T,76,6.0NRT,297.1,15.7,D
42.385,20.263,323.9,1,1,2019-09-03,09:35,T,71,6.0NRT,301.5,11.9,D
42.387,20.251,328.3,1,1,2019-09-03,09:35,T,81,6.0NRT,301.7,17.6,D
42.389,20.24,323.6,1,1,2019-09-03,09:35,T,71,6.0NRT,299.3,12,D
41.445,27.02,331.1,1.8,1.3,2019-09-03,09:35,T,83,6.0NRT,306.8,40.5,D
41.456,27.025,322.9,1.8,1.3,2019-09-03,09:35,T,75,6.0NRT,307.5,17.5,D
42.037,24.321,317.9,1.3,1.1,2019-09-03,09:35,T,59,6.0NRT,304.6,12.7,D
42.718,21.123,316.8,1,1,2019-09-03,09:35,T,69,6.0NRT,300.5,8.3,D
42.72,21.111,316,1,1,2019-09-03,09:35,T,70,6.0NRT,300.9,6.9,D
43.185,24.302,322.8,1.2,1.1,2019-09-03,09:35,T,75,6.0NRT,305.5,14.5,D
43.407,23.868,339.7,1.2,1.1,2019-09-03,09:35,T,89,6.0NRT,306.9,38.5,D
43.417,23.871,354.1,1.2,1.1,2019-09-03,09:35,T,97,6.0NRT,311.3,72.3,D
43.419,23.857,350.6,1.2,1.1,2019-09-03,09:35,T,95,6.0NRT,308.7,62.4,D
43.416,23.93,332.8,1.2,1.1,2019-09-03,09:35,T,80,6.0NRT,310,24.4,D
43.419,23.916,332.8,1.2,1.1,2019-09-03,09:35,T,83,6.0NRT,312.3,23.6,D
43.619,23.498,322,1.1,1.1,2019-09-03,09:35,T,34,6.0NRT,307.6,6.5,D
43.748,24.744,324.5,1.2,1.1,2019-09-03,09:35,T,63,6.0NRT,309.4,12,D
43.936,24.737,326,1.2,1.1,2019-09-03,09:35,T,22,6.0NRT,313,11.2,D
43.936,24.743,331,1.2,1.1,2019-09-03,09:35,T,74,6.0NRT,313.3,18,D
43.873,25.192,329.4,1.3,1.1,2019-09-03,09:35,T,76,6.0NRT,313.5,20.6,D
43.904,25.688,328,1.4,1.2,2019-09-03,09:35,T,74,6.0NRT,311.5,19.1,D
43.907,25.671,327.7,1.4,1.2,2019-09-03,09:35,T,74,6.0NRT,311.2,18.3,D
44.272,24.611,330.2,1.2,1.1,2019-09-03,09:35,T,79,6.0NRT,311.5,18.1,D
44.429,25.566,323.2,1.3,1.1,2019-09-03,09:35,T,68,6.0NRT,305.5,17.4,D
44.432,25.55,317.8,1.3,1.1,2019-09-03,09:35,T,42,6.0NRT,305.9,9.8,D
44.439,25.569,335.5,1.3,1.1,2019-09-03,09:35,T,84,6.0NRT,304.8,40.2,D
44.442,25.553,328,1.3,1.1,2019-09-03,09:35,T,75,6.0NRT,302.6,25.1,D
44.436,25.575,328.9,1.3,1.1,2019-09-03,09:35,T,78,6.0NRT,303.3,27.3,D
44.439,25.559,353.7,1.3,1.1,2019-09-03,09:35,T,96,6.0NRT,305.6,90.7,D
48.133,11.36,306.3,2.6,1.5,2019-09-03,09:35,T,48,6.0NRT,288.7,20.8,D
48.275,14.334,313.3,1.8,1.3,2019-09-03,09:35,T,68,6.0NRT,295.6,22.6,D
48.78,28.182,330.3,1.4,1.2,2019-09-03,09:35,T,78,6.0NRT,295.4,33.2,D
50.361,29.041,335.5,1.4,1.2,2019-09-03,09:35,T,87,6.0NRT,299.1,46.4,D
51.686,15.984,313.1,1.7,1.3,2019-09-03,09:35,T,54,6.0NRT,298.9,13.6,D
49.993,27.456,315.5,1.2,1.1,2019-09-03,09:35,T,62,6.0NRT,300,11.4,D
49.983,27.398,315.1,1.2,1.1,2019-09-03,09:35,T,54,6.0NRT,296.8,11.2,D
49.353,29.668,314.9,1.6,1.2,2019-09-03,09:35,T,49,6.0NRT,300.3,10.4,D
48.03,34.59,329.7,3,1.6,2019-09-03,09:35,T,80,6.0NRT,300.4,96.7,D
48.03,34.585,329.2,3,1.6,2019-09-03,09:35,T,79,6.0NRT,300,93.5,D
49.449,27.778,323.4,1.3,1.1,2019-09-03,09:35,T,76,6.0NRT,296.4,22.9,D
50.357,29.06,337.6,1.4,1.2,2019-09-03,09:35,T,88,6.0NRT,299,52.1,D
52.845,29.99,315.5,1.3,1.1,2019-09-03,09:35,T,55,6.0NRT,300.5,12.1,D
51.897,29.333,313.1,1.3,1.1,2019-09-03,09:35,T,39,6.0NRT,300.5,9.5,D
49.123,27.668,313.3,1.3,1.1,2019-09-03,09:35,T,44,6.0NRT,297.4,9,D
51.235,31.689,315.9,1.7,1.3,2019-09-03,09:35,T,53,6.0NRT,303,15.8,D
51.238,31.685,315.3,1.7,1.3,2019-09-03,09:35,T,50,6.0NRT,303.4,15.2,D
51.28,28.545,328.1,1.3,1.1,2019-09-03,09:35,T,82,6.0NRT,300.1,27.6,D
50.77,30.314,319.8,1.5,1.2,2019-09-03,09:35,T,72,6.0NRT,299.8,16.8,D
50.768,30.308,315.7,1.5,1.2,2019-09-03,09:35,T,64,6.0NRT,300,11.2,D
50.478,29.89,314.9,1.5,1.2,2019-09-03,09:35,T,52,6.0NRT,299.5,10.9,D
50.366,29.05,349.4,1.4,1.2,2019-09-03,09:35,T,95,6.0NRT,300.8,86.6,D
50.362,29.069,324.6,1.4,1.2,2019-09-03,09:35,T,78,6.0NRT,298.5,24.7,D
36.61,8.914,318,2.8,1.6,2019-09-03,09:40,T,72,6.0NRT,293.9,40.2,D
36.613,8.921,316.5,2.8,1.6,2019-09-03,09:40,T,69,6.0NRT,293.8,32.7,D
39.407,22.415,331.1,1.4,1.2,2019-09-03,11:15,A,81,6.0NRT,311.6,17.9,D
52.753,1.353,310.2,1,1,2019-09-03,11:15,T,60,6.0NRT,295.4,6.1,D
45.024,7.626,321.9,2.8,1.6,2019-09-03,11:15,T,80,6.0NRT,298.1,62.7,D
43.527,-5.731,319.4,1,1,2019-09-03,11:15,T,77,6.0NRT,300.3,12.6,D
42.835,-2.739,318.7,1,1,2019-09-03,11:15,T,70,6.0NRT,303.5,8.9,D
36.928,28.274,355.3,1,1,2019-09-03,11:15,A,97,6.0NRT,304.1,66,D
38.95,-5.78,332.3,1,1,2019-09-03,11:15,T,72,6.0NRT,316.3,11.2,D
36.929,28.285,370.9,1,1,2019-09-03,11:15,A,100,6.0NRT,304.7,110.7,D
48.276,14.329,308.6,2.2,1.4,2019-09-03,11:20,A,24,6.0NRT,295.5,18,D
50.358,29.053,337.2,1.4,1.2,2019-09-03,11:20,A,88,6.0NRT,300,50.1,D
50.327,29.06,315.1,1.4,1.2,2019-09-03,11:20,A,40,6.0NRT,298.9,10.3,D
50.322,29.069,314.1,1.4,1.2,2019-09-03,11:20,A,32,6.0NRT,298.3,9.8,D
50.035,30.559,312.4,1.6,1.2,2019-09-03,11:20,A,12,6.0NRT,295.1,12,D
48.827,27.218,320.9,1.1,1.1,2019-09-03,11:20,A,72,6.0NRT,299.6,13.2,D
48.829,27.234,318.4,1.1,1.1,2019-09-03,11:20,A,65,6.0NRT,299.3,10.1,D
45.967,12.6,311.4,3.1,1.7,2019-09-03,11:20,A,66,6.0NRT,296.5,28.9,D
47.662,26.769,315.7,1.1,1,2019-09-03,11:20,A,64,6.0NRT,300.1,6.7,D
48.03,34.584,318.7,2.5,1.5,2019-09-03,11:20,A,28,6.0NRT,298.9,30.4,D
46.11,28.292,324.3,1.2,1.1,2019-09-03,11:20,A,59,6.0NRT,308.8,11.9,D
45.554,28.866,338,1.2,1.1,2019-09-03,11:20,A,84,6.0NRT,310,28.6,D
44.382,23.19,323.6,1.1,1,2019-09-03,11:20,A,69,6.0NRT,309.9,9.6,D
44.273,24.611,333.7,1,1,2019-09-03,11:20,A,80,6.0NRT,314.7,17.5,D
44.428,26.187,325.7,1,1,2019-09-03,11:20,A,55,6.0NRT,310.1,10.1,D
44.006,23.561,327.3,1.1,1,2019-09-03,11:20,A,29,6.0NRT,313.8,9.4,D
43.96,23.452,328.6,1.1,1,2019-09-03,11:20,A,46,6.0NRT,315.6,13,D
44.056,24.348,328.4,1,1,2019-09-03,11:20,A,72,6.0NRT,313.9,12.4,D
45.035,34.731,322.9,2.3,1.5,2019-09-03,11:20,A,59,6.0NRT,301.5,40.1,D
45.037,34.761,317.7,2.3,1.5,2019-09-03,11:20,A,21,6.0NRT,303.6,26.2,D
44.102,26.299,329.6,1,1,2019-09-03,11:20,A,42,6.0NRT,312.3,13.4,D
43.807,24.481,328.5,1,1,2019-09-03,11:20,A,72,6.0NRT,316.7,8.2,D
43.809,24.494,331.9,1,1,2019-09-03,11:20,A,77,6.0NRT,316.3,12.7,D
43.868,25.18,337.1,1,1,2019-09-03,11:20,A,83,6.0NRT,317.7,21.3,D
43.418,24.536,318.7,1,1,2019-09-03,11:20,A,36,6.0NRT,307.7,5.2,D
42.385,20.236,326,1.5,1.2,2019-09-03,11:20,A,81,6.0NRT,299,28.4,D
42.378,20.258,326,1.5,1.2,2019-09-03,11:20,A,78,6.0NRT,301.2,27.5,D
42.384,20.244,329.6,1.5,1.2,2019-09-03,11:20,A,83,6.0NRT,299.8,35.2,D
42.377,20.265,320.8,1.5,1.2,2019-09-03,11:20,A,49,6.0NRT,301.5,16.1,D
42.204,20.04,312.9,1.6,1.2,2019-09-03,11:20,A,59,6.0NRT,295.5,14.7,D
43.057,24.964,318.7,1,1,2019-09-03,11:20,A,63,6.0NRT,305.7,8.1,D
42.475,22.821,318.2,1.2,1.1,2019-09-03,11:20,A,38,6.0NRT,305.6,9.7,D
42.466,22.825,338.5,1.2,1.1,2019-09-03,11:20,A,89,6.0NRT,303.6,41,D
42.706,26.739,352,1,1,2019-09-03,11:20,A,96,6.0NRT,305,57.4,D
41.649,21.809,354.8,1.3,1.1,2019-09-03,11:20,A,97,6.0NRT,312.1,89.5,D
41.652,21.825,345.6,1.3,1.1,2019-09-03,11:20,A,93,6.0NRT,309.4,57.6,D
41.653,21.813,370.9,1.3,1.1,2019-09-03,11:20,A,100,6.0NRT,311.3,161.6,D
41.656,21.828,323.2,1.3,1.1,2019-09-03,11:20,A,56,6.0NRT,308.7,9,D
41.643,21.817,337.3,1.3,1.1,2019-09-03,11:20,A,88,6.0NRT,309,40.2,D
41.731,26.506,342.4,1,1,2019-09-03,11:20,A,91,6.0NRT,314.1,30.5,D
39.952,20.12,317.8,1.8,1.3,2019-09-03,11:20,A,54,6.0NRT,296.3,14.3,D
39.957,20.141,321.9,1.8,1.3,2019-09-03,11:20,A,74,6.0NRT,297.7,25.3,D
39.941,20.124,325.1,1.8,1.3,2019-09-03,11:20,A,76,6.0NRT,299.9,29.4,D
39.945,20.143,336.9,1.8,1.3,2019-09-03,11:20,A,88,6.0NRT,300,67.3,D
52.582,33.004,316,2.3,1.5,2019-09-03,11:20,A,45,6.0NRT,299,26.6,D
51.28,28.55,344,1.4,1.2,2019-09-03,11:20,A,92,6.0NRT,299.8,66.4,D
51.273,28.537,323.3,1.4,1.2,2019-09-03,11:20,A,76,6.0NRT,297.8,21.2,D
51.275,28.556,349.6,1.4,1.2,2019-09-03,11:20,A,95,6.0NRT,298.9,84.8,D
51.349,32.143,314.2,2,1.4,2019-09-03,11:20,A,41,6.0NRT,299.8,15.8,D
50.91,34.139,325.8,2.5,1.5,2019-09-03,11:20,A,78,6.0NRT,304.5,58.8,D
50.367,29.031,315.7,1.4,1.2,2019-09-03,11:20,A,65,6.0NRT,299.6,11,D
50.369,29.051,322.8,1.4,1.2,2019-09-03,11:20,A,76,6.0NRT,300.3,21.3,D
35.226,-5.089,324.7,1.1,1,2019-09-03,11:20,T,56,6.0NRT,301.8,13.5,D
35.228,-5.1,360.8,1.1,1,2019-09-03,11:20,T,100,6.0NRT,305.9,85,D
35.235,-5.087,334.4,1.1,1,2019-09-03,11:20,T,83,6.0NRT,302.3,27,D
35.237,-5.098,347.7,1.1,1,2019-09-03,11:20,T,93,6.0NRT,304.9,51.5,D
36.762,-5.916,328.6,1,1,2019-09-03,11:20,T,75,6.0NRT,312.6,9.1,D
42.862,-2.673,323,1.2,1.1,2019-09-03,12:55,A,77,6.0NRT,306.1,15.9,D
35.987,2.564,327.8,1,1,2019-09-03,12:55,A,66,6.0NRT,310.8,9.9,D
36.451,4.874,323,1,1,2019-09-03,12:55,A,61,6.0NRT,302.6,9.6,D
36.867,6.981,318.8,1.3,1.1,2019-09-03,12:55,A,27,6.0NRT,300,11.5,D
36.558,3.44,322.4,1,1,2019-09-03,12:55,A,60,6.0NRT,304.3,7.2,D
36.724,3.957,354.5,1,1,2019-09-03,12:55,A,97,6.0NRT,307.9,58.1,D
36.722,3.946,355.4,1,1,2019-09-03,12:55,A,97,6.0NRT,307.8,60.4,D
36.838,4.192,334.3,1,1,2019-09-03,12:55,A,83,6.0NRT,304.3,24.8,D
42.839,-2.744,317.3,1.2,1.1,2019-09-03,12:55,A,51,6.0NRT,305.3,7.3,D
46.635,1.302,316.2,1,1,2019-09-03,13:00,A,43,6.0NRT,303.8,5.8,D
46.634,1.288,317.5,1,1,2019-09-03,13:00,A,57,6.0NRT,305.7,6.5,D
49.464,33.693,301.4,1.6,1.2,2019-09-03,19:05,T,41,6.0NRT,286.9,11.2,N
47.623,34.322,302.8,1.6,1.3,2019-09-03,19:05,T,51,6.0NRT,289.6,11.6,N
47.86,33.442,313.4,1.8,1.3,2019-09-03,19:05,T,87,6.0NRT,291.1,27.8,N
49.304,34.403,306.2,1.5,1.2,2019-09-03,19:05,T,67,6.0NRT,286.8,14.5,N
52.233,33.333,304.7,1.4,1.2,2019-09-03,19:05,T,61,6.0NRT,287.2,13,N
52.228,33.33,302.6,1.4,1.2,2019-09-03,19:10,T,50,6.0NRT,287.8,10.9,N
53.646,32.506,304.7,1.4,1.2,2019-09-03,19:10,T,61,6.0NRT,285.7,12.9,N
38.623,26.385,318.5,1.8,1.3,2019-09-03,20:40,T,97,6.0NRT,294.4,35.8,N
38.621,26.366,383.5,1.8,1.3,2019-09-03,20:40,T,100,6.0NRT,299.6,386.3,N
49.68,18.66,300,1.1,1,2019-09-03,20:45,T,12,6.0NRT,283.2,7.6,N
43.514,23.879,308.4,1.5,1.2,2019-09-03,20:45,T,74,6.0NRT,290.6,16.1,N
43.512,23.861,300.7,1.5,1.2,2019-09-03,20:45,T,32,6.0NRT,290,7.9,N
44.274,26.735,309.1,2.2,1.4,2019-09-03,20:45,T,76,6.0NRT,288.5,31,N
44.273,26.708,318,2.2,1.4,2019-09-03,20:45,T,96,6.0NRT,288,53,N
44.287,26.733,346.9,2.2,1.4,2019-09-03,20:45,T,100,6.0NRT,290.4,176,N
44.286,26.706,345.1,2.2,1.4,2019-09-03,20:45,T,100,6.0NRT,289.9,164.5,N
48.275,14.339,315.6,1.1,1,2019-09-03,20:45,T,91,6.0NRT,287.3,17.2,N
52.169,14.63,304.6,1,1,2019-09-03,20:45,T,61,6.0NRT,284.9,8.1,N
43.445,4.915,300.7,3.1,1.7,2019-09-03,22:20,T,32,6.0NRT,289.9,27.2,N
35.213,-5.114,303.8,1,1,2019-09-03,22:20,T,57,6.0NRT,288.7,6.7,N
42.469,-7.697,303.9,1,1,2019-09-03,22:20,T,58,6.0NRT,289.3,6.9,N
