latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-25.543,29.678,308.1,3.8,1.8,2019-08-31,00:00,A,74,6.0NRT,284.5,74.6,N
-25.66,27.17,300.4,2.5,1.5,2019-08-31,00:00,A,27,6.0NRT,286.6,22.3,N
-25.511,26.419,300.1,2.2,1.4,2019-08-31,00:00,A,15,6.0NRT,285.7,18,N
-25.498,26.42,324.7,2.2,1.4,2019-08-31,00:00,A,100,6.0NRT,288.1,77.2,N
-25.551,29.705,302.4,3.8,1.8,2019-08-31,00:00,A,49,6.0NRT,283.7,53.1,N
-25.549,29.669,303.5,3.8,1.8,2019-08-31,00:00,A,55,6.0NRT,284.4,56.1,N
-10.99,142.506,311.5,1.4,1.2,2019-08-31,01:05,T,16,6.0NRT,297.7,8.8,D
-8.351,138.165,312.2,1,1,2019-08-31,01:05,T,42,6.0NRT,298.3,5.7,D
-7.862,139.52,320.7,1,1,2019-08-31,01:05,T,74,6.0NRT,302.7,10.5,D
-7.821,138.071,315.1,1,1,2019-08-31,01:05,T,58,6.0NRT,292.9,8.2,D
-8.003,139.294,318.2,1,1,2019-08-31,01:05,T,70,6.0NRT,300.4,10,D
-8.005,139.303,317.3,1,1,2019-08-31,01:05,T,68,6.0NRT,300.8,9.3,D
-8.156,140.272,317.1,1,1,2019-08-31,01:05,T,68,6.0NRT,300.2,9.3,D
-8.041,139.298,316.4,1,1,2019-08-31,01:05,T,67,6.0NRT,299.9,7.8,D
-8.278,140.735,313.3,1.1,1,2019-08-31,01:05,T,60,6.0NRT,299.3,6.5,D
-8.4,141.461,309.9,1.1,1.1,2019-08-31,01:05,T,46,6.0NRT,297.5,4.7,D
-8.297,140.607,312.2,1,1,2019-08-31,01:05,T,55,6.0NRT,299.2,4.4,D
-13.338,131.02,335.9,2.4,1.5,2019-08-31,01:05,T,82,6.0NRT,304,96.9,D
-13.334,131.05,327.5,2.4,1.5,2019-08-31,01:05,T,28,6.0NRT,307.9,49.5,D
-13.33,131.028,368.9,2.4,1.5,2019-08-31,01:05,T,100,6.0NRT,309.8,373,D
-13.316,131.03,351.1,2.4,1.5,2019-08-31,01:05,T,95,6.0NRT,311.5,187.8,D
-13.312,131.008,346.3,2.4,1.5,2019-08-31,01:05,T,90,6.0NRT,307.2,152.8,D
-13.299,131.011,335.9,2.4,1.5,2019-08-31,01:05,T,67,6.0NRT,307.6,87.2,D
-13.278,131.021,321,2.4,1.5,2019-08-31,01:05,T,33,6.0NRT,307.8,27.3,D
-12.909,130.726,319,2.6,1.6,2019-08-31,01:05,T,55,6.0NRT,304.7,24.2,D
-13.812,136.679,318.7,1.1,1,2019-08-31,01:05,T,44,6.0NRT,306.1,6.3,D
-13.79,136.663,327.6,1.1,1,2019-08-31,01:05,T,77,6.0NRT,307.1,14.5,D
-13.78,136.655,320.8,1.1,1,2019-08-31,01:05,T,45,6.0NRT,307.9,6.5,D
-8.776,140.741,317.7,1.1,1,2019-08-31,01:05,T,59,6.0NRT,301.6,8.1,D
-8.98,140.948,324.2,1.1,1,2019-08-31,01:05,T,78,6.0NRT,303.4,17.6,D
-9.303,142.598,314.5,1.3,1.2,2019-08-31,01:05,T,25,6.0NRT,299.5,9.7,D
-8.42,141.396,311.4,1.1,1.1,2019-08-31,01:05,T,33,6.0NRT,298,4.8,D
-8.432,141.415,314.7,1.1,1.1,2019-08-31,01:05,T,65,6.0NRT,298,8.2,D
-8.441,141.476,326.6,1.1,1.1,2019-08-31,01:05,T,81,6.0NRT,299.7,23.1,D
-8.264,140.131,324.1,1,1,2019-08-31,01:05,T,52,6.0NRT,303.4,12.8,D
-8.268,140.093,336.3,1,1,2019-08-31,01:05,T,0,6.0NRT,305.4,28.2,D
-8.332,140.215,317.4,1,1,2019-08-31,01:05,T,62,6.0NRT,304,7.2,D
-8.497,140.918,322.2,1.1,1,2019-08-31,01:05,T,76,6.0NRT,301.5,14.4,D
-8.506,140.916,321.6,1.1,1,2019-08-31,01:05,T,75,6.0NRT,299.8,13.4,D
-8.55,140.96,317,1.1,1,2019-08-31,01:05,T,68,6.0NRT,299.1,9.3,D
-8.552,140.969,312.3,1.1,1,2019-08-31,01:05,T,47,6.0NRT,297.9,5.3,D
-8.58,141.167,312.9,1.1,1,2019-08-31,01:05,T,54,6.0NRT,299.3,5.5,D
-8.507,140.539,312.5,1,1,2019-08-31,01:05,T,48,6.0NRT,299.8,4.8,D
-2.826,133.078,317.5,2.6,1.6,2019-08-31,01:05,T,48,6.0NRT,290,31.7,D
-2.84,133.076,321.8,2.6,1.6,2019-08-31,01:05,T,68,6.0NRT,290.2,49.4,D
-4.203,138.392,305.8,1.1,1,2019-08-31,01:05,T,33,6.0NRT,288.5,5.6,D
-5.504,145.905,310.7,2.1,1.4,2019-08-31,01:05,T,39,6.0NRT,293.2,16.6,D
-6.165,146.065,319.4,2.2,1.4,2019-08-31,01:05,T,79,6.0NRT,290.9,39.2,D
-6.164,146.058,319.2,2.2,1.4,2019-08-31,01:05,T,79,6.0NRT,290.5,41.9,D
-7.38,139.502,320.1,1,1,2019-08-31,01:05,T,75,6.0NRT,299.9,11.4,D
-7.382,139.511,339.1,1,1,2019-08-31,01:05,T,90,6.0NRT,301.5,35.9,D
-7.561,139.234,314.6,1,1,2019-08-31,01:05,T,51,6.0NRT,300.1,6.5,D
-7.78,140.539,314.4,1,1,2019-08-31,01:05,T,66,6.0NRT,300.1,7.6,D
-7.825,140.724,322.5,1.1,1,2019-08-31,01:05,T,77,6.0NRT,299,16.5,D
-7.827,140.733,314,1.1,1,2019-08-31,01:05,T,66,6.0NRT,300.6,8.1,D
-7.714,139.456,315.9,1,1,2019-08-31,01:05,T,65,6.0NRT,299.8,7.4,D
-7.716,139.465,319.1,1,1,2019-08-31,01:05,T,72,6.0NRT,300.7,10.1,D
-13.076,132.919,320.6,1.8,1.3,2019-08-31,01:05,T,56,6.0NRT,308.9,16,D
-8.64,141.419,320.7,1.1,1.1,2019-08-31,01:05,T,75,6.0NRT,297.6,15.7,D
-8.562,140.794,319.8,1.1,1,2019-08-31,01:05,T,72,6.0NRT,300.4,11.1,D
-8.627,141.256,314.8,1.1,1.1,2019-08-31,01:05,T,65,6.0NRT,298.6,8.4,D
-8.611,141.075,318.5,1.1,1,2019-08-31,01:05,T,71,6.0NRT,301.3,10.2,D
-8.578,140.772,314.5,1.1,1,2019-08-31,01:05,T,59,6.0NRT,301.6,6.3,D
-8.579,140.781,312.7,1.1,1,2019-08-31,01:05,T,25,6.0NRT,299.9,4.7,D
-8.834,141.587,312.1,1.2,1.1,2019-08-31,01:05,T,59,6.0NRT,298.5,6.5,D
-14.297,143.411,316.2,1.8,1.3,2019-08-31,01:05,T,56,6.0NRT,301.8,15.2,D
-12.645,132.551,322.1,1.9,1.4,2019-08-31,01:05,T,58,6.0NRT,306.9,19.5,D
-12.508,132.973,349.6,1.8,1.3,2019-08-31,01:05,T,94,6.0NRT,306.7,124.4,D
-12.505,132.956,324.3,1.8,1.3,2019-08-31,01:05,T,70,6.0NRT,306.1,29.2,D
-12.496,132.974,337.3,1.8,1.3,2019-08-31,01:05,T,86,6.0NRT,308,68.3,D
-12.493,132.958,334.3,1.8,1.3,2019-08-31,01:05,T,83,6.0NRT,307.1,56.2,D
-12.502,132.98,341.1,1.8,1.3,2019-08-31,01:05,T,89,6.0NRT,308.3,82.1,D
-12.499,132.964,365.1,1.8,1.3,2019-08-31,01:05,T,100,6.0NRT,308.3,211.4,D
-12.617,134.104,321.7,1.5,1.2,2019-08-31,01:05,T,64,6.0NRT,308.1,13.5,D
-12.614,134.09,330.7,1.5,1.2,2019-08-31,01:05,T,79,6.0NRT,310.1,31.9,D
-12.513,133.901,321.4,1.5,1.2,2019-08-31,01:05,T,28,6.0NRT,307.8,13.1,D
-12.511,133.887,324.3,1.5,1.2,2019-08-31,01:05,T,49,6.0NRT,306.8,20,D
-12.485,133.863,350.3,1.6,1.2,2019-08-31,01:05,T,95,6.0NRT,307.6,97.6,D
-12.337,132.979,329.3,1.8,1.3,2019-08-31,01:05,T,74,6.0NRT,309.8,37.3,D
-12.325,132.981,325.6,1.8,1.3,2019-08-31,01:05,T,49,6.0NRT,310.8,27.8,D
-12.42,133.895,322.6,1.5,1.2,2019-08-31,01:05,T,42,6.0NRT,306.2,15.9,D
-12.418,133.881,330.1,1.6,1.2,2019-08-31,01:05,T,77,6.0NRT,307.2,33,D
-12.283,133.063,320.3,1.8,1.3,2019-08-31,01:05,T,57,6.0NRT,308.9,19.3,D
-12.407,133.883,327.2,1.6,1.2,2019-08-31,01:05,T,73,6.0NRT,307.3,27.9,D
-12.214,134.394,323.2,1.4,1.2,2019-08-31,01:05,T,51,6.0NRT,311.1,13.6,D
-12.279,134.863,325.7,1.3,1.1,2019-08-31,01:05,T,72,6.0NRT,309.8,17.7,D
-12.277,134.851,320.7,1.3,1.1,2019-08-31,01:05,T,28,6.0NRT,308.9,9.3,D
-12.235,134.654,322,1.4,1.2,2019-08-31,01:05,T,53,6.0NRT,310.2,14.3,D
-11.74,132.79,322.5,1.9,1.4,2019-08-31,01:05,T,69,6.0NRT,307.6,27,D
-11.736,132.797,325.6,1.9,1.4,2019-08-31,01:05,T,71,6.0NRT,307.4,33.7,D
-12.152,135.605,318.5,1.2,1.1,2019-08-31,01:05,T,41,6.0NRT,307.3,6.8,D
-13.053,142.009,324.3,1.4,1.2,2019-08-31,01:05,T,45,6.0NRT,303,18.5,D
-12.105,135.624,328.5,1.2,1.1,2019-08-31,01:05,T,76,6.0NRT,310.1,20,D
-12.823,142.11,323.1,1.4,1.2,2019-08-31,01:05,T,49,6.0NRT,303.2,14.9,D
-12.822,142.097,371.1,1.4,1.2,2019-08-31,01:05,T,100,6.0NRT,304.9,178.8,D
-12.813,142.112,347,1.4,1.2,2019-08-31,01:05,T,93,6.0NRT,306.3,71.3,D
-12.811,142.099,374,1.4,1.2,2019-08-31,01:05,T,100,6.0NRT,306.4,193.3,D
-12.81,142.086,352.5,1.4,1.2,2019-08-31,01:05,T,96,6.0NRT,303.9,94.2,D
-12.874,142.745,326,1.5,1.2,2019-08-31,01:05,T,71,6.0NRT,304.2,22.9,D
-12.783,142.129,333.3,1.4,1.2,2019-08-31,01:05,T,84,6.0NRT,305.4,34.2,D
-12.841,142.75,324.2,1.5,1.2,2019-08-31,01:05,T,38,6.0NRT,302.5,20.4,D
-12.838,142.742,322,1.5,1.2,2019-08-31,01:05,T,39,6.0NRT,302.2,16.6,D
-12.779,143.344,330.7,1.7,1.3,2019-08-31,01:05,T,62,6.0NRT,300.5,50.8,D
-12.768,143.345,317.1,1.7,1.3,2019-08-31,01:05,T,54,6.0NRT,299.8,20.4,D
-12.66,142.588,327.6,1.5,1.2,2019-08-31,01:05,T,75,6.0NRT,301.5,29.1,D
-12.649,142.589,326.9,1.5,1.2,2019-08-31,01:05,T,58,6.0NRT,305.3,25.9,D
-12.64,142.605,321.7,1.5,1.2,2019-08-31,01:05,T,24,6.0NRT,303.5,15.4,D
-12.545,142.582,320.9,1.5,1.2,2019-08-31,01:05,T,63,6.0NRT,302.2,15.9,D
-11.999,142.514,316.6,1.4,1.2,2019-08-31,01:05,T,49,6.0NRT,300.6,10.8,D
-11.961,142.512,317.9,1.4,1.2,2019-08-31,01:05,T,45,6.0NRT,299.6,12.7,D
-17.018,142.447,324.8,1.7,1.3,2019-08-31,01:10,T,50,6.0NRT,300.3,19.6,D
-16.196,136.54,328.3,1,1,2019-08-31,01:10,T,30,6.0NRT,311.9,11.1,D
-17.042,142.739,323.3,1.8,1.3,2019-08-31,01:10,T,55,6.0NRT,305.9,18.5,D
-17.006,142.449,357.7,1.7,1.3,2019-08-31,01:10,T,98,6.0NRT,302.5,139.9,D
-17.004,142.433,388.6,1.7,1.3,2019-08-31,01:10,T,100,6.0NRT,308.9,378.6,D
-16.995,142.45,331.4,1.7,1.3,2019-08-31,01:10,T,66,6.0NRT,308.5,31.6,D
-16.993,142.435,332.3,1.7,1.3,2019-08-31,01:10,T,71,6.0NRT,308.5,34.3,D
-16.177,136.543,331.6,1,1,2019-08-31,01:10,T,35,6.0NRT,313.2,14.7,D
