latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
63.15456,-140.01685,303.1,0.43,0.46,2019-09-10,11:00,N,nominal,1.0NRT,281,2.3,N
63.05045,-139.04048,307.4,0.4,0.44,2019-09-10,11:00,N,nominal,1.0NRT,281,1.7,N
62.27469,-140.74139,297.5,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,275.8,0.8,N
62.23367,-140.77777,326,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,286.2,2.5,N
62.2342,-140.78589,298.9,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,278.7,2.9,N
62.23313,-140.76967,306.3,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,282.7,2.5,N
62.23259,-140.76151,295.3,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,279.1,1.4,N
62.22939,-140.77884,323.2,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,279.3,2.5,N
62.22886,-140.77075,310.9,0.44,0.46,2019-09-10,11:00,N,nominal,1.0NRT,278.9,2.5,N
61.90899,-146.36575,309.9,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,279.6,1,N
61.90882,-146.35887,300,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,278.1,1,N
61.9039,-146.36893,311.9,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,278.6,0.9,N
61.90372,-146.36157,295.5,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,276.1,0.9,N
61.90354,-146.35394,298.5,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,276.9,1.2,N
61.89149,-146.28226,330.3,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,275.7,1.9,N
61.89163,-146.28802,319,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,276.4,1.9,N
61.88831,-146.36401,303.2,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,277.6,0.7,N
61.88656,-146.29117,301.6,0.33,0.55,2019-09-10,11:00,N,nominal,1.0NRT,276.8,1.9,N
61.90297,-146.36676,304,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.1,0.8,N
61.89711,-146.34174,298.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.2,0.7,N
61.89043,-146.28679,339.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,279.9,2.8,N
61.89026,-146.28099,303.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,273.9,2.5,N
61.88735,-146.36147,305.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,278.1,1.1,N
61.88535,-146.28947,303.3,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,276.7,2.8,N
61.88222,-146.36249,301.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.2,1.3,N
61.88203,-146.3555,310.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,278.4,1.3,N
61.86325,-146.42534,307.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,280.8,1.9,N
61.85783,-146.41574,299,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.8,1.9,N
61.84979,-146.30608,310.1,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,278.4,3.5,N
61.84963,-146.30038,302.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.8,1.2,N
61.84946,-146.29405,296.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,275.9,1.2,N
61.84449,-146.3004,315.8,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,281.8,1.2,N
61.84432,-146.29425,312.1,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,276.4,1.2,N
61.83935,-146.30087,317.1,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,279.9,2.4,N
61.83654,-146.39108,301.3,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,274.9,1,N
61.83634,-146.3831,304.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,278.4,1,N
61.83057,-146.35919,343.3,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,284.3,3.7,N
61.83039,-146.35205,337,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,276.6,3.7,N
61.83139,-146.39108,295.4,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,276.5,2.2,N
61.83118,-146.38297,306.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,279.6,2.2,N
61.82628,-146.3934,329.3,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,280.6,2.2,N
61.82606,-146.38457,336.2,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,287.5,2.2,N
61.82565,-146.36812,331.6,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,289.6,5.1,N
61.82541,-146.35844,334.7,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,285.1,3.7,N
61.82586,-146.37657,311.8,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,284.1,5.1,N
61.82097,-146.38763,325.1,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,276.5,3.6,N
61.8205,-146.36861,342.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,277.5,3,N
61.82074,-146.37827,308.5,0.33,0.55,2019-09-10,11:06,N,nominal,1.0NRT,275.8,3,N
61.83303,-146.39014,314.8,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,276.7,1.9,N
62.23246,-140.77817,330.2,0.42,0.45,2019-09-10,12:42,N,nominal,1.0NRT,288.8,2.1,N
62.23047,-140.77086,313.1,0.42,0.45,2019-09-10,12:42,N,nominal,1.0NRT,282.3,2.1,N
62.22893,-140.78307,299.3,0.42,0.45,2019-09-10,12:42,N,nominal,1.0NRT,274.8,2.1,N
61.72384,-144.23483,296.6,0.53,0.42,2019-09-10,12:42,N,nominal,1.0NRT,276.3,1.3,N
61.89389,-146.28099,319.6,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,270.6,2.3,N
61.90879,-146.3653,296.8,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271,1.2,N
61.90693,-146.35706,304.2,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.1,3,N
61.89042,-146.28372,311.7,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271.1,2.8,N
61.91239,-146.39957,315.4,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,270.7,1.6,N
61.91079,-146.39241,299.4,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.2,0.8,N
61.90532,-146.36804,310.2,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271.4,1.2,N
61.90009,-146.34479,296.8,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,270.2,0.6,N
61.90903,-146.40277,325.6,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,273.6,3.8,N
61.9073,-146.39507,303.5,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.1,1.5,N
61.89681,-146.34833,301.9,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271.1,1.7,N
61.8883,-146.36496,309.9,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.8,1.6,N
61.88652,-146.35704,300.1,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.7,1.8,N
61.8882,-146.36343,309.1,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,273.5,2.1,N
61.88306,-146.35861,322.1,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,277.4,2.1,N
61.88485,-146.36668,300.6,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.7,2.1,N
61.88128,-146.35062,299.7,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.4,1.3,N
61.8797,-146.36185,307.5,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,274.2,1.5,N
61.88588,-146.42625,296,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,273.6,2.1,N
61.88245,-146.42911,324.6,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,276.1,2.1,N
61.85188,-146.31024,304.2,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271.2,1.3,N
61.85,-146.30185,301.4,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,272.8,2.1,N
61.84871,-146.31436,300.6,0.47,0.4,2019-09-10,12:42,N,nominal,1.0NRT,271.1,1.3,N
