latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-40.97018,175.63708,329.5,0.49,0.4,2019-08-25,01:48,N,nominal,1.0NRT,288.2,2.3,D
-40.96789,175.6347,328.8,0.49,0.4,2019-08-25,01:48,N,nominal,1.0NRT,289.4,2.9,D
-20.42587,164.43501,332.3,0.4,0.6,2019-08-25,01:54,N,nominal,1.0NRT,294.7,3.6,D
-20.42317,164.43445,329.4,0.4,0.6,2019-08-25,01:54,N,nominal,1.0NRT,290.4,5.3,D
-16.73109,178.71146,336.7,0.56,0.43,2019-08-25,02:00,N,nominal,1.0NRT,295.3,8.8,D
-35.24211,149.37357,325.4,0.47,0.39,2019-08-25,03:36,N,nominal,1.0NRT,293.2,1.5,D
-34.18943,149.92429,334,0.44,0.38,2019-08-25,03:36,N,nominal,1.0NRT,292.9,3.9,D
-34.10824,149.77438,337.7,0.44,0.38,2019-08-25,03:36,N,nominal,1.0NRT,295.7,13.8,D
-34.10469,149.77365,335.5,0.44,0.38,2019-08-25,03:36,N,nominal,1.0NRT,291.7,13.8,D
-33.74734,150.64494,332.4,0.41,0.37,2019-08-25,03:36,N,nominal,1.0NRT,298.6,2.4,D
-33.74389,150.64432,327.5,0.41,0.37,2019-08-25,03:36,N,nominal,1.0NRT,297.4,1.7,D
-33.63803,151.29198,336.8,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,294.2,6.3,D
-33.4768,150.92262,327.8,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,296.8,14.1,D
-33.478,150.91388,329.9,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,296,5.7,D
-33.47338,150.92194,355.1,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,306.7,14.1,D
-33.47398,150.91757,355.1,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,304.7,14.1,D
-33.47458,150.91319,347.4,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,299.2,5.7,D
-33.47056,150.9169,367,0.4,0.37,2019-08-25,03:36,N,high,1.0NRT,297.9,10.4,D
-33.46997,150.92126,346.3,0.4,0.37,2019-08-25,03:36,N,nominal,1.0NRT,299.4,10.4,D
