latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.31099,-80.60571,305,0.49,0.4,2019-10-04,06:54,N,nominal,1.0NRT,287.8,2.1,N
42.25452,-83.13061,301.6,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,278.7,0.7,N
42.25376,-83.13131,306.8,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,278.7,1.1,N
42.26684,-83.43646,298.9,0.47,0.47,2019-10-04,06:54,N,nominal,1.0NRT,281.2,0.7,N
42.24128,-83.13892,298.8,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,284.9,1.8,N
40.85694,-75.26099,301.2,0.38,0.36,2019-10-04,06:54,N,nominal,1.0NRT,284.5,0.5,N
41.45099,-81.6751,324.9,0.56,0.43,2019-10-04,06:54,N,nominal,1.0NRT,287.7,3.4,N
40.89228,-77.70931,325.6,0.4,0.37,2019-10-04,06:54,N,nominal,1.0NRT,288,3.2,N
41.56532,-84.04366,332.2,0.49,0.49,2019-10-04,06:54,N,nominal,1.0NRT,283.5,2.7,N
41.46889,-83.36834,316.7,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,283.9,1.9,N
41.46843,-83.36285,296.6,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,283,1.3,N
41.45975,-83.36415,301,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,282.4,0.8,N
41.68465,-87.42593,305,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,281.3,1.2,N
41.67949,-87.43093,308.2,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,280.8,1.2,N
41.67878,-87.4173,314.7,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,286.9,2.9,N
41.67432,-87.43606,296.4,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,282.5,1.7,N
41.67408,-87.43146,301.9,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,282.6,1,N
41.67385,-87.42687,310.7,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,281.4,1,N
41.67122,-87.48203,296.3,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,283.1,0.7,N
41.6703,-87.46378,297.8,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,281.4,0.9,N
41.67007,-87.45921,302,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,281,1.4,N
41.66984,-87.45464,318.1,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,281.5,1.4,N
41.66961,-87.45011,311.2,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,283.2,2.2,N
41.65627,-87.62199,295.7,0.38,0.58,2019-10-04,06:54,N,nominal,1.0NRT,283.8,0.6,N
41.64036,-87.40742,305.1,0.37,0.58,2019-10-04,06:54,N,nominal,1.0NRT,283.8,0.8,N
41.62758,-87.36791,306.3,0.36,0.58,2019-10-04,06:54,N,nominal,1.0NRT,283.5,1.5,N
41.36879,-84.91272,300.7,0.54,0.51,2019-10-04,06:54,N,nominal,1.0NRT,283.2,2.1,N
41.36454,-84.91994,296.9,0.54,0.51,2019-10-04,06:54,N,nominal,1.0NRT,281.8,0.7,N
41.2254,-83.21008,301.6,0.44,0.46,2019-10-04,06:54,N,nominal,1.0NRT,283.5,1.3,N
41.48051,-90.83283,298.5,0.55,0.68,2019-10-04,06:54,N,nominal,1.0NRT,277.8,1,N
41.41238,-88.1823,299.6,0.4,0.6,2019-10-04,06:54,N,nominal,1.0NRT,285.4,1.4,N
41.11652,-85.35206,297.2,0.57,0.52,2019-10-04,06:54,N,nominal,1.0NRT,282,0.8,N
41.18196,-87.85876,311.4,0.38,0.59,2019-10-04,06:54,N,nominal,1.0NRT,281.4,1,N
41.18189,-87.85584,299.8,0.38,0.59,2019-10-04,06:54,N,nominal,1.0NRT,281,1.5,N
41.17639,-87.85634,321.8,0.38,0.59,2019-10-04,06:54,N,nominal,1.0NRT,281.4,1.5,N
40.13868,-77.50849,300.5,0.4,0.37,2019-10-04,06:54,N,nominal,1.0NRT,287.1,0.7,N
40.39467,-79.8539,309.1,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,287.5,2.7,N
40.394,-79.84839,298.8,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,287.2,1,N
40.39106,-79.85468,325.1,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,287.6,2.7,N
42.80678,-80.09472,298,0.5,0.41,2019-10-04,06:54,N,nominal,1.0NRT,282.5,0.8,N
42.80717,-80.09455,296.7,0.5,0.41,2019-10-04,06:54,N,nominal,1.0NRT,282.5,0.7,N
42.94565,-82.41403,296.3,0.42,0.45,2019-10-04,06:54,N,nominal,1.0NRT,281.7,0.7,N
42.94145,-82.41474,299.1,0.42,0.45,2019-10-04,06:54,N,nominal,1.0NRT,282.1,0.7,N
42.29285,-83.16946,309.8,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,284.5,2.1,N
40.3904,-79.84917,304.2,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,285,1,N
40.4321,-80.90653,296.4,0.51,0.41,2019-10-04,06:54,N,nominal,1.0NRT,285.1,0.3,N
40.42937,-80.90856,296.9,0.51,0.41,2019-10-04,06:54,N,nominal,1.0NRT,284.7,0.4,N
40.30503,-79.88025,309.9,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,289.9,2.5,N
40.30437,-79.87479,309.1,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,291.3,2.6,N
40.92451,-87.34343,295.8,0.36,0.57,2019-10-04,06:54,N,nominal,1.0NRT,281.1,0.6,N
42.28341,-83.10925,338.5,0.45,0.47,2019-10-04,06:54,N,nominal,1.0NRT,284.5,5.4,N
40.12871,-79.58722,300.2,0.45,0.39,2019-10-04,06:54,N,nominal,1.0NRT,286.3,0.5,N
40.147,-79.85767,297.3,0.46,0.39,2019-10-04,06:54,N,nominal,1.0NRT,287.1,0.6,N
40.73651,-86.43365,297.2,0.32,0.55,2019-10-04,06:54,N,nominal,1.0NRT,282.8,0.5,N
40.73142,-86.43408,305.2,0.32,0.55,2019-10-04,06:54,N,nominal,1.0NRT,282.6,0.5,N
43.09983,-81.16592,306.1,0.56,0.43,2019-10-04,06:54,N,nominal,1.0NRT,271.9,0.1,N
57.00369,-111.47632,299.5,0.4,0.6,2019-10-04,08:30,N,nominal,1.0NRT,278.8,1.1,N
57.0093,-111.47639,302.7,0.4,0.6,2019-10-04,08:30,N,nominal,1.0NRT,277.8,1.1,N
58.23464,-115.84008,323.2,0.58,0.7,2019-10-04,08:30,N,nominal,1.0NRT,273.4,5.1,N
57.04502,-111.61648,295.3,0.4,0.6,2019-10-04,08:30,N,nominal,1.0NRT,279.5,1.8,N
57.03967,-111.63745,301.6,0.4,0.6,2019-10-04,08:30,N,nominal,1.0NRT,275.7,1.3,N
40.82007,-114.25667,304.2,0.43,0.62,2019-10-04,08:36,N,nominal,1.0NRT,277.4,1.3,N
40.72244,-112.20213,299.4,0.34,0.56,2019-10-04,08:36,N,nominal,1.0NRT,280.8,0.8,N
41.67072,-87.48053,296.2,0.39,0.59,2019-10-04,08:36,N,nominal,1.0NRT,283.1,1.2,N
53.47401,-108.41179,319.9,0.57,0.52,2019-10-04,08:36,N,nominal,1.0NRT,275.2,2.3,N
