latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.04401,-72.41988,304.1,0.51,0.41,2019-09-16,06:00,N,nominal,1.0NRT,282.5,1.6,N
19.74817,-70.61977,311.5,0.56,0.43,2019-09-16,06:00,N,nominal,1.0NRT,291,1.5,N
18.92983,-70.35201,312.5,0.53,0.42,2019-09-16,06:00,N,nominal,1.0NRT,289.8,10.1,N
18.92595,-70.3524,342.6,0.53,0.42,2019-09-16,06:00,N,nominal,1.0NRT,292.4,10.1,N
18.92662,-70.35754,304.8,0.53,0.42,2019-09-16,06:00,N,nominal,1.0NRT,290.2,10.1,N
11.74947,-70.17047,319.4,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,294.6,2.5,N
11.74308,-70.2002,307.5,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,294.8,27.1,N
11.74248,-70.19615,311.8,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.6,16.6,N
11.73956,-70.2008,339.5,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,298.1,27.1,N
11.73895,-70.1967,331.4,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,300.6,16.6,N
11.73836,-70.19269,310.8,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.6,16.6,N
11.73604,-70.20135,335.6,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.4,10.2,N
11.73543,-70.19727,341.8,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.3,3.6,N
11.73483,-70.19324,308.3,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,294.5,3.6,N
11.73191,-70.19782,309,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,294.2,3.6,N
11.63306,-70.23646,309.1,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,294.8,1.5,N
11.62833,-70.22891,319.2,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.3,2.3,N
11.62009,-70.222,330.3,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295.4,2.4,N
11.62069,-70.22602,311.4,0.44,0.38,2019-09-16,06:00,N,nominal,1.0NRT,295,2.6,N
10.18684,-61.69512,310.3,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.8,2.1,N
10.18251,-61.6959,309.1,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.3,1.6,N
10.18176,-61.69175,315.1,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.8,1.6,N
10.17744,-61.69254,312.6,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.4,1.6,N
10.18144,-61.69409,310.4,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.5,1.2,N
10.18072,-61.68992,308.6,0.46,0.47,2019-09-16,06:00,N,nominal,1.0NRT,291.2,1.2,N
