latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.48721,6.70579,311.9,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,290.9,2,N
51.48132,6.71732,325.7,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.4,2.7,N
51.48158,6.7054,312.1,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.3,2,N
51.48145,6.71139,313.9,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.2,2,N
51.48119,6.72328,312.8,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,290.8,2.7,N
47.34142,34.21886,302.3,0.36,0.57,2019-08-26,00:36,N,nominal,1.0NRT,288.3,0.4,N
51.46395,6.74011,303.4,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,290.2,1,N
51.45833,6.73969,316.9,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,290.8,1,N
51.46099,6.73679,327.1,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.2,2.8,N
48.92156,27.63896,312.7,0.52,0.42,2019-08-26,00:36,N,nominal,1.0NRT,286.2,1.7,N
51.37152,6.7127,302.7,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.3,2.7,N
51.36602,6.70636,367,0.4,0.6,2019-08-26,00:36,N,high,1.0NRT,293.8,10.3,N
51.3659,6.71235,319.6,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,292,2.7,N
50.53617,17.97729,310,0.43,0.38,2019-08-26,00:36,N,nominal,1.0NRT,289.1,1.6,N
50.53271,17.97622,310.8,0.43,0.38,2019-08-26,00:36,N,nominal,1.0NRT,289.2,1.6,N
50.53289,17.97626,318.9,0.43,0.38,2019-08-26,00:36,N,nominal,1.0NRT,289.4,2.8,N
51.36924,6.70794,321,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,292.5,2.7,N
51.3694,6.70194,302.1,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,290.6,5.8,N
51.36908,6.71394,303.8,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291.6,2.7,N
51.36362,6.70762,354.1,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,292.7,2.7,N
51.36346,6.71359,309.7,0.4,0.6,2019-08-26,00:36,N,nominal,1.0NRT,291,2.7,N
50.34782,19.28031,305.5,0.4,0.37,2019-08-26,00:36,N,nominal,1.0NRT,290.9,1.1,N
50.34552,19.29718,316.5,0.4,0.37,2019-08-26,00:36,N,nominal,1.0NRT,290,1.7,N
50.34012,19.33648,308,0.4,0.37,2019-08-26,00:36,N,nominal,1.0NRT,292,2.2,N
48.16358,30.61597,340,0.48,0.48,2019-08-26,00:36,N,nominal,1.0NRT,293,4.3,N
50.33366,19.28143,314.7,0.4,0.37,2019-08-26,00:36,N,nominal,1.0NRT,289.7,1.2,N
48.84929,27.58803,295.8,0.52,0.42,2019-08-26,00:36,N,nominal,1.0NRT,284.4,0.6,N
48.84777,27.59501,295.9,0.52,0.42,2019-08-26,00:36,N,nominal,1.0NRT,285.3,0.6,N
51.29973,7.01139,310.1,0.39,0.59,2019-08-26,00:36,N,nominal,1.0NRT,290.4,0.9,N
50.34318,18.87032,303.2,0.41,0.37,2019-08-26,00:36,N,nominal,1.0NRT,289.5,0.8,N
50.41553,18.13961,304.2,0.42,0.38,2019-08-26,00:36,N,nominal,1.0NRT,290.5,1.3,N
50.41479,18.14558,301.8,0.42,0.38,2019-08-26,00:36,N,nominal,1.0NRT,288.7,0.8,N
50.07951,20.11629,300.5,0.39,0.36,2019-08-26,00:36,N,nominal,1.0NRT,288.5,0.4,N
50.07682,20.08693,300.9,0.39,0.36,2019-08-26,00:36,N,nominal,1.0NRT,288.9,0.6,N
50.07526,20.09775,304.1,0.39,0.36,2019-08-26,00:36,N,nominal,1.0NRT,289.9,1.2,N
50.07352,20.08578,329.5,0.39,0.36,2019-08-26,00:36,N,nominal,1.0NRT,290.4,4.1,N
50.07022,20.08462,334.8,0.39,0.36,2019-08-26,00:36,N,nominal,1.0NRT,290.6,4.1,N
48.83432,27.00649,297.5,0.5,0.41,2019-08-26,00:36,N,nominal,1.0NRT,285.5,1.1,N
48.83291,27.01311,313.2,0.5,0.41,2019-08-26,00:36,N,nominal,1.0NRT,285,1.1,N
51.17323,3.80478,329.7,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,292.5,6.1,N
51.17326,3.81277,339.2,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,292.1,6.1,N
51.16689,3.80471,313.5,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,291.1,1.9,N
51.16692,3.81267,311.3,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,290.7,1.9,N
51.17798,3.80914,303.5,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,290.6,5.8,N
51.17165,3.80913,345.8,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,293.3,5.8,N
51.17164,3.8171,312.5,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,290,4.7,N
51.16532,3.80907,309.8,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,289.6,3.7,N
51.16531,3.81697,300,0.53,0.67,2019-08-26,00:36,N,nominal,1.0NRT,289.1,1.1,N
47.06334,32.95852,298.6,0.32,0.55,2019-08-26,00:36,N,nominal,1.0NRT,288,0.4,N
47.05861,32.95568,299.8,0.32,0.55,2019-08-26,00:36,N,nominal,1.0NRT,287.7,0.4,N
48.97597,24.71366,307.5,0.43,0.38,2019-08-26,00:36,N,nominal,1.0NRT,289.3,1.1,N
48.97259,24.71216,297.1,0.43,0.38,2019-08-26,00:36,N,nominal,1.0NRT,287.1,1.1,N
50.6541,11.4156,300,0.5,0.49,2019-08-26,00:36,N,nominal,1.0NRT,287.3,0.9,N
50.76661,5.67023,300.8,0.44,0.63,2019-08-26,00:36,N,nominal,1.0NRT,288.3,1.3,N
50.76254,5.67174,310.2,0.44,0.63,2019-08-26,00:36,N,nominal,1.0NRT,289.4,1.6,N
49.81538,18.31481,327.1,0.42,0.37,2019-08-26,00:36,N,nominal,1.0NRT,288,3,N
47.17236,31.75834,304.9,0.57,0.52,2019-08-26,00:36,N,nominal,1.0NRT,290.6,1.7,N
49.68953,18.65512,304.5,0.41,0.37,2019-08-26,00:36,N,nominal,1.0NRT,286.9,1.3,N
49.69024,18.65442,305.3,0.41,0.37,2019-08-26,00:36,N,nominal,1.0NRT,287.5,1.3,N
49.68534,18.66465,302,0.41,0.37,2019-08-26,00:36,N,nominal,1.0NRT,287.2,0.6,N
49.67858,18.66249,309.6,0.41,0.37,2019-08-26,00:36,N,nominal,1.0NRT,287.6,1.5,N
50.47975,2.39285,324.5,0.61,0.71,2019-08-26,00:36,N,nominal,1.0NRT,286.6,2.7,N
50.47964,2.38426,298.1,0.61,0.71,2019-08-26,00:36,N,nominal,1.0NRT,286.6,2.8,N
50.48762,4.19694,299.1,0.51,0.66,2019-08-26,00:36,N,nominal,1.0NRT,288.9,0.8,N
50.47306,2.39331,306.3,0.61,0.71,2019-08-26,00:36,N,nominal,1.0NRT,286.2,1,N
50.46931,3.98924,302.8,0.52,0.67,2019-08-26,00:36,N,nominal,1.0NRT,289,0.9,N
50.47731,2.38797,332,0.61,0.71,2019-08-26,00:36,N,nominal,1.0NRT,287.1,3.3,N
50.47738,2.39664,303.3,0.61,0.71,2019-08-26,00:36,N,nominal,1.0NRT,286,3.3,N
46.6321,31.40797,300.2,0.57,0.52,2019-08-26,00:36,N,nominal,1.0NRT,288.2,0.7,N
49.95293,9.76823,302.3,0.58,0.52,2019-08-26,00:36,N,nominal,1.0NRT,287.6,1.4,N
