latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
60.18241,69.30334,330,0.79,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.8,5.8,N
60.84242,70.80134,315,0.79,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.5,2.7,N
60.83757,70.78992,322.7,0.79,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273.3,2.7,N
61.09779,70.19016,297.3,0.74,0.76,2019-10-04,00:00,N,nominal,1.0NRT,273.1,1.7,N
61.09774,70.19991,309.9,0.74,0.76,2019-10-04,00:00,N,nominal,1.0NRT,272.2,1.4,N
61.09306,70.18855,296.2,0.74,0.76,2019-10-04,00:00,N,nominal,1.0NRT,272.4,1.2,N
60.7645,70.1719,328.1,0.77,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.4,3.8,N
60.75896,70.18172,313.1,0.77,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273.1,3.8,N
60.76314,70.18893,295.9,0.77,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273.8,1.8,N
60.75847,70.17738,298.3,0.77,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273,1.9,N
61.74976,66.96062,323.6,0.59,0.7,2019-10-04,00:00,N,nominal,1.0NRT,271.9,2.1,N
61.79565,66.55538,310.9,0.57,0.69,2019-10-04,00:00,N,nominal,1.0NRT,271.9,1.2,N
61.42682,67.28429,319.2,0.62,0.71,2019-10-04,00:00,N,nominal,1.0NRT,272.6,2.5,N
60.17823,69.29701,324.6,0.79,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273,5.4,N
63.31546,9.14441,301.3,0.65,0.73,2019-10-04,00:00,N,nominal,1.0NRT,274.9,1.4,N
66.19845,70.99187,316.9,0.42,0.61,2019-10-04,00:00,N,nominal,1.0NRT,270.8,2,N
66.19476,70.99146,337.7,0.42,0.61,2019-10-04,00:00,N,nominal,1.0NRT,268.6,2.9,N
66.19774,70.98528,314.8,0.42,0.61,2019-10-04,00:00,N,nominal,1.0NRT,267.8,2.9,N
69.26714,57.28933,305.3,0.51,0.41,2019-10-04,00:00,N,nominal,1.0NRT,270.3,1.2,N
69.26314,57.29093,306.7,0.51,0.41,2019-10-04,00:00,N,nominal,1.0NRT,271.9,1.6,N
61.46822,70.41102,324.1,0.72,0.76,2019-10-04,00:00,N,nominal,1.0NRT,273.4,2.2,N
62.96137,67.49789,300.6,0.53,0.67,2019-10-04,00:00,N,nominal,1.0NRT,270.3,0.7,N
61.47049,70.41179,309.7,0.72,0.76,2019-10-04,00:00,N,nominal,1.0NRT,273.7,1.8,N
61.46578,70.40059,309,0.72,0.76,2019-10-04,00:00,N,nominal,1.0NRT,272.4,1.8,N
60.96194,70.86062,324.4,0.78,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.7,4.9,N
60.95624,70.87051,326.6,0.78,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.1,4.9,N
60.95593,70.86732,336.8,0.78,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.7,4.7,N
60.96167,70.85724,298.3,0.78,0.78,2019-10-04,00:00,N,nominal,1.0NRT,274.3,4.7,N
60.83796,70.79514,320.8,0.79,0.78,2019-10-04,00:00,N,nominal,1.0NRT,273.9,3.6,N
59.46661,47.77859,296,0.46,0.47,2019-10-04,00:00,N,nominal,1.0NRT,271,0.7,N
65.06094,6.71271,348.1,0.74,0.76,2019-10-04,00:00,N,nominal,1.0NRT,277.4,8.8,N
67.35892,15.58526,296.2,0.42,0.61,2019-10-04,00:00,N,nominal,1.0NRT,270.1,1.1,N
63.57427,53.95403,304.9,0.48,0.48,2019-10-04,00:00,N,nominal,1.0NRT,268.5,1.4,N
60.08379,64.68816,296.9,0.63,0.72,2019-10-04,00:00,N,nominal,1.0NRT,270.5,1,N
61.06698,63.94573,298.6,0.54,0.68,2019-10-04,00:00,N,nominal,1.0NRT,271.3,1.4,N
60.81036,65.42818,298.3,0.61,0.71,2019-10-04,00:00,N,nominal,1.0NRT,268.2,1,N
65.00736,56.92224,310,0.49,0.49,2019-10-04,00:00,N,nominal,1.0NRT,270,1.1,N
51.58102,52.73394,300.9,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,276.9,1.4,N
51.58431,52.72545,297,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,277,1.8,N
52.27775,50.87074,304.8,0.53,0.67,2019-10-04,00:06,N,nominal,1.0NRT,275.6,1.5,N
51.56781,52.768,342.5,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,278.8,7.6,N
51.57114,52.75942,336.9,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,280,9.9,N
52.2808,50.87468,314.6,0.53,0.67,2019-10-04,00:06,N,nominal,1.0NRT,276.3,2.2,N
51.56333,52.76291,367,0.66,0.73,2019-10-04,00:06,N,high,1.0NRT,278,12,N
51.56668,52.75441,345.8,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,279.4,12,N
51.56917,52.76876,295.4,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,277.5,1.1,N
51.57251,52.76027,297.2,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,278.1,1.1,N
51.58249,52.73492,298.3,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,276.9,1.1,N
51.58581,52.72647,295.6,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,277.2,1.1,N
51.61327,52.80156,313.9,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,275.5,1.6,N
52.22219,51.83966,303.5,0.58,0.7,2019-10-04,00:06,N,nominal,1.0NRT,278.8,1.3,N
55.70707,40.93069,310.8,0.55,0.43,2019-10-04,00:06,N,nominal,1.0NRT,281.4,2.1,N
55.70626,40.92706,308.5,0.55,0.43,2019-10-04,00:06,N,nominal,1.0NRT,281.2,2,N
54.44212,45.87149,300.6,0.59,0.53,2019-10-04,00:06,N,nominal,1.0NRT,282.1,1.7,N
52.64762,51.35691,296.5,0.54,0.68,2019-10-04,00:06,N,nominal,1.0NRT,278.4,0.6,N
51.84417,53.81124,367,0.7,0.75,2019-10-04,00:06,N,high,1.0NRT,274.1,13.5,N
52.07407,53.35804,306.3,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,274.2,1.1,N
51.85131,53.81054,299.8,0.7,0.75,2019-10-04,00:06,N,nominal,1.0NRT,269.6,3.5,N
51.84762,53.81958,327.7,0.7,0.75,2019-10-04,00:06,N,nominal,1.0NRT,269.2,3.7,N
52.07351,53.36251,303.2,0.66,0.73,2019-10-04,00:06,N,nominal,1.0NRT,273.9,1,N
52.01158,53.64161,318.7,0.68,0.74,2019-10-04,00:06,N,nominal,1.0NRT,276.6,3.4,N
51.97768,54.0169,316.7,0.7,0.75,2019-10-04,00:06,N,nominal,1.0NRT,274.8,2.7,N
51.97202,54.11423,298.2,0.71,0.75,2019-10-04,00:06,N,nominal,1.0NRT,274.4,1.3,N
51.87076,54.75097,295.7,0.75,0.77,2019-10-04,00:06,N,nominal,1.0NRT,275.8,2.7,N
51.8728,54.76709,300.2,0.75,0.77,2019-10-04,00:06,N,nominal,1.0NRT,279.2,2.7,N
52.48615,53.27792,305.5,0.63,0.72,2019-10-04,00:06,N,nominal,1.0NRT,276.9,1.1,N
51.87051,54.76369,298.4,0.75,0.77,2019-10-04,00:06,N,nominal,1.0NRT,278.8,2.8,N
52.48374,53.27584,299.5,0.63,0.72,2019-10-04,00:06,N,nominal,1.0NRT,276.7,0.7,N
52.2284,54.12211,314.1,0.69,0.74,2019-10-04,00:06,N,nominal,1.0NRT,270,3.2,N
52.22686,54.12529,320,0.69,0.74,2019-10-04,00:06,N,nominal,1.0NRT,269.6,2.2,N
52.2786,54.45506,309.4,0.71,0.75,2019-10-04,00:06,N,nominal,1.0NRT,276.1,1.6,N
52.27729,54.45826,295.2,0.71,0.75,2019-10-04,00:06,N,nominal,1.0NRT,275.1,2.4,N
57.55295,39.75311,296,0.47,0.39,2019-10-04,00:06,N,nominal,1.0NRT,282.2,1,N
54.6364,52.19712,308.8,0.48,0.65,2019-10-04,00:06,N,nominal,1.0NRT,274.9,0.8,N
54.63419,52.19191,298.7,0.48,0.65,2019-10-04,00:06,N,nominal,1.0NRT,274.1,0.8,N
54.63914,52.198,301.9,0.48,0.65,2019-10-04,00:06,N,nominal,1.0NRT,274.9,0.6,N
55.60769,51.94987,308.1,0.43,0.62,2019-10-04,00:06,N,nominal,1.0NRT,270.7,1.5,N
55.59779,51.90263,295.8,0.43,0.62,2019-10-04,00:06,N,nominal,1.0NRT,267.6,0.4,N
55.60905,51.94817,304.1,0.43,0.62,2019-10-04,00:06,N,nominal,1.0NRT,271.2,1,N
55.0011,55.59672,303.1,0.6,0.7,2019-10-04,00:06,N,nominal,1.0NRT,278.4,2.9,N
55.00198,55.59105,316,0.6,0.7,2019-10-04,00:06,N,nominal,1.0NRT,278.6,2.4,N
54.17465,34.86605,295.2,0.41,0.37,2019-10-04,00:06,N,nominal,1.0NRT,282.9,0.4,N
49.74637,33.39929,306.5,0.44,0.38,2019-10-04,00:06,N,nominal,1.0NRT,283.3,0.8,N
49.74411,33.39184,296,0.43,0.38,2019-10-04,00:06,N,nominal,1.0NRT,282.8,0.8,N
49.74633,33.39877,307.2,0.44,0.38,2019-10-04,00:06,N,nominal,1.0NRT,283.4,1.2,N
48.46097,38.77684,298.9,0.48,0.48,2019-10-04,00:06,N,nominal,1.0NRT,281.5,0.7,N
48.73038,37.55527,298.5,0.42,0.45,2019-10-04,00:06,N,nominal,1.0NRT,284.4,0.7,N
48.72981,37.55462,296.1,0.42,0.45,2019-10-04,00:06,N,nominal,1.0NRT,284.4,0.3,N
