latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
28.12987,18.79249,302,0.51,0.49,2019-09-21,00:54,N,nominal,1.0NRT,289.9,0.9,N
28.10081,19.25117,320.1,0.54,0.51,2019-09-21,00:54,N,nominal,1.0NRT,291.4,2.3,N
27.98511,19.90482,343.6,0.6,0.53,2019-09-21,00:54,N,nominal,1.0NRT,296.1,15.4,N
27.57224,22.34108,319.1,0.42,0.61,2019-09-21,00:54,N,nominal,1.0NRT,291.7,1.3,N
30.25276,8.08269,306,0.46,0.39,2019-09-21,00:54,N,nominal,1.0NRT,295.4,0.9,N
27.58349,22.40124,308.7,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,291.7,4.3,N
27.58243,22.40552,354.3,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,292.9,4.3,N
28.2077,19.91298,313.1,0.59,0.53,2019-09-21,00:54,N,nominal,1.0NRT,291.8,1.7,N
27.6424,22.50282,348.8,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,292.6,4.7,N
27.64761,22.48134,367,0.43,0.62,2019-09-21,00:54,N,high,1.0NRT,294.9,7.9,N
27.64798,22.50456,332.2,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,292.3,2.3,N
27.64427,22.48012,321.1,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,291.2,4.4,N
27.64451,22.50324,337.4,0.43,0.62,2019-09-21,00:54,N,nominal,1.0NRT,293.1,3,N
27.64984,22.48186,367,0.43,0.62,2019-09-21,00:54,N,high,1.0NRT,294.7,4.4,N
30.75892,5.45496,306.7,0.42,0.45,2019-09-21,00:54,N,nominal,1.0NRT,295.8,0.4,N
30.7599,5.45238,306,0.42,0.45,2019-09-21,00:54,N,nominal,1.0NRT,295.7,0.5,N
27.8075,22.43198,310,0.42,0.61,2019-09-21,00:54,N,nominal,1.0NRT,290.6,1.1,N
27.81304,22.4337,344.3,0.42,0.61,2019-09-21,00:54,N,nominal,1.0NRT,292.3,3.5,N
30.89495,5.58551,327,0.41,0.45,2019-09-21,00:54,N,nominal,1.0NRT,295.9,1.9,N
27.98477,22.32732,352.9,0.41,0.61,2019-09-21,00:54,N,nominal,1.0NRT,292.7,9,N
27.98578,22.32317,367,0.41,0.61,2019-09-21,00:54,N,high,1.0NRT,294.9,9,N
30.61109,8.26368,336.6,0.45,0.39,2019-09-21,00:54,N,nominal,1.0NRT,296.3,3.3,N
30.66179,8.10119,314.1,0.46,0.39,2019-09-21,00:54,N,nominal,1.0NRT,296.9,1.6,N
30.6654,8.10184,308,0.46,0.39,2019-09-21,00:54,N,nominal,1.0NRT,296,0.9,N
30.6618,8.10289,315,0.46,0.39,2019-09-21,00:54,N,nominal,1.0NRT,296.1,1,N
33.06562,3.33032,312.9,0.58,0.52,2019-09-21,00:54,N,nominal,1.0NRT,292.1,2.1,N
33.12313,3.31739,302.1,0.59,0.53,2019-09-21,00:54,N,nominal,1.0NRT,291.3,0.7,N
33.12801,3.31793,308,0.59,0.53,2019-09-21,00:54,N,nominal,1.0NRT,291.9,1.6,N
32.28781,10.97486,303,0.39,0.36,2019-09-21,00:54,N,nominal,1.0NRT,291.3,0.5,N
32.17513,13.00394,306.2,0.39,0.36,2019-09-21,00:54,N,nominal,1.0NRT,293.3,0.8,N
32.17579,12.99987,322.9,0.39,0.36,2019-09-21,00:54,N,nominal,1.0NRT,293.9,2.9,N
32.17842,13.00473,309.2,0.39,0.36,2019-09-21,00:54,N,nominal,1.0NRT,294.5,0.8,N
30.89593,20.08485,305.6,0.53,0.5,2019-09-21,00:54,N,nominal,1.0NRT,291,0.8,N
30.95691,20.11514,309.8,0.53,0.5,2019-09-21,00:54,N,nominal,1.0NRT,292.5,1.6,N
30.95518,20.11553,308.5,0.53,0.5,2019-09-21,00:54,N,nominal,1.0NRT,291.9,2.2,N
32.38175,14.49977,305,0.41,0.37,2019-09-21,00:54,N,nominal,1.0NRT,294.2,0.9,N
33.36375,8.54878,306.3,0.47,0.4,2019-09-21,00:54,N,nominal,1.0NRT,294.5,0.9,N
32.85548,12.23382,305.4,0.38,0.36,2019-09-21,00:54,N,nominal,1.0NRT,294.9,0.9,N
32.78913,12.67527,319.1,0.38,0.36,2019-09-21,00:54,N,nominal,1.0NRT,294.7,2.4,N
32.79245,12.69716,312,0.38,0.36,2019-09-21,00:54,N,nominal,1.0NRT,294.7,1.5,N
32.6744,13.57687,313.5,0.39,0.36,2019-09-21,00:54,N,nominal,1.0NRT,294.5,0.9,N
28.86885,21.22288,349.8,0.34,0.56,2019-09-21,00:54,N,nominal,1.0NRT,293.8,3.7,N
31.39289,6.9411,309,0.53,0.42,2019-09-21,00:54,N,nominal,1.0NRT,296,1.5,N
29.22826,19.70012,325.8,0.55,0.51,2019-09-21,00:54,N,nominal,1.0NRT,290.8,11.6,N
29.2295,19.69455,338.5,0.55,0.51,2019-09-21,00:54,N,nominal,1.0NRT,292.5,11.6,N
29.03395,20.78716,313.7,0.32,0.54,2019-09-21,00:54,N,nominal,1.0NRT,292.5,1.3,N
29.0396,20.78541,303.7,0.32,0.54,2019-09-21,00:54,N,nominal,1.0NRT,292.3,1.2,N
29.03886,20.78865,328.5,0.32,0.54,2019-09-21,00:54,N,nominal,1.0NRT,293.2,1.2,N
29.03862,20.78644,343.7,0.32,0.54,2019-09-21,00:54,N,nominal,1.0NRT,293.7,3.3,N
29.05486,20.78443,345.7,0.32,0.54,2019-09-21,00:54,N,nominal,1.0NRT,293.3,3,N
