latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
29.85088,27.95019,316.1,0.41,0.37,2019-08-23,00:00,N,nominal,1.0NRT,295.1,0.7,N
29.97698,27.78976,307.5,0.41,0.37,2019-08-23,00:00,N,nominal,1.0NRT,295.3,0.8,N
29.98035,27.79053,313,0.41,0.37,2019-08-23,00:00,N,nominal,1.0NRT,296.1,0.8,N
29.85427,28.52443,306.4,0.43,0.38,2019-08-23,00:00,N,nominal,1.0NRT,294.2,1,N
30.30484,26.04194,303.3,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,291.7,0.5,N
30.67043,26.36625,328.9,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.4,2.8,N
30.82352,26.47243,313.1,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.4,1,N
30.82417,26.46843,316.4,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.1,1.2,N
30.75427,26.97576,336.5,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,294.1,3.5,N
29.77,32.21529,308.3,0.43,0.46,2019-08-23,00:00,N,nominal,1.0NRT,295.6,1.6,N
29.80463,32.09211,314.5,0.42,0.45,2019-08-23,00:00,N,nominal,1.0NRT,297.1,1.5,N
29.80553,32.08781,313.6,0.42,0.45,2019-08-23,00:00,N,nominal,1.0NRT,296.1,2.6,N
29.79699,32.14914,309.4,0.42,0.45,2019-08-23,00:00,N,nominal,1.0NRT,296.6,1.3,N
30.76209,27.05295,333.2,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.8,4,N
30.76065,27.10303,313.5,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.7,0.8,N
30.76728,27.1045,305.8,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293.4,1.2,N
30.05173,31.04609,306.7,0.55,0.42,2019-08-23,00:00,N,nominal,1.0NRT,295,1.1,N
30.7706,27.10524,329.3,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,295.1,1.2,N
30.05669,31.04151,307.5,0.55,0.42,2019-08-23,00:00,N,nominal,1.0NRT,294.9,1,N
30.53546,28.49477,309.8,0.42,0.38,2019-08-23,00:00,N,nominal,1.0NRT,293.7,1.6,N
30.53888,28.49559,329.1,0.42,0.38,2019-08-23,00:00,N,nominal,1.0NRT,296,1.6,N
30.06378,31.06712,304.8,0.55,0.43,2019-08-23,00:00,N,nominal,1.0NRT,294.3,0.7,N
30.81119,27.00513,308.4,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,292.1,0.5,N
30.7163,27.67576,303.4,0.4,0.37,2019-08-23,00:00,N,nominal,1.0NRT,292.2,0.2,N
30.82775,27.00882,303.7,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,292.3,0.9,N
30.82841,27.00477,314,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,292.4,0.9,N
30.71966,27.67653,304.2,0.4,0.37,2019-08-23,00:00,N,nominal,1.0NRT,292.7,0.2,N
30.81002,27.31535,302.4,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,291.6,0.4,N
30.13866,31.30392,310.1,0.56,0.43,2019-08-23,00:00,N,nominal,1.0NRT,295.4,2,N
31.08901,26.61304,303.8,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,292.7,0.4,N
30.39128,30.57184,309.4,0.51,0.41,2019-08-23,00:00,N,nominal,1.0NRT,295.7,1.3,N
30.39195,30.58867,319.1,0.51,0.41,2019-08-23,00:00,N,nominal,1.0NRT,296.9,2,N
30.86699,29.33978,312.5,0.45,0.39,2019-08-23,00:00,N,nominal,1.0NRT,296.2,2.4,N
30.88024,29.46201,314.9,0.45,0.39,2019-08-23,00:00,N,nominal,1.0NRT,297.4,2.4,N
30.73191,31.02944,306.3,0.53,0.42,2019-08-23,00:00,N,nominal,1.0NRT,294.7,1.3,N
31.34879,30.32173,307.6,0.48,0.4,2019-08-23,00:00,N,nominal,1.0NRT,297,1.4,N
31.35177,30.3199,309.9,0.48,0.4,2019-08-23,00:00,N,nominal,1.0NRT,296.5,1.8,N
30.70358,33.85118,308.5,0.5,0.49,2019-08-23,00:00,N,nominal,1.0NRT,295.2,1.5,N
31.23332,31.93635,308.4,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,296.3,2,N
31.4133,31.36217,308.1,0.54,0.42,2019-08-23,00:00,N,nominal,1.0NRT,294.9,1.2,N
31.32232,32.14363,308.8,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,296.4,0.2,N
31.3374,32.1114,309.9,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,297,0.3,N
31.98419,36.12261,311.7,0.64,0.54,2019-08-23,00:00,N,nominal,1.0NRT,292.8,1.5,N
31.98384,36.12211,311.6,0.63,0.54,2019-08-23,00:00,N,nominal,1.0NRT,292.6,2.4,N
31.43383,39.13215,305.8,0.48,0.65,2019-08-23,00:00,N,nominal,1.0NRT,295.2,0.7,N
31.65096,38.86067,311.1,0.46,0.64,2019-08-23,00:00,N,nominal,1.0NRT,294,1.4,N
32.88658,35.08912,308.1,0.53,0.5,2019-08-23,00:00,N,nominal,1.0NRT,295,1.4,N
32.8911,35.09058,306.4,0.53,0.5,2019-08-23,00:00,N,nominal,1.0NRT,295.9,1.4,N
32.88905,35.09208,314.9,0.53,0.5,2019-08-23,00:00,N,nominal,1.0NRT,296.3,2.7,N
33.71678,37.01377,303.7,0.32,0.55,2019-08-23,00:00,N,nominal,1.0NRT,292.6,1,N
34.72686,33.3147,304.2,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,294.2,0.6,N
34.71319,36.63525,304.1,0.59,0.53,2019-08-23,00:00,N,nominal,1.0NRT,292.5,0.6,N
34.60451,37.90467,302.8,0.35,0.56,2019-08-23,00:00,N,nominal,1.0NRT,291,0.5,N
34.60543,37.90099,310.6,0.35,0.56,2019-08-23,00:00,N,nominal,1.0NRT,292.1,0.5,N
34.6105,37.90269,301.3,0.35,0.56,2019-08-23,00:00,N,nominal,1.0NRT,290.9,0.1,N
34.93672,37.99286,318.4,0.34,0.56,2019-08-23,00:00,N,nominal,1.0NRT,290.8,1,N
36.26416,33.73153,306.8,0.38,0.43,2019-08-23,00:00,N,nominal,1.0NRT,295.2,1.8,N
34.90756,40.82467,314.5,0.49,0.65,2019-08-23,00:00,N,nominal,1.0NRT,296,1.7,N
35.11039,40.51859,312.7,0.46,0.64,2019-08-23,00:00,N,nominal,1.0NRT,295.8,4.5,N
35.10902,40.52354,351.1,0.46,0.64,2019-08-23,00:00,N,nominal,1.0NRT,296.1,4.5,N
35.2995,40.44379,312.9,0.45,0.63,2019-08-23,00:00,N,nominal,1.0NRT,296.1,1.5,N
35.29871,40.44392,306.8,0.45,0.63,2019-08-23,00:00,N,nominal,1.0NRT,296.2,0.8,N
35.30432,40.44619,314.1,0.45,0.63,2019-08-23,00:00,N,nominal,1.0NRT,296.2,1.1,N
36.88869,34.07168,296.3,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,284.5,0.5,N
35.38035,40.30569,312,0.44,0.63,2019-08-23,00:00,N,nominal,1.0NRT,295.4,0.5,N
30.03927,27.91774,322.8,0.41,0.37,2019-08-23,00:00,N,nominal,1.0NRT,295,2.4,N
22.66781,39.03844,308.1,0.76,0.77,2019-08-23,00:00,N,nominal,1.0NRT,292.9,3.6,N
29.75603,31.42907,306.8,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,293.4,0.8,N
29.82166,31.30851,318.1,0.57,0.43,2019-08-23,00:00,N,nominal,1.0NRT,298.5,2.8,N
30.62484,26.94172,310.6,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,294.8,0.7,N
30.70361,26.97872,314.8,0.39,0.36,2019-08-23,00:00,N,nominal,1.0NRT,294,0.9,N
29.77013,32.21318,309.3,0.43,0.46,2019-08-23,00:00,N,nominal,1.0NRT,296.2,1,N
30.66979,26.37024,327.8,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,293,2.8,N
29.74514,31.31894,321.1,0.57,0.43,2019-08-23,00:00,N,nominal,1.0NRT,295.6,2.4,N
30.5363,26.08008,329.4,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,294.4,5.4,N
30.53567,26.08407,323,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,296.4,5.2,N
30.533,26.07939,329.5,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,292.9,5.4,N
30.53237,26.08337,329.8,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,294.3,5.2,N
30.53111,26.09133,330.6,0.38,0.36,2019-08-23,00:00,N,nominal,1.0NRT,295.1,3,N
27.16897,31.016,310.6,0.41,0.45,2019-08-23,00:00,N,nominal,1.0NRT,299,1.3,N
27.1698,31.01192,309.9,0.41,0.45,2019-08-23,00:00,N,nominal,1.0NRT,298.2,1.3,N
27.75771,35.43984,309.3,0.36,0.57,2019-08-23,00:00,N,nominal,1.0NRT,298.6,0.9,N
28.9213,31.08252,312.4,0.38,0.43,2019-08-23,00:00,N,nominal,1.0NRT,295.9,0.9,N
28.92208,31.07865,311.2,0.38,0.43,2019-08-23,00:00,N,nominal,1.0NRT,295.5,1.6,N
29.52838,28.43954,329.7,0.43,0.38,2019-08-23,00:00,N,nominal,1.0NRT,295,7.1,N
29.0155,31.2001,309.9,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,296.7,2.9,N
29.01867,31.20503,325.9,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,298.5,2.7,N
29.55065,28.53667,304.4,0.43,0.38,2019-08-23,00:00,N,nominal,1.0NRT,293.2,0.6,N
29.65536,28.35778,334.8,0.43,0.38,2019-08-23,00:00,N,nominal,1.0NRT,294.6,3.3,N
29.7569,28.00537,308.7,0.41,0.37,2019-08-23,00:00,N,nominal,1.0NRT,295.1,0.6,N
29.15644,31.24834,311.5,0.39,0.44,2019-08-23,00:00,N,nominal,1.0NRT,296.5,1.2,N
29.71451,28.63578,306.4,0.43,0.38,2019-08-23,00:00,N,nominal,1.0NRT,294.2,0.7,N
66.91801,160.52356,333.3,0.38,0.36,2019-08-23,01:18,N,nominal,1.0NRT,287.4,2.9,D
62.53811,136.42064,337.5,0.48,0.65,2019-08-23,01:18,N,nominal,1.0NRT,286.2,5.7,D
62.54245,136.41141,326.3,0.48,0.65,2019-08-23,01:18,N,nominal,1.0NRT,286.5,5.7,D
62.54367,136.39514,333.7,0.48,0.65,2019-08-23,01:18,N,nominal,1.0NRT,286.3,5,D
62.54805,136.38597,331.3,0.48,0.65,2019-08-23,01:18,N,nominal,1.0NRT,286.4,6.1,D
68.44164,150.8472,347,0.43,0.38,2019-08-23,01:18,N,nominal,1.0NRT,291.3,6.5,D
68.43761,150.8288,333.8,0.43,0.38,2019-08-23,01:18,N,nominal,1.0NRT,287.1,6.2,D
61.89487,166.4726,350,0.39,0.36,2019-08-23,01:18,N,nominal,1.0NRT,291.8,8.1,D
61.90644,166.52805,352.1,0.39,0.36,2019-08-23,01:18,N,nominal,1.0NRT,298.1,10.8,D
61.9054,166.52084,337,0.39,0.36,2019-08-23,01:18,N,nominal,1.0NRT,293.8,5,D
61.90759,166.51154,340.4,0.39,0.36,2019-08-23,01:18,N,nominal,1.0NRT,289.1,4.2,D
63.88381,160.71451,331.1,0.39,0.36,2019-08-23,01:18,N,nominal,1.0NRT,297,2.8,D
