latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.41139,124.36762,335.2,0.65,0.73,2019-09-24,04:18,N,nominal,1.0NRT,289.2,4.7,D
-11.99929,142.79199,341.8,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,297.1,7.9,D
-11.98117,142.7782,336.6,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,298.1,4.4,D
-11.98522,142.73061,335.1,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,298.5,8.4,D
-11.98214,142.72472,357.2,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,301.3,12.1,D
-11.98304,142.7195,343.7,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,301.4,12.1,D
-11.97907,142.71884,352,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,299.2,7.7,D
-11.97511,142.71819,334.9,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,296.9,7.7,D
-11.93438,135.80507,333.2,0.42,0.37,2019-09-24,04:18,N,nominal,1.0NRT,297.8,1.9,D
-11.86454,142.70673,335.7,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,297.9,8.2,D
-11.86058,142.70602,336.3,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,298,8.2,D
-11.85662,142.70531,335.3,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,298.6,7.4,D
-11.81064,142.70041,334.7,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,294.7,5.2,D
-11.80668,142.69971,343,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,298.8,5.1,D
-11.80271,142.69899,332.5,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,296.2,5.1,D
-11.82008,142.59602,337.3,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,295.7,5.5,D
-11.78904,142.7074,333.1,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,296.9,3.9,D
-11.78416,142.71204,342.4,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,299.7,9.3,D
-11.78596,142.70146,332.3,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,296.6,3.9,D
-11.82437,142.45111,367,0.55,0.42,2019-09-24,04:18,N,high,1.0NRT,299.6,12.9,D
-11.82606,142.4411,367,0.54,0.42,2019-09-24,04:18,N,high,1.0NRT,305.6,18.8,D
-11.78019,142.71136,347.3,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,300,6.9,D
-11.82522,142.44608,354.9,0.55,0.42,2019-09-24,04:18,N,nominal,1.0NRT,303.2,12.9,D
-11.8269,142.43611,354.6,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,301.8,18.8,D
-11.82775,142.43109,350.5,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,300.3,11.5,D
-11.82859,142.42612,354.5,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,302.7,11.5,D
-11.82944,142.42113,346.8,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,302.1,11.9,D
-11.77622,142.71066,340.7,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,300.1,6.9,D
-11.77135,142.71519,351.2,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,301.9,7.4,D
-11.77225,142.70996,344.6,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,304,7.4,D
-11.76738,142.71449,340.8,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,300.8,7.4,D
-11.76341,142.71381,348.1,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,301.3,7.9,D
-11.82064,142.37848,337.7,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,297.2,14.6,D
-11.75944,142.71313,332.9,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,297.8,7.9,D
-11.81674,142.37785,356.7,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,302.8,14.6,D
-11.81759,142.37289,339,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,296.2,14.6,D
-11.75546,142.71243,333.4,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,297.6,5.6,D
-11.75636,142.7072,336.4,0.57,0.43,2019-09-24,04:18,N,nominal,1.0NRT,299.6,5.6,D
-11.75817,142.69666,339.1,0.56,0.43,2019-09-24,04:18,N,nominal,1.0NRT,297,8.9,D
-11.81454,142.36726,335.7,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,293.8,12.5,D
-11.78148,142.4901,344.6,0.55,0.43,2019-09-24,04:18,N,nominal,1.0NRT,295.8,4.3,D
-11.80202,142.37027,336.3,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,298.4,5.4,D
-11.79899,142.36459,347.8,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,298.1,7.6,D
-11.77538,142.47867,332.6,0.55,0.43,2019-09-24,04:18,N,low,1.0NRT,302.9,4.9,D
-11.77146,142.47798,332.3,0.55,0.43,2019-09-24,04:18,N,nominal,1.0NRT,301.6,2.7,D
-11.76923,142.42101,347.5,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,300.8,7.7,D
-11.76447,142.42531,343.2,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,298.9,7.5,D
-11.76888,142.42323,333.3,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,299.7,4.3,D
-11.76971,142.41823,341.5,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,299.3,4.3,D
-11.75831,142.46259,330.9,0.55,0.43,2019-09-24,04:18,N,nominal,1.0NRT,300.2,5.4,D
-11.76498,142.42253,345.9,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,298,4.3,D
-11.76076,142.37564,355.6,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,303,11.5,D
-11.76158,142.37068,354.1,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,303.1,9.3,D
-11.76241,142.36574,353.5,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,302.4,9.3,D
-11.75852,142.36508,340.9,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,300.8,9.3,D
-11.75935,142.36012,338.4,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,300.6,4.7,D
-11.73934,142.40781,333.7,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,301.8,6.9,D
-11.75268,142.32831,347.7,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,297,11.6,D
-11.73543,142.40714,337.9,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,297.7,6.9,D
-11.73628,142.40211,346.6,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,299.6,6.9,D
-11.7488,142.32762,351.2,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,301.7,11.6,D
-11.74963,142.32271,346.8,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,298.3,11.6,D
-11.70489,142.35078,347.3,0.54,0.42,2019-09-24,04:18,N,nominal,1.0NRT,303.8,8.7,D
