latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-5.31719,-41.17107,336.9,0.6,0.53,2019-10-10,03:30,N,nominal,1.0NRT,296.6,3.9,N
-3.57878,-38.86236,339.7,0.45,0.47,2019-10-10,03:30,N,nominal,1.0NRT,293.7,4.9,N
-2.87944,-42.39196,306.6,0.4,0.6,2019-10-10,03:30,N,nominal,1.0NRT,291.3,1.6,N
-6.68613,-39.48438,316.9,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,291.9,4.8,N
-6.68547,-39.48836,321.6,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,291.9,4,N
-6.68253,-39.47966,319,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,291.5,4.8,N
-6.68187,-39.48363,353.1,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,295.5,4.8,N
-6.6812,-39.48763,335.9,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,292.8,4,N
-6.67828,-39.47891,319,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,292.5,4.9,N
-6.67695,-39.48689,304.9,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,291.4,2.4,N
-6.67894,-39.47498,326.1,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,291.6,2.4,N
-6.67761,-39.48289,343.3,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,294.2,4.9,N
-6.67468,-39.47423,324.8,0.44,0.46,2019-10-10,03:30,N,nominal,1.0NRT,292.5,2.4,N
-6.81557,-38.55399,314.3,0.38,0.43,2019-10-10,03:30,N,nominal,1.0NRT,292.9,1.9,N
-6.81214,-38.54993,314.7,0.38,0.43,2019-10-10,03:30,N,nominal,1.0NRT,293.1,1.3,N
-6.72786,-38.85339,306.3,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,291.5,1,N
-6.72724,-38.85707,312.9,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,291.6,1,N
-5.69491,-44.69651,308.3,0.51,0.66,2019-10-10,03:30,N,nominal,1.0NRT,288.9,1.8,N
-6.89128,-37.79037,305.7,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,292.6,2.4,N
-6.8889,-37.80452,306,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,292.6,2.3,N
-6.89049,-37.79507,327.7,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,293.5,2.4,N
-6.88969,-37.79979,325.4,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,293,2.3,N
-5.82136,-43.89874,336.1,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,288.3,5,N
-6.88835,-37.79248,312.2,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,292.6,1.5,N
-6.88759,-37.7972,317.1,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,292.8,1.5,N
-6.88683,-37.80193,313.7,0.52,0.41,2019-10-10,03:30,N,nominal,1.0NRT,292.5,1.8,N
-5.82248,-43.89606,306.8,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,287.1,2.6,N
-5.82175,-43.9003,328.7,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,288.3,2.6,N
-6.56462,-38.78881,304.3,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,291.7,1,N
-6.55996,-38.79164,304.9,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,291.7,3.2,N
-6.56055,-38.7881,347.5,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,294.8,3.2,N
-6.55647,-38.78746,316.4,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,293,3.2,N
-6.55302,-38.78304,313.8,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,291.8,0.9,N
-6.55237,-38.78689,310.4,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.3,1.7,N
-6.48599,-39.1829,304.5,0.42,0.45,2019-10-10,03:30,N,nominal,1.0NRT,291.7,1.8,N
-6.53723,-38.77726,310.7,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.4,1.8,N
-6.52165,-38.77031,307.5,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.5,1,N
-6.51755,-38.76981,309.5,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.3,1,N
-6.51624,-38.77747,310.6,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.9,2.5,N
-6.51343,-38.76939,304.6,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292,0.7,N
-6.51211,-38.77713,314,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,292.4,1.9,N
-5.01238,-47.12159,312.8,0.76,0.77,2019-10-10,03:30,N,nominal,1.0NRT,283.6,2.4,N
-5.0052,-47.12047,300.7,0.76,0.77,2019-10-10,03:30,N,nominal,1.0NRT,283.9,1,N
-5.49895,-44.07475,318,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288,1.9,N
-5.48126,-44.1736,346.3,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288.8,5.9,N
-5.48535,-44.17319,318.9,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288.2,1.9,N
-5.48461,-44.17752,303.2,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288,1.9,N
-5.47941,-44.17213,319.6,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288.3,1.9,N
-5.47867,-44.17644,311.5,0.47,0.64,2019-10-10,03:30,N,nominal,1.0NRT,288.1,1.9,N
-5.0927,-45.40898,310.4,0.58,0.7,2019-10-10,03:30,N,nominal,1.0NRT,289,1.8,N
-5.08629,-45.40757,326.9,0.58,0.7,2019-10-10,03:30,N,nominal,1.0NRT,288.9,4,N
-5.76048,-41.01051,308.9,0.57,0.52,2019-10-10,03:30,N,nominal,1.0NRT,291.2,1.5,N
-5.05722,-44.75591,308.6,0.53,0.67,2019-10-10,03:30,N,nominal,1.0NRT,288.8,1,N
-5.05626,-44.76127,303.6,0.53,0.67,2019-10-10,03:30,N,nominal,1.0NRT,288.4,1,N
-6.65338,-35.16064,309.7,0.4,0.37,2019-10-10,03:30,N,nominal,1.0NRT,290.1,0.9,N
-6.65,-35.16007,310.4,0.4,0.37,2019-10-10,03:30,N,nominal,1.0NRT,290.6,0.9,N
-6.17221,-37.89406,311.3,0.54,0.42,2019-10-10,03:30,N,nominal,1.0NRT,292,1.5,N
-5.32206,-41.172,325.8,0.6,0.53,2019-10-10,03:30,N,nominal,1.0NRT,295.1,4.1,N
-3.57622,-38.86124,306.1,0.45,0.47,2019-10-10,03:30,N,nominal,1.0NRT,292,2.6,N
-3.58051,-38.86195,335.2,0.45,0.47,2019-10-10,03:30,N,nominal,1.0NRT,293.2,2.6,N
-3.58118,-38.85791,310.6,0.45,0.47,2019-10-10,03:30,N,nominal,1.0NRT,292.9,1.7,N
-3.59406,-38.85999,344,0.45,0.47,2019-10-10,03:30,N,nominal,1.0NRT,294.8,8.9,N
-4.18878,-38.23064,339,0.4,0.44,2019-10-10,03:30,N,nominal,1.0NRT,293.7,4.4,N
-3.68454,-43.37799,313.1,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,290.3,2.4,N
-3.68523,-43.37386,316.1,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,290.7,2,N
-3.69105,-43.37485,301.7,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,290.9,0.8,N
-3.68939,-43.37609,334.5,0.45,0.63,2019-10-10,03:30,N,nominal,1.0NRT,291.2,3.9,N
-5.18163,-35.81834,329.2,0.43,0.38,2019-10-10,03:30,N,nominal,1.0NRT,293.4,5.3,N
-5.18226,-35.81443,313.3,0.43,0.38,2019-10-10,03:30,N,nominal,1.0NRT,292.2,2.5,N
-3.9046,-44.57155,324.5,0.53,0.67,2019-10-10,03:30,N,nominal,1.0NRT,290,3.3,N
-3.9079,-44.57287,318.2,0.53,0.67,2019-10-10,03:30,N,nominal,1.0NRT,289.5,2.9,N
-3.90877,-44.56791,302.7,0.53,0.67,2019-10-10,03:30,N,nominal,1.0NRT,289.4,1.8,N
-4.18892,-43.30407,305.3,0.44,0.62,2019-10-10,03:30,N,nominal,1.0NRT,291.4,0.8,N
-4.19466,-43.30505,310.4,0.44,0.62,2019-10-10,03:30,N,nominal,1.0NRT,291.7,0.8,N
-4.57094,-42.02956,309.7,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.4,1.7,N
-4.57149,-42.02634,312.1,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,293,1.3,N
-4.57204,-42.02313,303.6,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.5,1.3,N
-4.5726,-42.01992,307.7,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.5,1.2,N
-4.57672,-42.02731,326.4,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,294.4,1.5,N
-4.57561,-42.03376,308.8,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.7,1.4,N
-4.57617,-42.03052,312.2,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.4,1.4,N
-4.57727,-42.02411,305.9,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.5,1.5,N
-4.57782,-42.02091,303.5,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.1,0.8,N
-4.5814,-42.03152,320.9,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,293.8,1.4,N
-4.58085,-42.03475,305.1,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,292.1,1.4,N
-4.58195,-42.02829,308.8,0.35,0.57,2019-10-10,03:30,N,nominal,1.0NRT,293,1.5,N
-5.10518,-41.27471,310.4,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.5,3.3,N
-5.1061,-41.26918,309.8,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.5,2.5,N
-5.11104,-41.27002,311.7,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.3,2.3,N
-5.11197,-41.26438,314.2,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.9,2.3,N
-5.11691,-41.26519,314.3,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.1,2.3,N
-5.11785,-41.2595,310.1,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.4,2.7,N
-5.1287,-41.25525,313.7,0.61,0.53,2019-10-10,03:30,N,nominal,1.0NRT,295.1,3.1,N
-5.10533,-41.27671,309.3,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.1,2.5,N
-5.10628,-41.27126,312.6,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.5,2.5,N
-5.1122,-41.26647,320.3,0.61,0.54,2019-10-10,03:30,N,nominal,1.0NRT,295.5,4.7,N
-5.11812,-41.26162,319.3,0.61,0.53,2019-10-10,03:30,N,nominal,1.0NRT,295.4,4.3,N
-5.13009,-41.25112,312.1,0.61,0.53,2019-10-10,03:30,N,nominal,1.0NRT,294.9,4.4,N
-4.15101,-47.2471,301.8,0.79,0.78,2019-10-10,03:30,N,nominal,1.0NRT,282,1.2,N
-4.15826,-47.24855,319.9,0.79,0.78,2019-10-10,03:30,N,nominal,1.0NRT,282.5,5.4,N
-4.15187,-47.24662,309.5,0.79,0.78,2019-10-10,03:30,N,nominal,1.0NRT,282.4,2.6,N
-4.15911,-47.24811,316.6,0.79,0.78,2019-10-10,03:30,N,nominal,1.0NRT,282.9,3.5,N
-5.31232,-41.17012,327.5,0.6,0.53,2019-10-10,03:30,N,nominal,1.0NRT,296.1,3.9,N
-5.31325,-41.16458,306.6,0.6,0.53,2019-10-10,03:30,N,nominal,1.0NRT,294.8,3.9,N
-6.81005,-44.47984,314.2,0.47,0.64,2019-10-10,03:36,N,nominal,1.0NRT,291.9,1.5,N
-8.08275,-45.96767,305.1,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288,4.3,N
-8.08809,-45.97438,336.8,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.6,6.3,N
-8.08909,-45.96906,331.2,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.5,4.3,N
-8.09542,-45.97044,325.5,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.2,3.1,N
-8.09643,-45.96507,318.4,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.1,3.1,N
-8.11005,-45.96272,304.6,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.9,1.7,N
-8.11731,-45.95908,302.7,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.8,1.7,N
-8.11827,-45.95396,309.5,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.9,1.7,N
-8.12366,-45.96036,330.7,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.5,4,N
-8.12461,-45.95525,303.4,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.8,1.8,N
-8.13004,-45.96143,309.1,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.1,4,N
-8.13097,-45.95642,302.3,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288,1.8,N
-9.81389,-36.48264,331.1,0.42,0.38,2019-10-10,03:36,N,nominal,1.0NRT,291.6,3.1,N
-8.11085,-45.96313,306.7,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.8,2.6,N
-8.11815,-45.95946,307.1,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288,1.7,N
-8.11914,-45.95436,309.5,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.3,1.7,N
-8.12451,-45.96067,329,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.6,1.9,N
-8.12549,-45.95559,309.5,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.3,1.9,N
-8.1309,-45.96171,302.8,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,288.1,1.9,N
-8.13186,-45.95673,301.1,0.56,0.69,2019-10-10,03:36,N,nominal,1.0NRT,287.9,1.9,N
-8.33548,-45.05453,312,0.48,0.65,2019-10-10,03:36,N,nominal,1.0NRT,290.5,2.8,N
-8.57973,-43.96179,318.5,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,295,3.2,N
-8.58041,-43.95805,310.4,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,294.4,3.1,N
-8.58177,-43.95055,314.8,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,295,2.3,N
-8.58736,-43.95151,314.1,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,295,1.7,N
-8.58805,-43.94771,314.9,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,295.1,1.7,N
-8.59364,-43.94862,309.6,0.41,0.6,2019-10-10,03:36,N,nominal,1.0NRT,294.4,1.7,N
-8.49563,-44.61802,314.8,0.45,0.63,2019-10-10,03:36,N,nominal,1.0NRT,290.4,1.8,N
-8.49639,-44.61384,316.3,0.45,0.63,2019-10-10,03:36,N,nominal,1.0NRT,290.9,1.8,N
-9.41988,-43.27151,309.3,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,292.2,1.3,N
-9.42049,-43.2682,310.8,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.9,0.9,N
-9.4211,-43.26489,309.3,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.9,0.9,N
-9.42815,-43.25612,342.4,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,293.7,2.3,N
-9.42511,-43.2726,305.5,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,292,1.3,N
-9.42571,-43.26933,310.3,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.7,0.9,N
-9.42632,-43.26601,308.5,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,292,0.9,N
-9.42693,-43.26271,309.3,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.7,2,N
-9.42754,-43.25941,312.6,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,292.1,2,N
-9.42875,-43.25284,308.7,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.6,2.3,N
-9.43396,-43.25403,310.4,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.7,1.6,N
-9.43797,-43.26167,316.7,0.35,0.57,2019-10-10,03:36,N,nominal,1.0NRT,291.5,2.3,N
-9.42084,-44.08759,314.5,0.4,0.6,2019-10-10,03:36,N,nominal,1.0NRT,292.1,1.4,N
-9.42628,-44.08918,307.8,0.4,0.6,2019-10-10,03:36,N,nominal,1.0NRT,291.3,1.4,N
-9.54454,-43.50344,318.1,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.3,1.9,N
-9.54515,-43.50005,306.4,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.2,1.3,N
-9.54801,-43.51466,318.7,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,293.3,1.4,N
-9.54862,-43.51126,315.1,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.9,1.4,N
-9.54553,-43.5144,311.5,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,293,1,N
-9.54617,-43.51101,314.9,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,293.3,1,N
-9.54746,-43.50421,312.6,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292,2.7,N
-9.5481,-43.50082,308.8,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.3,1.2,N
-9.54874,-43.49743,308.3,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.1,1.2,N
-9.55086,-43.51534,306.4,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.5,1,N
-10.69651,-37.08357,304.2,0.43,0.38,2019-10-10,03:36,N,nominal,1.0NRT,291.6,0.7,N
-9.57565,-43.53002,323,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.6,2.1,N
-9.57628,-43.52668,347,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,293.6,2.1,N
-9.57315,-43.54343,306.5,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,291.8,1.3,N
-9.57502,-43.53341,312.1,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.7,2.1,N
-9.5769,-43.52337,306.6,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,291.8,2.1,N
-9.58069,-43.50309,305.8,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.5,1.7,N
-9.58131,-43.49972,310.3,0.36,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.3,0.9,N
-9.57909,-43.54114,323.1,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,293,1.8,N
-9.57847,-43.54449,310.3,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292,1.3,N
-9.57972,-43.53777,306.7,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,291.8,1.8,N
-9.58097,-43.53105,305.4,0.37,0.58,2019-10-10,03:36,N,nominal,1.0NRT,292.1,2.1,N
