latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
23.67944,86.08549,335.8,0.42,0.38,2019-09-10,07:12,N,low,1.0NRT,292.8,8.2,D
6.60087,81.02421,334.2,0.52,0.67,2019-09-10,07:12,N,nominal,1.0NRT,294.6,4.5,D
6.65022,81.19639,334.7,0.51,0.66,2019-09-10,07:12,N,nominal,1.0NRT,293.4,6.7,D
6.63055,80.98666,334.7,0.52,0.67,2019-09-10,07:12,N,nominal,1.0NRT,292.9,5.3,D
6.87252,81.58701,340.8,0.47,0.64,2019-09-10,07:12,N,nominal,1.0NRT,294,8.8,D
6.82955,81.21243,331.3,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,295.1,4.5,D
6.85339,81.27554,367,0.5,0.66,2019-09-10,07:12,N,high,1.0NRT,294.8,15.8,D
6.85932,81.27386,343.7,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,294.7,6.7,D
6.98238,81.46867,345.3,0.48,0.65,2019-09-10,07:12,N,nominal,1.0NRT,293.9,6.9,D
7.06951,81.00698,367,0.51,0.66,2019-09-10,07:12,N,high,1.0NRT,291.2,20,D
7.06889,81.00819,349.6,0.51,0.66,2019-09-10,07:12,N,nominal,1.0NRT,290.3,12.1,D
7.06679,80.99683,342.4,0.52,0.66,2019-09-10,07:12,N,nominal,1.0NRT,289.5,8.3,D
7.06816,81.00421,367,0.51,0.66,2019-09-10,07:12,N,low,1.0NRT,288.9,12.1,D
7.17841,81.29999,347.7,0.49,0.65,2019-09-10,07:12,N,nominal,1.0NRT,287.2,7.5,D
7.1644,81.01287,356.6,0.51,0.66,2019-09-10,07:12,N,nominal,1.0NRT,292.9,9.4,D
7.16478,81.01408,354.4,0.51,0.66,2019-09-10,07:12,N,nominal,1.0NRT,292.4,6.3,D
7.17078,81.0124,338.1,0.51,0.66,2019-09-10,07:12,N,nominal,1.0NRT,291.3,6.3,D
7.22748,81.08133,338.4,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,292.5,3.9,D
7.1885,80.79798,341.6,0.53,0.67,2019-09-10,07:12,N,nominal,1.0NRT,288.6,7.9,D
7.27795,81.11806,367,0.5,0.66,2019-09-10,07:12,N,high,1.0NRT,296,12.2,D
7.29188,81.19583,338.5,0.49,0.65,2019-09-10,07:12,N,nominal,1.0NRT,295.1,11.2,D
7.29109,81.19139,332.6,0.5,0.65,2019-09-10,07:12,N,nominal,1.0NRT,295.3,11.1,D
7.29796,81.19501,335.7,0.49,0.65,2019-09-10,07:12,N,nominal,1.0NRT,292.7,6.7,D
7.29715,81.19048,344.5,0.5,0.65,2019-09-10,07:12,N,nominal,1.0NRT,289.1,10.5,D
7.28844,81.10682,335.7,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,293.8,5.7,D
7.29449,81.10564,334.1,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,295.2,6.5,D
7.30786,81.14571,340.7,0.5,0.66,2019-09-10,07:12,N,nominal,1.0NRT,297.7,8.7,D
7.32559,81.17553,338.2,0.5,0.65,2019-09-10,07:12,N,nominal,1.0NRT,294.3,6.8,D
