latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-30.14471,29.79838,298.6,0.56,0.69,2019-09-09,00:00,N,nominal,1.0NRT,283.8,0.7,N
-33.97462,23.74105,316,0.54,0.51,2019-09-09,00:00,N,nominal,1.0NRT,289.3,2.2,N
-33.89152,24.19633,320.5,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,293.5,2.3,N
-33.89105,24.1904,334.7,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,295.1,6.2,N
-33.88656,24.19588,305.5,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,293.2,2.3,N
-33.89436,24.19092,311.5,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,293.7,3.4,N
-33.88981,24.19549,327.5,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,293.8,3.4,N
-33.8893,24.18947,324.6,0.57,0.52,2019-09-09,00:00,N,nominal,1.0NRT,294.4,3.4,N
-33.28749,19.1497,314.4,0.47,0.4,2019-09-09,00:00,N,nominal,1.0NRT,285.7,0.9,N
-33.88199,25.55271,310.1,0.34,0.56,2019-09-09,00:00,N,nominal,1.0NRT,288.3,0.6,N
-33.88315,25.55299,313.8,0.34,0.56,2019-09-09,00:00,N,nominal,1.0NRT,288.2,0.7,N
-32.27311,28.4627,301.5,0.49,0.65,2019-09-09,00:00,N,nominal,1.0NRT,289.3,0.7,N
-32.1478,27.3609,301.1,0.42,0.61,2019-09-09,00:00,N,nominal,1.0NRT,287.7,2,N
-32.14717,27.35096,303.3,0.42,0.61,2019-09-09,00:00,N,nominal,1.0NRT,288.5,2.8,N
-32.14744,27.35524,332.7,0.42,0.61,2019-09-09,00:00,N,nominal,1.0NRT,289.1,2,N
-32.1356,27.35094,299.8,0.42,0.61,2019-09-09,00:00,N,nominal,1.0NRT,287.2,0.7,N
-32.13527,27.34571,301.8,0.42,0.61,2019-09-09,00:00,N,nominal,1.0NRT,287.3,0.7,N
