latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.92748,-70.35382,350.7,0.56,0.69,2019-08-22,05:24,N,nominal,1.0NRT,289.2,5.5,N
17.87016,-71.31667,300.6,0.63,0.72,2019-08-22,05:24,N,nominal,1.0NRT,287.1,1.6,N
18.92799,-70.35946,302.6,0.56,0.69,2019-08-22,05:24,N,nominal,1.0NRT,288,5.5,N
46.57301,-80.79614,315.8,0.51,0.41,2019-08-22,07:00,N,nominal,1.0NRT,282.2,2.3,N
46.49065,-81.03439,326.5,0.52,0.41,2019-08-22,07:00,N,nominal,1.0NRT,285.5,3.1,N
46.48996,-81.02763,313.3,0.52,0.41,2019-08-22,07:00,N,nominal,1.0NRT,284.2,3.1,N
45.33855,-73.52435,305.5,0.4,0.37,2019-08-22,07:00,N,nominal,1.0NRT,289.4,0.8,N
46.52422,-84.37247,319.3,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,285.5,3,N
46.51977,-84.37321,320,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,285.2,3,N
46.52022,-84.37961,312.1,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,284.3,3.3,N
46.52234,-84.3719,325.1,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,286.3,2.8,N
46.52283,-84.3783,308.3,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,283.9,2.8,N
46.51838,-84.37904,308.5,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,283,1.6,N
46.51789,-84.37264,298.4,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,284,1.6,N
46.51488,-84.39246,298.6,0.48,0.48,2019-08-22,07:00,N,nominal,1.0NRT,283.5,1,N
45.31755,-85.30097,300.8,0.52,0.5,2019-08-22,07:00,N,nominal,1.0NRT,287.9,1.4,N
45.07076,-83.40636,318.5,0.42,0.45,2019-08-22,07:00,N,nominal,1.0NRT,288.1,2.4,N
45.07043,-83.40754,300.3,0.42,0.45,2019-08-22,07:00,N,nominal,1.0NRT,285.2,1.6,N
45.06994,-83.40215,307.3,0.42,0.45,2019-08-22,07:00,N,nominal,1.0NRT,286.6,1.6,N
43.85728,-78.90654,319.1,0.42,0.37,2019-08-22,07:00,N,nominal,1.0NRT,288.3,1.8,N
